cluster,kwh_ann_tot,customer_count,util,sector,building_type,rate_class,kwh_bin,kw_bin
sdge-com-SDG1-com_other-noKW-Care-0.0_0.2,77569.75044660001,72,sdge,com,com_other,Care,0.0_0.2,noKW
sdge-com-SDG1-com_other-noKW-Care-0.2_0.4,238699.033502,71,sdge,com,com_other,Care,0.2_0.4,noKW
sdge-com-SDG1-com_other-noKW-Care-0.4_0.6,412084.694257,72,sdge,com,com_other,Care,0.4_0.6,noKW
sdge-com-SDG1-com_other-noKW-Care-0.6_0.8,1420902.40099,71,sdge,com,com_other,Care,0.6_0.8,noKW
sdge-com-SDG1-com_other-noKW-Care-0.8_1.0,16202933.0232,72,sdge,com,com_other,Care,0.8_1.0,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.0_0.1,2343121.51582,3569,sdge,com,com_other,nonCare,0.0_0.1,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.1_0.2,9644103.189210001,3569,sdge,com,com_other,nonCare,0.1_0.2,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.2_0.3,18472495.0055,3568,sdge,com,com_other,nonCare,0.2_0.3,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.3_0.4,29908837.9164,3569,sdge,com,com_other,nonCare,0.3_0.4,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.4_0.5,46460034.3243,3567,sdge,com,com_other,nonCare,0.4_0.5,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.5_0.6,74603417.1949,3568,sdge,com,com_other,nonCare,0.5_0.6,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.6_0.7,119980461.838,3569,sdge,com,com_other,nonCare,0.6_0.7,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.7_0.8,192499420.176,3568,sdge,com,com_other,nonCare,0.7_0.8,noKW
sdge-com-SDG1-com_other-noKW-nonCare-0.8_0.9,354593092.315,3568,sdge,com,com_other,nonCare,0.8_0.9,noKW
