hour_ending,total
1.0,28647.7119997
2.0,27642.4956667
3.0,30686.4917015
4.0,29653.5557283
5.0,26895.2868749
6.0,26439.360805
7.0,29309.5636986
8.0,31628.2893553
9.0,32081.0361463
10.0,31686.8183179
11.0,32579.2892077
12.0,33921.8428386
13.0,33736.0827472
14.0,33880.8464862
15.0,34326.200488
16.0,34806.1769489
17.0,34747.6646935
18.0,36379.6804496
19.0,38502.9738587
20.0,38189.7702087
21.0,37658.9680757
22.0,35852.6065136
23.0,32465.5080386
24.0,28751.2470974
25.0,26421.2182833
26.0,25540.2711752
27.0,28948.5030126
28.0,28560.7861601
29.0,26183.7959879
30.0,26523.7216237
31.0,30093.9493036
32.0,34272.7181801
33.0,35127.7088412
34.0,36130.7234252
35.0,37309.5004372
36.0,39119.9966386
37.0,39687.3882396
38.0,40246.6176716
39.0,40498.5711002
40.0,40884.0784835
41.0,40153.4429873
42.0,41423.0102063
43.0,42912.1670295
44.0,42223.6976836
45.0,40694.3150232
46.0,38443.0932189
47.0,33666.0687288
48.0,29253.3437094
49.0,26489.0252122
50.0,25481.4419974
51.0,25973.211281
52.0,24110.3351298
53.0,24081.2326349
54.0,25340.7830333
55.0,28940.2302481
56.0,32767.2595145
57.0,34717.6261652
58.0,36579.0371393
59.0,37894.1761079
60.0,39846.6761337
61.0,40617.2543328
62.0,40800.7014836
63.0,41316.8567114
64.0,40672.4218465
65.0,40188.9256366
66.0,41434.0922347
67.0,42623.009545
68.0,41753.7978483
69.0,40293.8993201
70.0,38389.8708434
71.0,34467.4702895
72.0,30160.4229856
73.0,27482.4466492
74.0,29317.5405584
75.0,28389.8266184
76.0,26958.3567895
77.0,25340.0803739
78.0,24780.1554882
79.0,26642.8116962
80.0,29203.1306426
81.0,29766.0023442
82.0,32270.549667
83.0,34396.4238555
84.0,36231.8050665
85.0,36940.1395521
86.0,37911.4142982
87.0,37611.1175378
88.0,38382.0155751
89.0,38399.5495611
90.0,39832.8831738
91.0,40978.0974108
92.0,40503.6740918
93.0,38962.8567864
94.0,36965.4194566
95.0,33745.781195
96.0,29639.2398522
97.0,27427.1805886
98.0,30145.0753251
99.0,29083.8768831
100.0,27780.2418433
101.0,26193.9678943
102.0,25625.5298764
103.0,26890.4119862
104.0,29083.3759154
105.0,30702.7483424
106.0,33164.0990696
107.0,35403.7711162
108.0,37271.7549481
109.0,38141.654716
110.0,37182.312933
111.0,36878.2494653
112.0,36346.7883357
113.0,36272.0914672
114.0,36800.370962
115.0,39125.9811754
116.0,38518.9340478
117.0,36848.3584236
118.0,34190.9668764
119.0,30524.2399481
120.0,27054.0313713
121.0,25591.2711203
122.0,28812.2120089
123.0,28176.5245245
124.0,26987.2495862
125.0,25851.2429845
126.0,25786.6458844
127.0,29100.5680767
128.0,35076.0841887
129.0,38591.6015707
130.0,40538.3121794
131.0,41057.4130941
132.0,41875.6119133
133.0,43130.020127
134.0,43740.2115066
135.0,44166.1821109
136.0,43829.0328445
137.0,40864.637745
138.0,40910.3038621
