hour_ending,hvac,lighting,total,other
1.0,247.092448703,321.289099843,1112.87366498,544.49211643
2.0,237.623650089,314.768353086,1093.23868975,540.846686571
3.0,241.887057478,306.542407533,1068.99895538,520.569490368
4.0,250.317419101,304.855162827,1063.25076391,508.078181981
5.0,266.098568534,319.158525441,1099.83189959,514.574805612
6.0,286.422280267,316.029905119,1092.49458597,490.04240058
7.0,283.295561335,335.352162449,1104.64630157,485.998577788
8.0,346.341064989,367.442445654,1047.31338789,333.529877242
9.0,289.021153542,355.272623792,993.989030583,349.695253248
10.0,292.130518412,393.448679986,1087.79446698,402.215268581
11.0,270.489733987,393.083728984,1085.33457363,421.761110664
12.0,233.000742633,372.326415366,1029.18500875,423.857850749
13.0,230.940034434,385.091674814,1064.10424982,448.07254057
14.0,225.296164139,371.172306523,1024.81438741,428.345916746
15.0,233.326085258,373.176935894,1031.98173314,425.478711984
16.0,210.015494297,360.946933343,1005.01611034,434.053682703
17.0,189.36413242,329.384967498,924.91069668,406.161596762
18.0,198.01903132,293.653852624,955.477774572,463.804890628
19.0,217.33101684,344.468911629,1186.46649507,624.666566606
20.0,219.943228129,343.920826258,1202.63674461,638.772690227
21.0,236.945818093,335.673622675,1174.79094112,602.171500347
22.0,236.352694259,332.917484461,1167.57055746,598.300378735
23.0,223.132908419,321.475206753,1127.58110819,582.972993023
24.0,227.485804075,312.272495161,1098.08503448,558.32673524
25.0,293.360208168,321.315856895,1090.19790842,475.521843352
26.0,300.290612215,313.746099834,1081.16705608,467.130344028
27.0,293.655061195,304.054139931,1054.63865764,456.929456514
28.0,318.766624471,305.773558905,1064.05090725,439.510723873
29.0,365.019444994,319.668468815,1063.00984708,378.321933268
30.0,364.484641251,361.331239493,1097.06847332,371.252592575
31.0,307.633021843,463.471099794,1151.66631297,380.562191328
32.0,322.789698662,596.248523325,1258.56504603,339.526824042
33.0,314.506270059,640.350650188,1307.68333577,352.826415518
34.0,303.711596912,678.433801367,1363.95322729,381.807829009
35.0,314.091706209,711.174261222,1438.62589543,413.359928
36.0,331.406782725,733.945027285,1499.89199022,434.540180209
37.0,355.864574984,780.97893854,1596.98300166,460.139488134
38.0,360.124450286,792.123970431,1607.55519023,455.306769515
39.0,354.372303329,781.868579952,1568.95425502,432.713371738
40.0,353.358304291,753.57713081,1492.56098698,385.625551876
41.0,383.269519405,751.876780318,1473.77747211,338.631172389
42.0,372.26107975,747.551424063,1533.38503986,413.572536049
43.0,367.591992467,753.873855269,1630.7851578,509.319310066
44.0,356.682988763,673.726517889,1565.92683637,535.517329724
45.0,417.166962071,627.21605742,1613.74828378,569.365264285
46.0,339.328634017,486.171769264,1374.15938451,548.658981234
47.0,288.121751451,363.462982229,1126.46170747,474.876973794
48.0,210.764626227,319.966409401,1067.80494273,537.073907107
49.0,218.35372216,308.760407799,1047.05998888,519.945858916
50.0,211.690140769,302.729317337,1042.90278292,528.48332481
51.0,216.198927995,297.82239694,1028.88737226,514.866047321
52.0,221.701541622,298.939842181,1031.05570231,510.414318502
53.0,311.701428015,312.358223648,1032.20047549,408.140823823
54.0,294.035185964,345.859604153,1036.73752768,396.842737559
55.0,253.832056555,427.109244501,1055.6406595,374.69935844
56.0,269.079549867,561.254976901,1176.12629556,345.79176879
57.0,287.128470424,608.14756237,1237.63137756,342.355344764
58.0,292.371451536,656.148130515,1320.01623591,371.496653858
59.0,322.46844828,729.787007076,1477.14719745,424.891742099
60.0,371.096820133,820.515400731,1676.97941228,485.367191421
61.0,360.723030321,789.872579123,1614.15364432,463.558034873
62.0,368.871956786,788.457409705,1604.1014021,446.772035606
63.0,359.356928478,780.269795621,1558.57424875,418.947524655
64.0,338.130191557,710.389255132,1401.17476438,352.655317689
65.0,366.912530623,715.685683842,1400.94677827,318.348563804
66.0,348.433290782,700.685564475,1439.08346466,389.964609405
67.0,345.223008424,705.022067692,1528.49067721,478.245601096
68.0,325.763881501,599.684344624,1397.62841658,472.18019045
69.0,353.058643319,531.945453489,1373.2275662,488.223469396
70.0,322.978185423,457.92494187,1295.53846094,514.635333652
71.0,278.426359807,356.674967412,1104.83358644,469.732259226
