hour_ending,hvac,lighting,total,other
1.0,52811.1858015,69809.7808063,240928.358042,118307.391435
2.0,51527.2614943,69426.5406446,240245.06538,119291.263241
3.0,52666.1136399,68840.1421962,238410.399796,116904.14396
4.0,54737.6083085,68754.930715,238080.987767,114588.448744
5.0,56797.821034,70847.5306085,241871.829662,114226.478019
6.0,63532.3249826,72765.1430996,249128.579396,112831.111314
7.0,64015.5206719,78360.7509284,255938.126181,113561.854581
8.0,81669.3895597,89865.6121015,253106.597232,81571.5955708
9.0,72212.0015153,90829.1699988,252444.428275,89403.2567611
10.0,67920.5964389,92382.2671843,254743.537332,94440.6737086
11.0,64432.576206,94289.7070525,259890.88587,101168.602611
12.0,59369.1569348,95395.6658476,263363.622728,108598.799946
13.0,57716.1631227,96723.1660112,266981.348505,112542.019371
14.0,59037.165992,97773.3130847,269644.326566,112833.84749
15.0,60939.5118367,98092.5766394,270872.610088,111840.521611
16.0,56791.8440807,98487.8585587,273715.444185,118435.741545
17.0,55798.7128115,97734.6261743,274049.014389,120515.675404
18.0,56583.3041168,84606.0760855,274818.520479,133629.140277
19.0,48083.0577439,76899.9448989,264434.845553,139451.842911
20.0,46797.4899308,74123.1223096,258591.327797,137670.715556
21.0,50993.4524369,73238.5416068,255616.051365,131384.057321
22.0,50135.5266312,71587.0871173,250374.857424,128652.243676
23.0,48045.7068662,70306.834699,245849.110487,127496.568922
24.0,49613.9616102,69207.0202446,242559.480338,123738.498483
25.0,64442.5699921,71519.5749326,241805.412158,105843.267234
26.0,66837.2513333,70778.4313261,242996.284977,105380.602317
27.0,66196.0644496,70306.4856659,242158.418811,105655.868695
28.0,70445.4524876,70434.4513319,242120.49768,101240.593861
29.0,83811.9683406,75477.187387,248615.061269,89325.9055412
30.0,85471.5460862,89147.8647042,266215.077803,91595.6670129
31.0,76189.2573074,119209.923249,293284.010139,97884.8295826
32.0,75931.0946792,146450.342711,305775.89087,83394.4534797
33.0,75513.7157727,157751.405098,320184.471678,86919.3508077
34.0,73413.3199956,165100.790342,331429.254308,92915.1439702
35.0,74575.7409288,169714.850744,342934.935696,98644.3440229
36.0,76870.3917176,170898.861943,348951.793913,101182.540252
37.0,78714.4500285,173391.61976,354265.458763,102159.388975
38.0,79446.5532862,175470.822883,355776.656399,100859.28023
39.0,79318.4352114,176086.570126,352857.461454,97452.456117
40.0,81832.8902475,175664.809089,347390.075552,89892.3762156
41.0,87567.6454078,172908.251675,338350.5243,77874.6272172
42.0,78915.919544,159528.478199,326701.332553,88256.9348102
