hour_ending,hvac,lighting,total,other
1.0,5.35174122124,7.08303080915,24.4384610379,12.0036890075
2.0,4.52401941363,6.10411257035,21.116445138,10.488313154
3.0,4.33241526608,5.67155881713,19.6353999821,9.6314258989
4.0,4.4727139167,5.62636820759,19.4761085901,9.37702646581
5.0,4.7760582288,5.96660895136,20.362546947,9.61987976684
6.0,5.62398521766,6.4501391583,22.0758413844,10.0017170084
7.0,6.34524892906,7.7755807164,25.3893455305,11.268515885
8.0,9.21999795039,10.1547064256,28.5921968776,9.21749250156
9.0,9.34577163423,11.7656831448,32.692430265,11.580975486
10.0,8.74881327762,11.9078487182,32.8298342901,12.1731722943
11.0,6.92873176473,10.1449131879,27.9586792041,10.8850342515
12.0,5.54044987038,8.9051047859,24.583160852,10.1376061957
13.0,5.58999297965,9.36996335766,25.8623558471,10.9023995098
14.0,4.91189492673,8.13559596681,22.436255226,9.38876433246
15.0,4.69856602916,7.56459325843,20.8879511402,8.62479185261
16.0,4.84313616386,8.39982182333,23.3440926961,10.1011347089
17.0,5.30251646026,9.28966496672,26.0471825004,11.4550010734
18.0,6.55781891366,9.80855718703,31.8582783955,15.4919022948
19.0,6.79094929336,10.8647645203,37.3580872956,19.702373482
20.0,6.93523987638,10.9932992181,38.3466666978,20.4181276034
21.0,7.71366226847,11.0882052915,38.6932166727,19.8913491127
22.0,7.47976558476,10.6908568149,37.383622557,19.2130001574
23.0,6.12337261192,8.9699599345,31.3597328176,16.2664002712
24.0,5.42170906689,7.57167402167,26.5311365005,13.5377534119
25.0,5.94151113519,6.60062010402,22.3105225955,9.76839135629
26.0,5.32572308648,5.64586940183,19.3776154394,8.40602295109
27.0,5.161190883,5.4883228772,18.8973093338,8.2477955736
28.0,5.55132158145,5.55787757774,19.0979435298,7.98874437061
29.0,6.68900189319,6.03004132613,19.8554896153,7.13644639599
30.0,6.78677331007,7.08759453372,21.1565719772,7.2822041334
31.0,6.35941950001,9.96018523959,24.4980433143,8.1784385747
32.0,7.1128128077,13.733293061,28.6663707319,7.82026486315
33.0,7.86396348,16.4432635009,33.3672907424,9.06006376152
34.0,6.52823578698,14.6895302467,29.4847150586,8.26694902489
35.0,5.53125474625,12.5916561564,25.4416320179,7.31872111523
36.0,5.1795868389,11.5178837955,23.5167597011,6.8192890667
37.0,5.08577521556,11.2037885886,22.8906452058,6.60108140168
38.0,3.3775376221,7.4609802498,15.1270319704,4.2885140985
39.0,3.66748906258,8.14244380437,16.3162455685,4.50631270155
40.0,5.24641665308,11.2637649283,22.2741510399,5.76396945856
41.0,5.78709995173,11.4285930016,22.3629164721,5.14722351879
42.0,7.17117912353,14.499704165,29.6926450435,8.02176175502
43.0,8.75839986263,18.0871633206,39.0653019089,12.2197387257
44.0,8.59610079303,16.373550581,37.9843091801,13.0146578061
45.0,9.45603503202,14.3265830954,36.7877997931,13.0051816657
46.0,8.33026954906,12.0408014438,33.9594656118,13.588394619
47.0,8.12453800176,10.3815125684,32.069856275,13.5638057049
48.0,4.82927674104,7.46159919923,24.8154101334,12.5245341931
