hour_ending,hvac,lighting,total,other
1.0,906.86720862,1160.01079103,4032.76084782,1965.88284818
2.0,867.625575946,1124.80633787,3925.11598103,1932.68406721
3.0,908.32588008,1135.03859971,3970.88397099,1927.5194912
4.0,950.006336819,1141.99441797,3995.27325421,1903.27249942
5.0,1034.22835245,1232.27710502,4253.28851738,1986.78305991
6.0,1164.32391939,1279.84425223,4428.72070785,1984.55253623
7.0,1159.08256207,1345.19768257,4453.76569241,1949.48544777
8.0,1414.3662091,1481.54202858,4240.71349022,1344.80525253
9.0,1125.00569173,1349.05583691,3801.93874444,1327.87721581
10.0,1086.55499737,1431.50864279,3981.46830391,1463.40466375
11.0,1007.49455897,1439.22338188,3990.93971162,1544.22177077
12.0,929.702521429,1470.96800721,4075.22627414,1674.55574551
13.0,900.601504105,1489.58996184,4123.40047113,1733.20900518
14.0,897.016770271,1470.2456929,4063.97778407,1696.71532089
15.0,922.559568074,1474.42929614,4078.06348992,1681.07462571
16.0,845.252254683,1453.48078946,4046.60407759,1747.87103345
17.0,858.341819617,1482.09157981,4167.98699781,1827.55359838
18.0,944.154551111,1389.37296749,4527.94101419,2194.41349559
19.0,836.53882293,1312.79050479,4529.96894314,2380.63961541
20.0,819.897001934,1276.22807808,4466.49517841,2370.3700984
21.0,891.405497142,1254.58785724,4396.62313665,2250.62978227
22.0,886.477813734,1236.22499358,4344.37609388,2221.67328657
23.0,835.912709169,1191.8278632,4189.03774858,2161.29717621
24.0,852.885987669,1154.48570022,4071.53117,2064.15948211
25.0,1048.73646766,1131.87361366,3855.69276291,1675.0826816
26.0,1059.96238488,1087.53835731,3766.71502809,1619.2142859
27.0,1080.60780259,1104.62145653,3845.24310369,1660.01384457
28.0,1180.52939701,1128.08878986,3930.10279919,1621.48461233
29.0,1415.98369391,1233.55683385,4109.43304675,1459.89251899
30.0,1434.29745412,1430.43168576,4334.43730181,1469.70816192
31.0,1265.89049545,1880.20268021,4689.9522263,1543.85905063
32.0,1239.12784422,2256.96827796,4781.30059885,1285.20447666
33.0,1247.85163835,2494.85680263,5117.34807419,1374.63963321
34.0,1284.91790679,2827.72661063,5704.02772394,1591.38320652
35.0,1362.85538152,3062.18113297,6204.88576054,1779.84924605
36.0,1440.65248887,3171.55963849,6489.96869715,1877.75656979
37.0,1412.53751728,3090.64323553,6324.1351041,1820.95435129
38.0,1399.00225093,3062.67714488,6222.08267731,1760.4032815
39.0,1372.50980878,3022.49073962,6067.75245649,1672.75190809
40.0,1431.5423291,3042.94234936,6031.63957982,1557.15490137
41.0,1536.47759876,3005.35802996,5895.39240794,1353.55677922
42.0,1359.85498004,2715.34192478,5577.42245068,1502.22554586
43.0,1158.61803359,2352.42294301,5100.34457421,1589.3035976
44.0,1099.14309763,2065.64761247,4806.68851908,1641.89780899
45.0,1234.88345425,1848.34404874,4761.09095267,1677.86344968
46.0,1122.45448105,1596.31484599,4520.2570573,1801.48773026
47.0,1080.64910699,1363.04358179,4224.55633354,1780.86364476
48.0,814.224483794,1236.33866754,4125.79736084,2075.23420951
49.0,822.873237268,1162.78751996,3943.76982992,1958.1090727
50.0,783.938947116,1124.05716697,3870.29522043,1962.29910635
51.0,835.66239515,1150.90367998,3976.21236986,1989.64629473
52.0,853.285812471,1151.10109234,3969.79397563,1965.40707082
53.0,1243.12622188,1244.87117006,4114.60013979,1626.60274786
54.0,1239.35698429,1453.78778458,4361.23528112,1668.09051226
55.0,1133.83142927,1883.57721759,4669.85514408,1652.44649722
56.0,1092.34923921,2244.52187672,4719.73135198,1382.86023605
57.0,1194.66877632,2505.45531094,5110.56469385,1410.44060659
58.0,1265.04420091,2828.96318972,5695.70418742,1601.69679679
59.0,1321.82919084,2979.46129035,6035.97263625,1734.68215506
60.0,1354.40100485,2980.76582776,6098.40727491,1763.24044231
61.0,1325.8739869,2904.092188,5934.31103171,1704.34485681
62.0,1332.26457028,2904.05620378,5881.87712968,1645.55635562
