hour_ending,hvac,lighting,total,other
1.0,354.404079803,1695.47253852,4808.18812373,2758.31150541
2.0,338.879586412,1493.90351057,4409.83759484,2577.05449786
3.0,323.153637384,1413.07296765,4155.58679729,2419.36019226
4.0,324.653648276,1463.2996896,4204.7798231,2416.82648523
5.0,330.661935888,1467.77706103,4161.2491277,2362.81013078
6.0,324.078680866,1535.51922428,4233.19503631,2373.59713117
7.0,514.766990208,2308.44199005,4697.18666309,1873.97768283
8.0,567.230526244,3281.28184138,5227.72294312,1379.2105755
9.0,505.169336011,3657.63898285,5528.75519696,1365.9468781
10.0,611.659327507,3985.10737532,6109.18058626,1512.41388344
11.0,657.281019068,4428.5873528,6685.28634284,1599.41797097
12.0,664.604218319,4494.11461929,6825.05695043,1666.33811282
13.0,634.632836494,4512.8831893,6887.01227529,1739.4962495
14.0,643.732711278,4583.43685939,6978.87477553,1751.70520486
15.0,648.613673922,4598.77417878,7048.69353298,1801.30568028
16.0,670.055198746,4775.95567481,7326.50766487,1880.49679132
17.0,675.821220866,4786.62013135,7303.94469405,1841.50334183
18.0,631.092135089,4422.5022822,7595.28446157,2541.69004428
19.0,658.446067251,4310.81836519,7971.31473317,3002.05030073
20.0,618.422671749,3812.33479592,7363.8847341,2933.12726643
21.0,572.250013802,3507.67263324,6742.51521958,2662.59257253
22.0,595.908030748,2941.5658226,6461.62175046,2924.14789712
23.0,483.233824483,2411.34357081,5844.48039889,2949.9030036
24.0,457.321033865,1857.72021665,5089.09849178,2774.05724127
25.0,688.722897466,1765.158105,4809.56628132,2355.68527885
26.0,657.009789224,1547.39753931,4362.65035926,2158.24303072
27.0,610.9261737,1493.53248517,4147.3896094,2042.93095053
28.0,610.931419842,1599.76663297,4259.10736959,2048.40931678
29.0,564.407982693,1760.20920373,4238.81917016,1914.20198373
30.0,490.259826614,1929.70285221,4336.61288578,1916.65020696
31.0,570.631791952,2733.88147141,4854.21940462,1549.70614125
32.0,752.841287509,3720.83814572,5677.36257431,1203.68314108
33.0,807.327123603,4413.64428135,6528.58065871,1307.60925376
34.0,920.900509052,4903.85018023,7347.39711478,1522.6464255
35.0,969.745385668,5159.60670031,7657.99289636,1528.64081038
36.0,971.472268547,5190.20476181,7742.94317531,1581.26614495
37.0,988.392890622,5284.09989464,7910.01025883,1637.51747356
38.0,1012.89519968,5412.57759749,8079.61486471,1654.14206754
39.0,1035.17713906,5528.7558681,8270.27731729,1706.34431012
40.0,1060.56130247,5660.15919763,8412.284782,1691.5642819
41.0,1129.62784083,5819.62819363,8562.25606463,1613.00003016
42.0,1161.7742694,5714.76541027,8956.38193497,2079.8422553
43.0,1228.09537505,5572.5616607,9289.98045077,2489.32341502
44.0,1260.68336641,4947.55742511,8913.72435457,2705.48356305
45.0,1226.92498478,4625.66540743,8350.9865548,2498.39616259
46.0,1349.52723281,3867.21790332,7775.54325792,2558.79812179
47.0,1199.52888801,3006.25141158,6734.2242209,2528.44392131
48.0,804.248974188,2173.18743394,5583.80707844,2606.37067031
49.0,650.356641389,1888.60455122,5132.69179013,2593.73059752
50.0,605.416035546,1653.33359013,4643.52771482,2384.77808915
51.0,591.821964808,1579.6970196,4367.88629669,2196.36731228
52.0,579.685092932,1632.17690355,4322.60021893,2110.73822244
53.0,538.269465814,1822.84498309,4370.54388962,2009.42944072
54.0,476.628684325,1977.24757271,4419.24475975,1965.36850271
55.0,547.750389468,2767.26800137,4893.60549591,1578.58710507
56.0,757.569942331,3957.74991177,6015.01858133,1299.69872722
57.0,824.836044095,4649.04698594,6842.55503971,1368.67200968
58.0,944.417485626,4960.61135925,7401.04220767,1496.01336279
59.0,988.554833999,5285.37445341,7826.25482181,1552.3255344
60.0,1002.15904064,5300.25237027,7915.61217444,1613.20076353
61.0,1036.38623571,5461.08009897,8167.22928507,1669.76295039
62.0,1107.62779196,5668.74766684,8469.43886239,1693.06340359
63.0,1079.35392848,5591.07952096,8352.13798013,1681.70453069
64.0,1109.53646796,5742.8264009,8532.89038561,1680.52751674
65.0,1146.47992931,5812.5043212,8550.33271262,1591.34846211
66.0,1192.77668484,5767.47952638,9035.55629055,2075.30007933
67.0,1233.12132175,5625.47979342,9360.15827542,2501.55716025
68.0,1254.64941923,5018.55508822,8985.83097516,2712.62646771
69.0,1316.4410332,4775.76601461,8597.50170023,2505.29465241
70.0,1404.93724622,4020.36734527,8029.8824346,2604.57784311
71.0,1230.30435061,3096.04384491,6921.48216865,2595.13397313
72.0,829.485057861,2250.54489931,5779.81665648,2699.78669931
73.0,659.415990575,1931.86653942,5249.95311152,2658.67058153
74.0,585.119622738,1644.40452412,4621.52700182,2392.00285496
75.0,564.463922804,1543.74419345,4271.80160639,2163.59349014
76.0,551.690246393,1607.19862663,4262.68306945,2103.79419643
77.0,495.662553958,1755.92068318,4215.29363721,1963.71040007
78.0,447.38966253,1987.29899485,4445.08209273,2010.39343535
79.0,522.077175288,2754.4529482,4875.9807417,1599.45061821
80.0,730.141649361,3611.98116996,5518.26893105,1176.14611173
81.0,769.520197885,4196.87303743,6196.97232104,1230.57908573
82.0,888.988030314,4572.16368929,6840.39007831,1379.2383587
83.0,954.069629778,5008.50055056,7445.63239464,1483.0622143
84.0,1011.34363407,5023.76277807,7553.01577983,1517.9093677
85.0,1145.93932425,5215.42543013,7950.56115585,1589.19640147
86.0,1194.02505461,5428.53946038,8240.51850636,1617.95399137
87.0,1149.6757874,5380.83626477,8142.96283048,1612.45077832
88.0,1215.20477614,5369.30262952,8149.04275359,1564.53534793
89.0,1233.89865765,5471.77702884,8197.96387498,1492.28818848
90.0,1154.81382849,5213.73378191,8241.79585355,1873.24824316
91.0,1174.59718096,5272.27251124,8780.83633782,2333.96664561
92.0,1221.34629724,4774.58167052,8538.18447016,2542.25650239
93.0,1216.55124857,4547.47598901,8122.50373597,2358.47649839
94.0,1399.43481488,3842.94598876,7663.42053181,2421.03972816
95.0,1179.67834701,2937.34233419,6565.96069111,2448.9400099
96.0,764.737906768,2059.76200498,5295.43991857,2470.94000682
97.0,582.837003011,1739.9162768,4735.82292853,2413.06964872
98.0,564.442708161,1577.34680118,4437.530465,2295.74095566
99.0,526.556936513,1483.69989435,4123.16789985,2112.91106899
100.0,521.578668812,1510.1045144,4084.24084143,2052.55765822
101.0,497.097632458,1637.49124218,4105.88605086,1971.29717623
102.0,448.752904112,1869.01386029,4230.78407865,1913.01731425
103.0,593.463773824,2616.90995884,4646.64435386,1436.2706212
104.0,747.89427299,3398.31686661,5242.57882801,1096.36768841
105.0,759.427395677,3575.74131778,5400.79963249,1065.63091903
106.0,763.49827836,3804.25640317,5711.27495963,1143.5202781
107.0,795.261023732,4175.23066008,6165.72998383,1195.23830001
108.0,1021.40507263,4428.69708965,6749.07726981,1298.97510753
109.0,1238.63122755,4582.81205905,7171.91351018,1350.47022358
110.0,1224.37393466,4661.46803907,7206.75749611,1320.91552238
111.0,1235.98061106,4735.70325353,7245.34414652,1273.66028193
112.0,1274.77768538,4862.68013664,7336.22299147,1198.76516945
113.0,1381.72975652,5049.28393601,7504.51321159,1073.49951906
114.0,1325.11553327,4891.76917736,7843.37568504,1626.49097441
115.0,1262.64014166,4742.01285117,8188.22554779,2183.57255495
116.0,1209.29668113,4360.22849811,7962.75788338,2393.23270413
117.0,1256.84868532,4076.90388095,7695.67670611,2361.92413983
118.0,1232.01014661,3261.38842526,6830.70060399,2337.30203211
119.0,854.979966771,2563.68135589,5882.86665015,2464.20532749
