hour_ending,hvac,lighting,total,other
1.0,278.720651033,1435.68236284,4050.06996782,2335.66695394
2.0,284.168571106,1365.60604349,4005.50988917,2355.73527458
3.0,288.539334192,1394.53663682,4070.69961324,2387.62364223
4.0,285.601495533,1422.10494398,4056.49453658,2348.78809707
5.0,299.779504158,1478.63355314,4158.69984051,2380.28678321
6.0,304.224604347,1605.32798458,4391.05971598,2481.50712706
7.0,503.008253306,2410.63969383,4870.58903861,1956.94109147
8.0,558.672065455,3396.25415888,5382.46274191,1427.53651757
9.0,510.270710384,3882.56050479,5842.77513403,1449.94391886
10.0,593.264823657,3994.60245718,6103.88470423,1516.01742339
11.0,622.945226733,4307.2889428,6485.8442981,1555.61012857
12.0,645.525224216,4446.30823091,6740.44580575,1648.61235063
13.0,621.609147885,4496.57594288,6851.39569253,1733.21060176
14.0,627.990373357,4535.65461825,6897.08870339,1733.44371178
15.0,629.667181793,4537.79702066,6944.88558291,1777.42138046
16.0,628.715652154,4546.46454377,6965.3165725,1790.13637658
17.0,651.159013642,4686.62829798,7140.82190301,1803.03459139
18.0,614.698093311,4392.09485309,7531.00730499,2524.21435859
19.0,615.233600485,4103.55662705,7576.50362733,2857.7133998
20.0,605.977768011,3829.43023399,7381.68812572,2946.28012372
21.0,592.100883804,3746.36659027,7182.24706819,2843.77959411
22.0,559.34726033,2857.86366035,6258.15228207,2840.94136139
23.0,448.499757267,2335.54549603,5641.22112701,2857.17587372
24.0,437.814659683,1872.42110925,5106.24524887,2796.00947994
25.0,650.230918118,1729.92350401,4688.81749337,2308.66307124
26.0,681.985675915,1677.75739923,4699.80638927,2340.06331413
27.0,655.303617034,1687.01546171,4649.90604787,2307.58696912
28.0,641.463179832,1784.42447518,4710.7407359,2284.85308089
29.0,665.729967579,2205.47711447,5269.63146175,2398.4243797
30.0,600.230004091,2577.69771213,5738.18970048,2560.26198426
31.0,762.650903014,3898.77285965,6871.45090068,2210.02713802
32.0,927.131337949,4764.77831168,7233.30519013,1541.3955405
33.0,876.617244842,4950.84087229,7294.2200322,1466.76191507
34.0,913.622932728,4962.97590645,7417.60381406,1541.00497488
35.0,990.036938684,5343.50655154,7916.66845685,1583.12496662
36.0,982.70881773,5316.6680576,7919.17177538,1619.79490005
37.0,996.295432486,5375.98867568,8038.27747877,1665.99337061
38.0,984.601181825,5317.92527369,7927.74175244,1625.21529692
39.0,981.996158917,5291.37378715,7906.4508362,1633.08089014
40.0,1000.35229069,5393.59564637,8005.84849106,1611.900554
41.0,1054.30481033,5483.85889368,8058.10007565,1519.93637164
42.0,1064.81305504,5293.11648031,8284.31610201,1926.38656666
43.0,1082.40910778,4967.24102326,8268.57028663,2218.92015559
44.0,1138.62916448,4522.90873424,8134.80989665,2473.27199792
45.0,1158.01262698,4420.4407328,7966.00438024,2387.55102046
46.0,1211.06264436,3517.01385389,7055.15727534,2327.08077709
47.0,1102.14261502,2794.28553933,6246.5956284,2350.16747406
48.0,793.400938913,2181.25124236,5590.69402556,2616.04184429
49.0,623.072511099,1848.54361073,5010.32869714,2538.71257532
50.0,630.739864637,1757.7324001,4923.83581108,2535.36354634
51.0,647.941108905,1770.72378023,4880.63055832,2461.96566919
52.0,644.355226233,1858.44560389,4906.15071329,2403.34988317
53.0,640.018576533,2230.18833351,5328.67492968,2458.46801964
54.0,589.837271454,2542.21734742,5658.99862459,2526.94400571
55.0,748.823731674,3910.71519722,6890.40510407,2230.86617518
56.0,896.937498977,4792.06853051,7262.68943766,1573.68340818
57.0,874.108914034,5018.95033053,7370.63020828,1477.57096371
58.0,968.676973801,5146.72487185,7667.54302852,1552.14118287
59.0,1016.99938434,5497.34347678,8128.92414114,1614.58128002
60.0,1016.48974174,5434.44449744,8104.97812241,1654.04388323
