hour_ending,hvac,lighting,total,other
1.0,97.4968835559,484.311444835,1369.71954496,787.911216571
2.0,100.128226422,462.728217484,1361.08459299,798.228149083
3.0,101.204167902,462.325878027,1355.09060278,791.560556854
4.0,100.64710296,473.302425988,1355.66898586,781.719456911
5.0,103.073833309,473.961444921,1340.0127994,762.977521173
6.0,98.0772456261,480.434368588,1321.16440616,742.652791945
7.0,140.438716489,639.121798054,1298.39529199,518.834777451
8.0,143.112567239,799.743039175,1279.00900945,336.153403039
9.0,120.165392715,849.056156334,1286.30194203,317.080392985
10.0,136.102652145,878.080334849,1347.428936,333.245949011
11.0,138.89506306,929.952006411,1404.70630238,335.859232911
12.0,140.001876838,945.387797373,1435.92272724,350.533053028
13.0,133.488013954,949.244967126,1448.62059459,365.887613507
14.0,134.002187923,954.950881285,1453.9177192,364.964649989
15.0,132.260528948,943.521745323,1445.35273223,369.570457962
16.0,132.036146485,944.702046577,1448.7075513,371.969358239
17.0,131.959969595,932.866649987,1423.71807248,358.891452902
18.0,119.704124649,834.809200936,1434.29289369,479.779568104
19.0,119.742150486,778.929343424,1441.11723659,542.445742682
20.0,119.937368206,733.102842702,1417.07355324,564.033342329
21.0,118.51496255,735.178151432,1411.74972022,558.056606235
22.0,129.077474422,646.07027589,1417.3924433,642.244692987
23.0,112.948221433,574.24258759,1389.68710794,702.496298922
24.0,121.604004468,506.893107984,1385.41975567,756.922643221
25.0,193.598398737,505.92886195,1374.71276892,675.185508234
26.0,199.375575218,481.040200952,1351.34980238,670.934026209
27.0,195.561045616,489.175967933,1353.85719343,669.120179886
28.0,190.889485692,507.202141392,1347.53484618,649.443219096
29.0,176.881444042,562.985820483,1352.10618027,612.238915747
30.0,151.385007111,600.823588936,1348.96817215,596.759576098
31.0,156.947621129,759.022231082,1346.22311123,430.253259022
32.0,176.554055295,842.787230996,1291.98114369,272.639857401
33.0,173.533436897,925.879029027,1373.71821171,274.305745785
34.0,187.586646577,992.206810171,1487.87386242,308.080405668
35.0,196.574886742,1043.04653894,1548.64565934,309.02423366
36.0,202.70797565,1081.97609426,1614.32273467,329.638664758
37.0,202.947186045,1085.30887937,1624.58813514,336.332069722
38.0,196.874115266,1050.60462446,1568.55483968,321.076099949
39.0,189.049084076,1007.95383152,1508.08850634,311.085590741
40.0,181.243445474,963.443546446,1432.61647127,287.929479347
41.0,180.254483311,923.97990032,1360.32971438,256.095330749
42.0,175.57120022,857.629976176,1345.32861047,312.127434077
43.0,174.250859407,783.480387947,1307.72038945,349.989142099
44.0,174.421660273,677.438924553,1222.30598199,370.445397165
45.0,173.125487771,653.533850293,1179.64346465,352.984126581
46.0,199.767025219,573.605815258,1152.90704812,379.534207646
47.0,204.352424303,513.559996561,1149.84823519,431.935814328
48.0,164.066313123,446.135986532,1145.26693886,535.064639207
49.0,139.930027993,409.977962097,1112.95459713,563.046607036
50.0,141.845683314,390.921960796,1096.63577831,563.868134199
51.0,145.717072719,393.460931562,1086.23526781,547.057263526
52.0,145.802431217,415.243533427,1098.04069586,536.994731219
53.0,132.773528792,455.519750602,1090.43954316,502.146263768
54.0,113.81369929,480.151430277,1071.23186673,477.266737166
55.0,118.935608808,608.758792671,1074.96065098,347.266249503
