hour_ending,total,process,other
1.0,1563.70871386,1407.33784247,156.370871386
2.0,1529.96317513,1376.96685762,152.996317513
3.0,1437.94650876,1294.15185788,143.794650876
4.0,1383.59320682,1245.23388614,138.359320682
5.0,1332.50475964,1199.25428368,133.250475964
6.0,1388.1117658,1249.30058922,138.81117658
7.0,1451.34547267,1306.2109254,145.134547267
8.0,1550.85824555,1395.77242099,155.085824555
9.0,1460.643779,1314.5794011,146.0643779
10.0,1388.21624115,1249.39461704,138.821624115
11.0,1503.11300964,1352.80170868,150.311300964
12.0,1560.18267073,1404.16440366,156.018267073
13.0,1442.12552284,1297.91297056,144.212552284
14.0,1446.95750788,1302.26175709,144.695750788
15.0,1588.18206509,1429.36385858,158.818206509
16.0,1510.21733358,1359.19560022,151.021733358
17.0,1595.88712231,1436.29841008,159.588712231
18.0,1535.83991368,1382.25592231,153.583991368
19.0,1681.19124731,1513.07212258,168.119124731
20.0,1558.32823323,1402.49540991,155.832823323
21.0,1491.80355277,1342.62319749,149.180355277
22.0,1542.00395946,1387.80356351,154.200395946
23.0,1594.13716016,1434.72344414,159.413716016
24.0,1413.83882126,1272.45493913,141.383882126
25.0,1352.74685911,1217.4721732,135.274685911
26.0,1594.11104132,1434.69993719,159.411104132
27.0,1605.10707213,1444.59636492,160.510707213
28.0,1426.76764608,1284.09088147,142.676764608
29.0,1326.62802109,1193.96521898,132.662802109
30.0,1467.8525783,1321.06732047,146.78525783
31.0,1704.28030012,1533.85227011,170.428030012
32.0,1913.28324202,1721.95491782,191.328324202
33.0,1943.52885645,1749.1759708,194.352885645
34.0,1948.85709941,1753.97138947,194.885709941
35.0,2097.47328779,1887.72595901,209.747328779
36.0,2037.55667335,1833.80100601,203.755667335
37.0,2020.63166631,1818.56849968,202.063166631
38.0,1945.59224466,1751.03302019,194.559224466
39.0,1863.99699466,1677.59729519,186.399699466
40.0,2000.85970592,1800.77373533,200.085970592
41.0,1889.07107917,1700.16397125,188.907107917
42.0,1636.29296474,1472.66366827,163.629296474
43.0,1474.64347619,1327.17912857,147.464347619
44.0,1606.5958459,1445.93626131,160.65958459
45.0,1646.76661879,1482.08995691,164.676661879
46.0,1554.95890312,1399.46301281,155.495890312
47.0,1525.96699291,1373.37029362,152.596699291
48.0,1519.07161967,1367.1644577,151.907161967
49.0,1471.92711703,1324.73440533,147.192711703
50.0,1464.79667425,1318.31700683,146.479667425
51.0,1473.4158908,1326.07430172,147.34158908
52.0,1558.19763904,1402.37787514,155.819763904
53.0,1558.32823323,1402.49540991,155.832823323
54.0,1660.21782037,1494.19603833,166.021782037
55.0,1801.80804132,1621.62723719,180.180804132
56.0,1934.54397617,1741.08957855,193.454397617
57.0,2012.09080628,1810.88172565,201.209080628
58.0,1966.7746223,1770.09716007,196.67746223
59.0,1985.29287846,1786.76359061,198.529287846
60.0,2129.75617159,1916.78055443,212.975617159
61.0,2018.907823,1817.0170407,201.8907823
62.0,1943.34602459,1749.01142213,194.334602459
63.0,1843.31087494,1658.97978745,184.331087494
64.0,2076.36926666,1868.73233999,207.636926666
65.0,1880.26903075,1692.24212767,188.026903075
66.0,1754.53294449,1579.07965004,175.453294449
67.0,1607.61448058,1446.85303252,160.761448058
68.0,1684.142676,1515.7284084,168.4142676
69.0,1693.9633591,1524.56702319,169.39633591
70.0,1512.9075739,1361.61681651,151.29075739
71.0,1378.89181598,1241.00263438,137.889181598
72.0,1432.14812672,1288.93331405,143.214812672
73.0,1423.24160295,1280.91744266,142.324160295
74.0,1398.19363728,1258.37427355,139.819363728
75.0,1358.20569626,1222.38512663,135.820569626
76.0,1317.48642778,1185.737785,131.748642778
77.0,1361.13100612,1225.01790551,136.113100612
78.0,1366.1980607,1229.57825463,136.61980607
79.0,1309.10228077,1178.19205269,130.910228077
80.0,1326.26235735,1193.63612162,132.626235735
81.0,1498.43773763,1348.59396387,149.843773763
82.0,1661.6804753,1495.51242777,166.16804753
83.0,1631.06919713,1467.96227742,163.106919713
84.0,1514.63141721,1363.16827549,151.463141721
85.0,1584.76049731,1426.28444758,158.476049731
86.0,1722.74631861,1550.47168675,172.274631861
87.0,1617.25233182,1455.52709864,161.725233182
88.0,1438.9390246,1295.04512214,143.89390246
89.0,1529.46691721,1376.52022549,152.946691721
90.0,1560.80952284,1404.72857056,156.080952284
91.0,1514.57917953,1363.12126158,151.457917953
92.0,1450.6141452,1305.55273068,145.06141452
93.0,1342.37768042,1208.13991238,134.237768042
94.0,1416.92084415,1275.22875974,141.692084415
95.0,1465.00562495,1318.50506246,146.500562495
96.0,1313.25517602,1181.92965842,131.325517602
97.0,1513.63890136,1362.27501122,151.363890136
98.0,1514.31799115,1362.88619204,151.431799115
99.0,1538.06001492,1384.25401343,153.806001492
100.0,1447.11422091,1302.40279882,144.711422091
101.0,1262.08837232,1135.87953509,126.208837232
102.0,1298.05401228,1168.24861105,129.805401228
103.0,1348.80291457,1213.92262311,134.880291457
104.0,1393.59672179,1254.23704961,139.359672179
105.0,1325.08700964,1192.57830868,132.508700964
106.0,1383.20142425,1244.88128183,138.320142425
107.0,1420.31629309,1278.28466378,142.031629309
108.0,1438.44276668,1294.59849001,143.844276668
109.0,1319.13191457,1187.21872311,131.913191457
110.0,1338.61656774,1204.75491097,133.861656774
111.0,1347.00071475,1212.30064328,134.700071475
112.0,1417.36486439,1275.62837795,141.736486439
113.0,1391.58557126,1252.42701413,139.158557126
114.0,1460.33035295,1314.29731765,146.033035295
115.0,1526.98562759,1374.28706483,152.698562759
116.0,1561.41025611,1405.2692305,156.141025611
117.0,1633.3154172,1469.98387548,163.33154172
118.0,1551.3022658,1396.17203922,155.13022658
119.0,1535.21306157,1381.69175541,153.521306157
120.0,1499.74367953,1349.76931158,149.974367953
121.0,1487.7028952,1338.93260568,148.77028952
122.0,1523.85136703,1371.46623033,152.385136703
123.0,1478.221757,1330.3995813,147.8221757
124.0,1324.43403869,1191.99063482,132.443403869
125.0,1372.85836439,1235.57252795,137.285836439
126.0,1396.26084327,1256.63475894,139.626084327
127.0,1461.16615576,1315.04954018,146.116615576
128.0,1626.21109326,1463.58998393,162.621109326
129.0,1791.9090017,1612.71810153,179.19090017
130.0,1875.54152107,1687.98736896,187.554152107
131.0,1760.12237583,1584.11013825,176.012237583
132.0,1759.70447442,1583.73402698,175.970447442
133.0,1863.21342952,1676.89208657,186.321342952
134.0,1986.96448409,1788.26803568,198.696448409
135.0,1836.62445241,1652.96200717,183.662445241
136.0,1716.66062935,1544.99456642,171.666062935
