hour_ending,total,process,other
1.0,4439.9398575,3995.94587175,443.99398575
2.0,4397.46009571,3957.71408614,439.746009571
3.0,4406.37340868,3965.73606781,440.637340868
4.0,4387.42568112,3948.68311301,438.742568112
5.0,4506.17365383,4055.55628845,450.617365383
6.0,4594.39658214,4134.95692393,459.439658214
7.0,4625.70972768,4163.13875491,462.570972768
8.0,4624.76622631,4162.28960368,462.476622631
9.0,4660.29737799,4194.26764019,466.029737799
10.0,4693.60852643,4224.24767379,469.360852643
11.0,4743.12569845,4268.81312861,474.312569845
12.0,4855.60216204,4370.04194584,485.560216204
13.0,4965.83642237,4469.25278013,496.583642237
14.0,5042.68183413,4538.41365072,504.268183413
15.0,5116.7078418,4605.03705762,511.67078418
16.0,5111.0024335,4599.90219015,511.10024335
17.0,5032.65851955,4529.3926676,503.265851955
18.0,4986.30485214,4487.67436693,498.630485214
19.0,4943.11468932,4448.80322039,494.311468932
20.0,4832.61402861,4349.35262575,483.261402861
21.0,4812.23439897,4331.01095907,481.223439897
22.0,4787.54796306,4308.79316675,478.754796306
23.0,4665.18138509,4198.66324658,466.518138509
24.0,4648.28716052,4183.45844447,464.828716052
25.0,4607.2282008,4146.50538072,460.72282008
26.0,4598.57018821,4138.71316939,459.857018821
27.0,4612.22320807,4151.00088726,461.222320807
28.0,4612.87810902,4151.59029812,461.287810902
29.0,4981.82044561,4483.63840105,498.182044561
30.0,5226.12070093,4703.50863084,522.612070093
31.0,5909.71519515,5318.74367563,590.971519515
32.0,6571.57585777,5914.41827199,657.157585777
33.0,6908.1616473,6217.34548257,690.81616473
34.0,7195.46336516,6475.91702864,719.546336516
35.0,7617.25287861,6855.52759075,761.725287861
36.0,7662.38554426,6896.14698983,766.238554426
37.0,7818.65157153,7036.78641438,781.865157153
38.0,7994.79772772,7195.31795495,799.479772772
39.0,7905.90879844,7115.3179186,790.590879844
40.0,7716.00972225,6944.40875002,771.600972225
41.0,7355.45899786,6619.91309807,735.545899786
42.0,6904.86494251,6214.37844826,690.486494251
43.0,6521.08188433,5868.9736959,652.108188433
44.0,6107.11788226,5496.40609403,610.711788226
45.0,5946.48954864,5351.84059378,594.648954864
46.0,5836.39958852,5252.75962967,583.639958852
47.0,5722.1804224,5149.96238016,572.21804224
48.0,5538.16435477,4984.34791929,553.816435477
49.0,5359.10999435,4823.19899492,535.910999435
