hour_ending,total,process,other
1.0,127.520618089,114.76855628,12.7520618089
2.0,128.859202126,115.973281913,12.8859202126
3.0,131.809550617,118.628595555,13.1809550617
4.0,125.171266513,112.654139862,12.5171266513
5.0,131.727596492,118.554836843,13.1727596492
6.0,155.303066374,139.772759737,15.5303066374
7.0,185.981227067,167.38310436,18.5981227067
8.0,184.806551279,166.325896151,18.4806551279
9.0,147.27156215,132.544405935,14.727156215
10.0,149.320415269,134.388373742,14.9320415269
11.0,183.058196618,164.752376956,18.3058196618
12.0,173.114429483,155.802986535,17.3114429483
13.0,142.76408529,128.487676761,14.276408529
14.0,111.1024751,99.99222759,11.11024751
15.0,89.6304944193,80.6674449774,8.96304944193
16.0,97.2522280197,87.5270052177,9.72522280197
17.0,91.6793475377,82.5114127839,9.16793475377
18.0,103.426105417,93.0834948753,10.3426105417
19.0,140.00496309,126.004466781,14.000496309
20.0,120.226700987,108.204030888,12.0226700987
21.0,123.368275769,111.031448192,12.3368275769
22.0,121.456012858,109.310411572,12.1456012858
23.0,121.619921108,109.457928997,12.1619921108
24.0,124.898086097,112.408277487,12.4898086097
25.0,126.6737588,114.00638292,12.66737588
26.0,122.084327815,109.875895034,12.2084327815
27.0,130.225104205,117.202593785,13.0225104205
28.0,128.804566043,115.924109439,12.8804566043
29.0,141.698681668,127.528813501,14.1698681668
30.0,171.994389779,154.794950801,17.1994389779
31.0,178.659991924,160.793992732,17.8659991924
32.0,310.087089958,279.078380962,31.0087089958
33.0,315.195563734,283.676007361,31.5195563734
34.0,398.242410133,358.41816912,39.8242410133
35.0,418.485078942,376.636571048,41.8485078942
36.0,475.443195634,427.898876071,47.5443195634
37.0,432.936322937,389.642690643,43.2936322937
38.0,284.790583457,256.311525111,28.4790583457
39.0,227.340742017,204.606667815,22.7340742017
40.0,221.358090911,199.22228182,22.1358090911
41.0,183.850419824,165.465377842,18.3850419824
42.0,146.014932238,131.413439014,14.6014932238
43.0,161.476943771,145.329249394,16.1476943771
44.0,116.456811249,104.811130124,11.6456811249
45.0,118.915434992,107.023891493,11.8915434992
46.0,120.991606152,108.892445537,12.0991606152
47.0,121.865783482,109.679205134,12.1865783482
48.0,119.325205615,107.392685054,11.9325205615
49.0,114.189413798,102.770472418,11.4189413798
50.0,111.129793142,100.016813828,11.1129793142
51.0,118.013939619,106.212545657,11.8013939619
52.0,116.210948875,104.589853988,11.6210948875
53.0,128.558703669,115.702833302,12.8558703669
54.0,175.573053226,158.015747903,17.5573053226
55.0,199.776838064,179.799154258,19.9776838064
56.0,213.435858853,192.092272968,21.3435858853
57.0,255.614915051,230.053423546,25.5614915051
58.0,351.555877075,316.400289368,35.1555877075
59.0,292.822087681,263.539878913,29.2822087681
60.0,266.951902306,240.256712075,26.6951902306
61.0,225.100662607,202.590596346,22.5100662607
62.0,211.141143361,190.027029025,21.1141143361
63.0,211.332369652,190.199132687,21.1332369652
64.0,198.247027736,178.422324962,19.8247027736
65.0,181.801566705,163.621410035,18.1801566705
66.0,167.486912918,150.738221626,16.7486912918
67.0,170.355307284,153.319776556,17.0355307284
68.0,132.192003199,118.972802879,13.2192003199
69.0,122.084327815,109.875895034,12.2084327815
70.0,137.92879193,124.135912737,13.792879193
71.0,133.038862488,119.734976239,13.3038862488
72.0,135.470168188,121.923151369,13.5470168188
73.0,132.192003199,118.972802879,13.2192003199
74.0,130.197786164,117.178007548,13.0197786164
75.0,139.841054841,125.856949357,13.9841054841
76.0,134.104266109,120.693839498,13.4104266109
77.0,135.388214063,121.849392657,13.5388214063
78.0,141.179638878,127.06167499,14.1179638878
79.0,141.72599971,127.553399739,14.172599971
80.0,143.884124994,129.495712495,14.3884124994
81.0,123.313639686,110.982275717,12.3313639686
82.0,106.458408032,95.8125672288,10.6458408032
83.0,88.2372742988,79.4135468689,8.82372742988
84.0,89.0568155462,80.1511339916,8.90568155462
85.0,85.2322897252,76.7090607527,8.52322897252
86.0,106.349135865,95.7142222785,10.6349135865
87.0,90.0675830846,81.0608247761,9.00675830846
88.0,89.2480418372,80.3232376535,8.92480418372
89.0,77.5559200416,69.8003280374,7.75559200416
90.0,74.0865287611,66.677875885,7.40865287611
91.0,112.741557595,101.467401835,11.2741557595
92.0,111.512245724,100.361021152,11.1512245724
93.0,114.681138547,103.213024692,11.4681138547
94.0,116.566083416,104.909475074,11.6566083416
