hour_ending,total,process,other
1.0,421.422824686,231.002140877,190.420683809
2.0,422.460186206,231.570768673,190.889417533
3.0,417.823815332,229.029350565,188.794464767
4.0,449.241049926,246.250649523,202.990400403
5.0,428.938403042,235.121791234,193.816611808
6.0,459.805200912,252.041369321,207.763831591
7.0,482.860031419,264.678831966,218.181199453
8.0,495.73178252,271.734458493,223.997324027
9.0,440.412891688,241.411510934,199.001380754
10.0,411.04920949,225.315862919,185.733346571
11.0,415.092802352,227.532350857,187.560451495
12.0,408.12766072,223.714421371,184.413239349
13.0,386.089021089,211.633981873,174.455039216
14.0,384.01429805,210.496726282,173.517571768
15.0,409.546093818,224.491932847,185.054160971
16.0,395.382933479,216.728422737,178.654510742
17.0,380.859872204,208.767633596,172.092238608
18.0,372.052884609,203.940099656,168.112784953
19.0,398.029263886,218.179003849,179.850260037
20.0,388.248426701,212.81765606,175.430770641
21.0,393.773964591,215.846469421,177.92749517
22.0,426.186219419,233.613186878,192.573032541
23.0,407.005616627,223.09937498,183.906241647
24.0,405.33313581,222.182607717,183.150528093
25.0,402.369245754,220.557956872,181.811288882
26.0,398.89726026,218.654794454,180.242465806
27.0,434.569794149,238.20862784,196.361166309
28.0,421.952090767,231.292257099,190.659833668
29.0,425.402905618,233.183814868,192.21909075
30.0,444.308290047,243.54676633,200.761523717
31.0,503.480237952,275.981759988,227.498477964
32.0,624.004710018,342.04702614,281.957683878
33.0,1001.54079123,548.992729859,452.548061371
34.0,1126.15119745,617.29769325,508.8535042
35.0,1247.90356682,684.036029035,563.867537785
36.0,1296.42668117,710.633884301,585.792796869
37.0,1311.39432595,718.838371067,592.555954883
38.0,1296.9347766,710.91239587,586.02238073
39.0,1266.08914938,694.004422436,572.084726944
40.0,1286.70935591,705.307350456,581.402005454
41.0,1010.79236233,554.063961424,456.728400906
42.0,858.046171231,470.336419659,387.709751572
43.0,723.400880112,396.530852695,326.870027417
44.0,575.714472747,315.576822013,260.137650734
45.0,440.116502682,241.249045849,198.867456833
46.0,448.563589342,245.879300758,202.684288584
47.0,442.297078938,242.444324686,199.852754252
48.0,420.300780593,230.387094485,189.913686108
49.0,432.346876607,236.990139706,195.356736901
50.0,442.043031219,242.305068899,199.73796232
51.0,431.013126082,236.259046826,194.754079256
52.0,455.82511998,249.859695329,205.965424651
53.0,456.206191558,250.068579009,206.137612549
54.0,485.209972821,265.966947993,219.243024828
55.0,532.716896291,292.00778011,240.709116181
56.0,695.815531948,381.409995187,314.405536761
57.0,1244.91850612,682.399773541,562.518732579
58.0,1296.19380409,710.506233161,585.687570929
59.0,1246.42162179,683.223703611,563.197918179
60.0,1247.14142366,683.618261673,563.523161987
61.0,1200.39664335,657.995196918,542.401446432
62.0,1158.41525777,634.983178162,523.432079608
63.0,1153.86356947,632.48817865,521.37539082
64.0,1099.83608788,602.873114675,496.962973205
65.0,965.021431611,528.974710518,436.046721093
66.0,773.3635982,423.917824084,349.445774116
67.0,687.601322364,376.907391416,310.693930948
68.0,540.677058156,296.371128094,244.305930062
69.0,447.229838817,245.148207878,202.081630939
70.0,433.807650992,237.790860479,196.016790513
71.0,458.048037522,251.078183463,206.969854059
72.0,394.959520614,216.49632976,178.463190854
73.0,416.871136386,228.507141365,188.363995021
74.0,395.636981198,216.867678524,178.769302674
75.0,408.487561656,223.911700403,184.575861253
76.0,403.808849496,221.347072997,182.461776499
77.0,408.106490077,223.702816722,184.403673355
78.0,413.018079313,226.395095266,186.622984047
79.0,417.209866678,228.692815747,188.517050931
80.0,460.419149566,252.377904138,208.041245428
81.0,555.263631361,304.366731182,250.896900179
82.0,557.719425978,305.712870453,252.006555525
83.0,533.711916524,292.553198608,241.158717916
84.0,539.110430555,295.512384076,243.598046479
85.0,482.246082765,264.342297148,217.903785617
86.0,390.238467167,213.908493056,176.329974111
87.0,387.295747755,212.29544686,175.000300895
88.0,382.9134246,209.893284539,173.020140061
89.0,376.858620629,206.574354956,170.284265673
90.0,374.339314081,205.193401737,169.145912344
91.0,419.094053928,229.725629498,189.36842443
92.0,420.004391588,230.224629401,189.779762187
93.0,407.21732306,223.215421469,184.001901591
94.0,419.157565857,229.760443445,189.397122412
95.0,416.553576737,228.333071631,188.220505106
96.0,418.734152992,229.528350467,189.205802525
97.0,435.691838242,238.823674231,196.868164011
98.0,434.358087716,238.09258135,196.265506366
99.0,444.096583615,243.430719842,200.665863773
100.0,451.167578463,247.306672572,203.860905891
101.0,449.368073786,246.320277416,203.04779637
102.0,470.962129909,258.157019288,212.805110621
103.0,465.563615878,255.19783382,210.365782058
104.0,455.020635536,249.418718671,205.601916865
105.0,424.175008309,232.510745232,191.664263077
106.0,419.602149366,230.004141072,189.598008294
107.0,448.267200337,245.716835674,202.550364663
108.0,424.175008309,232.510745232,191.664263077
109.0,415.135143638,227.555560155,187.579583483
110.0,403.935873355,221.41670089,182.519172465
111.0,381.071578637,208.883680085,172.187898552
112.0,408.741609375,224.050956189,184.690653186
113.0,367.458855022,201.421890847,166.036964175
114.0,372.688003907,204.288239123,168.399764784
115.0,422.862428427,231.791257001,191.071171426
116.0,406.793910195,222.983328491,183.810581704
117.0,380.881042848,208.779238245,172.101804603
118.0,384.162492553,210.577958824,173.584533729
119.0,389.836224946,213.688004727,176.148220219
120.0,411.95954715,225.814862821,186.144684329
121.0,413.907246329,226.882490519,187.02475581
122.0,432.008146315,236.804465323,195.203680992
123.0,431.817610525,236.700023483,195.117587042
124.0,464.01815892,254.35069445,209.66746447
125.0,440.349379758,241.376696987,198.972682771
126.0,488.936006034,268.009366198,220.926639836
127.0,528.122866704,289.4895713,238.633295404
128.0,686.818008563,376.478019407,310.339989156
129.0,1055.12368932,578.364096212,476.759593108
130.0,1239.79521045,679.591448507,560.203761943
131.0,1208.08158685,662.207684465,545.873902385
132.0,1254.80519652,687.819144573,566.986051947
133.0,1316.05186747,721.391393826,594.660473644
134.0,1372.06938953,752.097294798,619.972094732
135.0,1357.48281632,744.101691708,613.381124612
136.0,1329.93980944,729.004043496,600.935765944
137.0,1180.05165518,646.843129331,533.208525849
138.0,1053.89579201,577.691026575,476.204765435
139.0,969.276730906,531.307244946,437.96948596
140.0,824.173142019,451.768981429,372.40416059
141.0,609.4604781,334.07463235,275.38584575
142.0,570.633518366,312.791706279,257.841812087
143.0,569.532644916,312.188264536,257.34438038
144.0,572.136634037,313.61563635,258.520997687
145.0,566.992167725,310.795706669,256.196461056
146.0,581.028304205,318.489588886,262.538715319
147.0,587.315985253,321.936169607,265.379815646
148.0,584.733166775,320.520402442,264.212764333
149.0,610.159109327,334.457585763,275.701523564
150.0,639.374597023,350.472001236,288.902595787
151.0,664.355956067,364.165486931,300.190469136
152.0,878.391159401,481.488487245,396.902672156
153.0,1158.56345227,635.064410702,523.499041568
154.0,1304.09045403,714.834767201,589.255686829
155.0,1376.68458976,754.627108257,622.057481503
156.0,1355.68331164,743.11529655,612.56801509
157.0,1358.43549527,744.62390091,613.81159436
158.0,1326.53133588,727.135695027,599.395640853
159.0,1322.55125495,724.954021036,597.597233914
160.0,1294.75420035,709.717117037,585.037083313
161.0,1139.02294855,624.353319777,514.669628773
162.0,1013.73508175,555.677007624,458.058074126
163.0,881.926656825,483.42646361,398.500193215
164.0,758.438294704,415.736546614,342.70174809
165.0,594.937416825,326.113843209,268.823573616
166.0,550.415554055,301.709266586,248.706287469
167.0,551.029502709,302.045801403,248.983701306
168.0,543.831484001,298.100220779,245.731263222
169.0,532.081776993,291.659640643,240.42213635
170.0,530.472808106,290.777687328,239.695120778
171.0,533.817769741,292.611221853,241.206547888
172.0,535.659615704,293.620826307,242.038789397
173.0,519.696950688,284.870921041,234.826029647
174.0,555.644702939,304.575614862,251.069088077
175.0,616.362107802,337.857747889,278.504359913
176.0,833.255347976,456.747375804,376.507972172
177.0,1226.14014555,672.106449972,554.033695578
178.0,1377.67960999,755.172526753,622.507083237
179.0,1391.82159968,762.924432211,628.897167469
180.0,1391.54638132,762.773571777,628.772809543
181.0,1422.62488562,779.809196351,642.815689269
182.0,1388.0108839,760.835595414,627.175288486
183.0,1372.68333818,752.433829614,620.249508566
184.0,1389.89507115,761.868409165,628.026661985
185.0,1244.11402168,681.958796885,562.155224795
186.0,1103.20222015,604.718253845,498.483966305
187.0,933.942927309,511.939085942,422.003841367
188.0,748.107020794,410.073477954,338.03354284
189.0,639.840351175,350.727303512,289.113047663
190.0,639.247573163,350.402373343,288.84519982
191.0,614.880162774,337.045422467,277.834740307
192.0,603.723233777,330.929772499,272.793461278
193.0,564.959785972,309.681660375,255.278125597
194.0,558.333374633,306.049405272,252.283969361
195.0,561.911213343,308.010590934,253.900622409
196.0,562.567503284,308.37033505,254.197168234
197.0,568.558795326,311.654450687,256.904344639
198.0,571.014589944,313.000589959,258.013999985
199.0,611.471689209,335.177073994,276.294615215
200.0,816.44585723,447.533284583,368.912572647
201.0,1196.24719727,655.720685734,540.526511536
202.0,1276.90734808,699.934398018,576.972950062
203.0,1405.07442236,770.188942419,634.885479941
204.0,1386.50776823,760.011665343,626.496102887
205.0,1409.73196388,772.741965177,636.989998703
206.0,1367.22131222,749.4398302,617.78148202
207.0,1387.33342331,760.464246646,626.869176664
208.0,1363.74932673,747.536667783,616.212658947
209.0,1244.13519232,681.970401532,562.164790788
210.0,1145.9034076,628.124830663,517.778576937
211.0,981.809751715,538.177197091,443.632554624
212.0,776.518024046,425.646916769,350.871107277
213.0,637.257532697,349.311536347,287.94599635
214.0,646.741980877,354.510419052,292.231561825
215.0,608.274922078,333.424772012,274.850150066
216.0,588.967295427,322.841332221,266.125963206
217.0,607.57629085,333.041818598,274.534472252
218.0,586.765548528,321.634448736,265.131099792
219.0,646.847834093,354.568442296,292.279391797
220.0,609.33345424,334.005004456,275.328449784
