hour_ending,total,process,other
1.0,4458.80580643,2444.08614509,2014.71966134
2.0,4471.31955931,2450.94553555,2020.37402376
3.0,4441.46304412,2434.57974204,2006.88330208
4.0,4452.05254704,2440.38435846,2011.66818858
5.0,4502.34042957,2467.94956813,2034.39086144
6.0,4826.85231494,2645.8301571,2181.02215784
7.0,5160.37263161,2828.64870101,2331.7239306
8.0,5028.39604885,2756.30598159,2272.09006726
9.0,5006.61648092,2744.36755176,2262.24892916
10.0,4963.74370171,2720.86691724,2242.87678447
11.0,4976.89478578,2728.07565962,2248.81912616
12.0,5003.89556697,2742.87608782,2261.01947915
13.0,5057.05143987,2772.01338111,2285.03805876
14.0,5113.03853404,2802.70260309,2310.33593095
15.0,5138.93624201,2816.89838375,2322.03785826
16.0,5161.9659596,2829.52208079,2332.44387881
17.0,5066.88104791,2777.40146255,2289.47958536
18.0,4891.6149694,2681.32968621,2210.28528319
19.0,4708.02681625,2580.69618006,2127.33063619
20.0,4667.36018349,2558.40484063,2108.95534286
21.0,4563.40166056,2501.42016882,2061.98149174
22.0,4576.29536088,2508.48782677,2067.80753411
23.0,4526.64480955,2481.27196901,2045.37284054
24.0,4515.09930983,2474.94332472,2040.15598511
25.0,4427.66237248,2427.01492944,2000.64744304
26.0,4426.95150307,2426.62526769,2000.32623538
27.0,4465.42424576,2447.71403035,2017.71021541
28.0,4550.8388822,2494.53390512,2056.30497708
29.0,4659.32000534,2553.99763187,2105.32237347
30.0,5305.04681278,2907.95158548,2397.0952273
31.0,6283.50952927,3444.29411141,2839.21541786
32.0,6875.39410713,3768.73454659,3106.65956054
33.0,7175.63838163,3933.31288961,3242.32549202
34.0,7473.06369123,4096.34602223,3376.717669
35.0,7819.60027191,4286.29940715,3533.30086476
36.0,7778.72528088,4263.89385652,3514.83142436
37.0,8075.39069559,4426.51045416,3648.88024143
38.0,7981.78880457,4375.20275095,3606.58605362
39.0,7874.12885816,4316.18915071,3557.93970745
40.0,7537.42188551,4131.62384724,3405.79803827
41.0,7065.91936521,3873.17061396,3192.74875125
42.0,6616.87051315,3627.02531734,2989.84519581
43.0,6149.58418382,3370.88318133,2778.70100249
44.0,6009.42034649,3294.05263348,2715.36771301
45.0,5721.08926279,3136.00448394,2585.08477885
46.0,5687.78870787,3117.75084643,2570.03786144
47.0,5458.72942526,2992.19242489,2466.53700037
48.0,5428.78711548,2975.77960324,2453.00751224
49.0,5170.71700715,2834.3189513,2336.39805585
50.0,5043.81456122,2764.75761059,2279.05695063
51.0,4935.4437454,2705.3543486,2230.0893968
52.0,4991.52889052,2736.09731703,2255.43157349
53.0,5070.42313859,2779.34305299,2291.0800856
54.0,5638.76323136,3090.87762228,2547.88560908
55.0,6521.39339765,3574.6897133,2946.70368435
56.0,7001.89209289,3838.07418321,3163.81790968
57.0,7294.64772585,3998.54764124,3296.10008461
58.0,7610.1144108,4171.47012035,3438.64429045
59.0,7850.46180937,4303.21610175,3547.24570762
60.0,8011.25311595,4391.35355867,3619.89955728
61.0,8071.93439949,4424.61589186,3647.31850763
62.0,8057.18998743,4416.53376969,3640.65621774
63.0,7879.97514623,4319.39378269,3560.58136354
64.0,7573.40658527,4151.34879377,3422.0577915
65.0,7061.40902137,3870.69827733,3190.71074404
66.0,6537.68211222,3583.61834203,2954.06377019
67.0,6113.23179299,3350.95668562,2762.27510737
68.0,5973.85236328,3274.55610936,2699.29625392
69.0,5802.76570665,3180.77527538,2621.99043127
70.0,5667.32057143,3106.53127535,2560.78929608
71.0,5434.70694177,2979.02454505,2455.68239672
72.0,5166.72143082,2832.12878354,2334.59264728
73.0,4956.42664934,2716.85608853,2239.57056081
74.0,4909.5582938,2691.16528624,2218.39300756
75.0,4872.37246987,2670.78194573,2201.59052414
76.0,4851.58566783,2659.38769868,2192.19796915
77.0,4862.07711981,2665.13856866,2196.93855115
78.0,4922.08430305,2698.03139502,2224.05290803
79.0,5107.73152621,2799.79357657,2307.93794964
80.0,5016.89957461,2750.00421052,2266.89536409
81.0,4981.24579682,2730.46065826,2250.78513856
82.0,4983.36614868,2731.6229252,2251.74322348
83.0,5012.21764161,2747.43781762,2264.77982399
84.0,5076.90675786,2782.89703689,2294.00972097
85.0,5079.71346639,2784.43552897,2295.27793742
86.0,5080.89007782,2785.08048635,2295.80959147
87.0,5010.02375153,2746.23524084,2263.78851069
88.0,4995.26708311,2738.14640037,2257.12068274
89.0,4970.3376283,2724.48136589,2245.85626241
90.0,4953.12968605,2715.04886421,2238.08082184
91.0,4902.42508697,2687.25523213,2215.16985484
92.0,4830.84789127,2648.02032487,2182.8275664
93.0,4751.9168741,2604.75443399,2147.16244011
94.0,4723.48209772,2589.16796398,2134.31413374
95.0,4746.48730257,2601.77822441,2144.70907816
96.0,4693.84619717,2572.92309998,2120.92309719
97.0,4589.12777936,2515.52189319,2073.60588617
98.0,4623.82556035,2534.54141758,2089.28414277
99.0,4594.48381266,2518.45779293,2076.02601973
100.0,4632.29471142,2539.18376706,2093.11094436
101.0,4671.03709423,2560.42033244,2110.61676179
102.0,4726.33783173,2590.73332929,2135.60450244
103.0,4853.84083975,2660.623867,2193.21697275
104.0,4749.64944581,2603.51154737,2146.13789844
105.0,4701.18776228,2576.94736529,2124.24039699
106.0,4838.16494364,2652.03115357,2186.13379007
107.0,5003.99361792,2742.92983427,2261.06378365
108.0,5074.28389486,2781.45931939,2292.82457547
109.0,5104.58163935,2798.06697192,2306.51466743
110.0,5113.66360887,2803.0452367,2310.61837217
111.0,5100.12032098,2795.62150852,2304.49881246
112.0,5081.9318692,2785.65154236,2296.28032684
113.0,4960.98601866,2719.35529838,2241.63072028
114.0,4920.65030786,2697.24535321,2223.40495465
115.0,4892.42388976,2681.7730944,2210.65079536
116.0,4811.17641882,2637.23744368,2173.93897514
117.0,4721.68041146,2588.18037299,2133.50003847
118.0,4750.72800629,2604.1027583,2146.62524799
119.0,4768.91645807,2614.07272446,2154.84373361
120.0,4820.24613198,2642.20899015,2178.03714183
121.0,4681.29567519,2566.0435546,2115.25212059
122.0,4714.33884635,2584.15610767,2130.18273868
