hour_ending,total,process,other
1.0,45.1215168746,24.7332759098,20.3882409648
2.0,42.7744595971,23.4467408099,19.3277187872
3.0,42.115173845,23.0853545458,19.0298192992
4.0,36.3662020866,19.9340663236,16.432135763
5.0,35.9970020654,19.7316900157,16.2653120497
6.0,66.2714038024,36.3265472596,29.9448565428
7.0,64.1089465355,35.1412003137,28.9677462218
8.0,82.0678904231,44.9853621457,37.0825282774
9.0,78.4813759316,43.0194208694,35.4619550622
10.0,83.3337190671,45.6792237726,37.6544952945
11.0,61.761889258,33.8546652138,27.9072240442
12.0,61.445432097,33.681199807,27.76423229
13.0,66.9570609846,36.7023889742,30.2546720104
14.0,68.8294325206,37.7287259641,31.1007065565
15.0,55.5646031881,30.4576343319,25.1069688562
16.0,63.6606322241,34.8954576541,28.76517457
17.0,65.7439752008,36.0374382485,29.7065369523
18.0,48.4970599255,26.5835735816,21.9134863439
19.0,44.6468311331,24.4730777997,20.1737533334
20.0,45.4907168958,24.9356522176,20.5550646782
21.0,41.0339452115,22.4926810728,18.5412641387
22.0,42.5898595865,23.3455526559,19.2443069306
23.0,42.5898595865,23.3455526559,19.2443069306
24.0,43.1436596183,23.6491171177,19.4945425006
25.0,42.8008310272,23.4611962604,19.3396347668
26.0,42.115173845,23.0853545458,19.0298192992
27.0,43.0118024679,23.5768398649,19.434962603
28.0,37.4738021501,20.5411952471,16.932606903
29.0,37.2100878493,20.3966407415,16.8134471078
30.0,54.4306316945,29.8360499578,24.5945817367
31.0,72.3895755821,39.6802117898,32.7093637923
32.0,103.165034491,56.5497225946,46.6153118964
33.0,129.193635984,70.817252298,58.376383686
34.0,193.4608111,106.045185315,87.415625785
35.0,188.793067975,103.486570566,85.3064974093
36.0,177.92803878,97.5309249345,80.3971138455
37.0,187.975553643,103.038451599,84.9371020443
38.0,163.924809405,89.8550806866,74.0697287184
39.0,154.773923166,84.8390393421,69.9348838239
40.0,155.88152323,85.4461682659,70.4353549641
41.0,133.360321938,73.101213487,60.259108451
42.0,84.0457476794,46.0695209377,37.9762267417
43.0,66.456003813,36.4277354136,30.0282683994
44.0,57.7534318851,31.6574367285,26.0959951566
45.0,52.400031578,28.7229802646,23.6770513134
46.0,52.2154315674,28.6217921107,23.5936394567
47.0,50.1320885907,27.4798115164,22.6522770743
48.0,53.0856887602,29.0988219792,23.986866781
49.0,53.6131173619,29.3879309904,24.2251863715
50.0,53.8768316627,29.532485496,24.3443461667
51.0,50.8177457729,27.8556532309,22.962092542
52.0,50.211202881,27.5231778681,22.6880250129
53.0,46.5983169594,25.5427811412,21.0555358182
54.0,70.5172040461,38.6538748,31.8633292461
55.0,83.5446905078,45.7948673771,37.7498231307
56.0,105.828548929,58.009723101,47.818825828
57.0,133.202093357,73.0144807834,60.1876125736
58.0,169.251838283,92.7750817004,76.4767565826
59.0,181.593667562,99.5402325626,82.0534349994
60.0,188.107410793,103.110728851,84.9966819417
61.0,157.622037615,86.4002280026,71.2218096124
62.0,160.259180624,87.845773059,72.413407565
63.0,139.135665126,76.2669571596,62.8687079664
64.0,117.906663908,64.630319458,53.27634445
65.0,125.422521482,68.7501228678,56.6723986142
66.0,71.9676327007,39.4489245808,32.5187081199
67.0,48.4179456352,26.5402072299,21.8777384053
68.0,47.7059170229,26.1499100647,21.5560069582
69.0,44.1721453916,24.2128796896,19.959265702
70.0,42.8008310272,23.4611962604,19.3396347668
71.0,44.6732025632,24.4875332502,20.185669313
72.0,43.0909167581,23.6202062166,19.4707105415
73.0,44.2776311119,24.2707014918,20.0069296201
74.0,41.5350023831,22.7673346335,18.7676677496
75.0,40.6911166204,22.3047602155,18.3863564049
76.0,36.498059237,20.0063435764,16.4917156606
77.0,33.3334876269,18.2716895091,15.0617981178
78.0,34.8102877116,19.0811947405,15.7290929711
79.0,30.274401737,16.5948572439,13.6795444931
80.0,27.7163730188,15.1926785395,12.5236944793
81.0,29.931573146,16.4069363867,13.5246367593
82.0,39.7153737073,21.7699085448,17.9454651625
83.0,46.6510598195,25.5716920423,21.0793677772
84.0,50.1057171606,27.4653560658,22.6403610948
85.0,53.0065744699,29.0554556275,23.9511188424
86.0,34.3356019701,18.8209966304,15.5146053397
87.0,42.2470309954,23.1576317986,19.0893991968
88.0,49.5255456988,27.1473361535,22.3782095453
89.0,44.4358596924,24.3574341952,20.0784254972
90.0,38.7132593641,21.2206014235,17.4926579406
91.0,41.9569452645,22.9986218425,18.958323422
92.0,44.3303739721,24.299612393,20.0307615791
93.0,42.5898595865,23.3455526559,19.2443069306
94.0,43.5392310696,23.8659488761,19.6732821935
95.0,42.4580024361,23.2732754031,19.184727033
96.0,43.5128596395,23.8514934256,19.6613662139
97.0,40.8229737709,22.3770374684,18.4459363025
98.0,41.5613738132,22.781790084,18.7795837292
99.0,40.1373165887,22.0011957538,18.1361208349
100.0,34.9685162921,19.1679274438,15.8005888483
101.0,32.3577447137,17.7368378383,14.6209068754
102.0,33.069773326,18.1271350034,14.9426383226
103.0,27.9009730294,15.2938666935,12.6071063359
104.0,29.2459159638,16.0310946721,13.2148212917
105.0,28.7184873621,15.7419856609,12.9765017012
106.0,28.8503445125,15.8142629137,13.0360815988
107.0,28.2438016205,15.4817875508,12.7620140697
108.0,29.931573146,16.4069363867,13.5246367593
109.0,29.6151159849,16.2334709799,13.381645005
110.0,28.4811444913,15.6118866058,12.8692578855
111.0,33.386230487,18.3006004102,15.0856300768
112.0,34.7575448514,19.0522838393,15.7052610121
113.0,35.0740020124,19.225749246,15.8482527664
114.0,39.003345095,21.3796113796,17.6237337154
115.0,46.5983169594,25.5427811412,21.0555358182
116.0,44.4886025526,24.3863450963,20.1022574563
117.0,46.5192026691,25.4994147895,21.0197878796
118.0,43.3018881988,23.7358498211,19.5660383777
119.0,42.5371167264,23.3166417548,19.2204749716
120.0,41.4295166628,22.7095128312,18.7200038316
121.0,41.5086309531,22.752879183,18.7557517701
122.0,44.5149739827,24.4008005469,20.1141734358
123.0,40.6383737603,22.2758493144,18.3625244459
124.0,35.6278020442,19.5293137078,16.0984883364
125.0,38.4759164933,21.0905023684,17.3854141249
126.0,72.3368327219,39.6513008887,32.6855318332
127.0,76.0024615036,41.6606085166,34.341852987
128.0,111.999463569,61.3922985323,50.6071650367
129.0,147.732751334,80.9794340427,66.7533172913
130.0,165.24338091,90.5778532151,74.6655276949
131.0,189.927039469,104.10815494,85.8188845289
132.0,187.05255359,102.532510829,84.520042761
133.0,181.857381863,99.6847870683,82.1725947947
134.0,165.085152329,90.4911205114,74.5940318176
135.0,137.39515074,75.3128974223,62.0822533177
136.0,127.400378738,69.8342816597,57.5660970783
137.0,121.994235571,66.8709142949,55.1233212761
138.0,94.5943197132,51.8517011621,42.7426185511
139.0,68.6975753702,37.6564487113,31.0411266589
140.0,53.5340030716,29.3445646387,24.1894384329
141.0,49.288202828,27.0172370984,22.2709657296
142.0,47.9696313238,26.2944645704,21.6751667534
143.0,49.2354599678,26.9883261973,22.2471337705
144.0,49.2090885377,26.9738707467,22.235217791
145.0,50.0266028704,27.4219897141,22.6046131563
146.0,50.211202881,27.5231778681,22.6880250129
147.0,48.365202775,26.5112963288,21.8539064462
148.0,42.8535738874,23.4901071616,19.3634667258
149.0,42.721716737,23.4178299088,19.3038868282
150.0,73.1279756244,40.0849644055,33.0430112189
151.0,80.485604618,44.118035112,36.367569506
152.0,114.610235147,62.8233881377,51.7868470093
153.0,132.674664755,72.725371772,59.949292983
154.0,174.921695751,95.8830035709,79.0386921801
155.0,160.180066333,87.802406707,72.377659626
156.0,181.356324691,99.4101335075,81.9461911835
157.0,165.981780952,90.9826058306,74.9991751214
158.0,148.655751387,81.4853748123,67.1703765747
159.0,152.295008738,83.4802269894,68.8147817486
160.0,127.321264448,69.7909153082,57.5303491398
161.0,125.475264342,68.7790337689,56.6962305731
162.0,78.0330616201,42.7736782098,35.2593834103
163.0,72.073118421,39.5067463831,32.5663720379
164.0,52.3209172877,28.6796139129,23.6413033748
165.0,48.9981170971,26.8582271423,22.1398899548
166.0,46.8620312602,25.6873356468,21.1746956134
167.0,45.9126597772,25.1669394266,20.7457203506
168.0,45.3324883153,24.8489195143,20.483568801
169.0,46.3082312284,25.383771185,20.9244600434
170.0,44.910545434,24.6176323053,20.2929131287
171.0,45.1742597348,24.7621868109,20.4120729239
172.0,41.9042024043,22.9697109413,18.934491463
173.0,37.6056593006,20.6134724999,16.9921868007
174.0,62.078346419,34.0281306205,28.0502157985
175.0,75.4222900418,41.3425886043,34.0797014375
176.0,87.34217644,47.8764522579,39.4657241821
177.0,125.844464363,68.9814100766,56.8630542864
178.0,198.655982827,108.892909076,89.7630737513
179.0,184.626382022,101.202609377,83.4237726447
180.0,185.127439193,101.477262938,83.6501762554
181.0,165.37523806,90.6501304676,74.7251075924
182.0,133.861379109,73.3758670473,60.4855120617
183.0,158.861494829,87.079634179,71.78186065
184.0,151.451122975,83.0176525713,68.4334704037
185.0,132.674664755,72.725371772,59.949292983
186.0,95.0162625946,52.0829883711,42.9332742235
187.0,91.4297481031,50.1170470948,41.3127010083
188.0,72.7851470333,39.8970435482,32.8881034851
189.0,59.1774891097,32.4380310588,26.7394580509
190.0,52.109945847,28.5639703084,23.5459755386
191.0,45.5170883259,24.9501076682,20.5669806577
192.0,46.3346026585,25.3982266356,20.9363760229
193.0,48.8135170865,26.7570389883,22.0564780982
194.0,43.8820596607,24.0538697334,19.8281899273
195.0,43.4864882094,23.837037975,19.6494502344
196.0,37.3419449997,20.4689179943,16.8730270054
197.0,34.4147162603,18.864362982,15.5503532783
198.0,54.6679745652,29.9661490128,24.7018255524
199.0,69.5414611329,38.1190231292,31.4224380037
200.0,89.9529480184,49.3075418634,40.645406155
201.0,121.994235571,66.8709142949,55.1233212761
202.0,174.262409999,95.521617307,78.740792692
203.0,182.701267626,100.147361486,82.5539061396
204.0,159.07246627,87.1952777837,71.8771884863
205.0,138.344522223,75.8332936425,62.5112285805
206.0,121.65140698,66.6829934377,54.9684135423
207.0,147.205322732,80.6903250313,66.5149977007
208.0,157.147351874,86.1400298928,71.0073219812
209.0,108.096491917,59.2528918496,48.8436000674
210.0,70.7809183469,38.7984293056,31.9824890413
211.0,54.8262031458,30.0528817162,24.7733214296
212.0,48.2597170547,26.4534745265,21.8062425282
213.0,46.0445169276,25.2392166794,20.8053002482
214.0,45.8335454869,25.1235730749,20.709972412
215.0,46.2818597984,25.3693157345,20.9125440639
216.0,46.1236312179,25.2825830311,20.8410481868
217.0,46.7565455399,25.6295138446,21.1270316953
218.0,48.3915742051,26.5257517793,21.8658224258
219.0,49.0772313873,26.9015934939,22.1756378934
220.0,42.748088167,23.4322853593,19.3158028077
221.0,42.5634881564,23.3310972054,19.232390951
222.0,74.9476043003,41.0823904942,33.8652138061
223.0,81.5140903913,44.6817976839,36.8322927074
224.0,110.127092033,60.3659615425,49.7611304905
225.0,113.370777933,62.1439819613,51.2267959717
226.0,194.963982615,106.869145997,88.0948366179
227.0,179.220238855,98.2392420125,80.9809968425
228.0,158.492294808,86.8772578713,71.6150369367
229.0,146.203208389,80.1410179101,66.0621904789
230.0,107.727291895,59.0505155413,48.6767763537
231.0,105.459348908,57.8073467932,47.6520021148
232.0,88.1333193425,48.3101157747,39.8232035678
233.0,70.0161468744,38.3792212393,31.6369256351
234.0,62.5530321605,34.2883287306,28.2647034299
235.0,52.3472887178,28.6940693635,23.6532193543
236.0,49.6837742793,27.2340688568,22.4497054225
237.0,48.5498027856,26.6124844827,21.9373183029
238.0,48.1806027645,26.4101081749,21.7704945896
239.0,46.5983169594,25.5427811412,21.0555358182
240.0,49.4991742687,27.1328807029,22.3662935658
241.0,47.8114027433,26.207731867,21.6036708763
242.0,49.2354599678,26.9883261973,22.2471337705
243.0,47.0202598407,25.7740683502,21.2461914905
244.0,43.0909167581,23.6202062166,19.4707105415
245.0,41.1130595018,22.5360474245,18.5770120773
246.0,41.2449166522,22.6083246773,18.6365919749
247.0,37.7902593111,20.7146606538,17.0755986573
248.0,41.1130595018,22.5360474245,18.5770120773
249.0,40.9548309213,22.4493147212,18.5055162001
250.0,46.8356598301,25.6728801962,21.1627796339
251.0,52.1890601373,28.6073366601,23.5817234772
252.0,49.9738600102,27.393078813,22.5807811972
253.0,35.865144915,19.6594127629,16.2057321521
254.0,36.2870877963,19.8906999719,16.3963878244
255.0,30.1161731565,16.5081245406,13.6080486159
256.0,30.8545731989,16.9128771563,13.9416960426
257.0,33.0434018959,18.1126795529,14.930722343
258.0,37.5265450103,20.5701061482,16.9564388621
259.0,46.7301741098,25.615058394,21.1151157158
260.0,46.6246883895,25.5572365918,21.0674517977
261.0,45.2533740251,24.8055531626,20.4478208625
262.0,44.594088273,24.4441668986,20.1499213744
263.0,46.9147741204,25.7162465479,21.1985275725
264.0,46.5983169594,25.5427811412,21.0555358182
265.0,46.3873455187,25.4271375367,20.960207982
266.0,45.859916917,25.1380285255,20.7218883915
267.0,45.227002595,24.791097712,20.435904883
268.0,40.242802309,22.059017556,18.183784753
269.0,39.2670593959,21.5241658853,17.7428935106
270.0,40.2164308789,22.0445621054,18.1718687735
271.0,36.814516398,20.1798089831,16.6347074149
272.0,37.9748593217,20.8158488078,17.1590105139
273.0,38.7923736544,21.2639677752,17.5284058792
274.0,41.0075737815,22.4782256223,18.5293481592
275.0,35.9706306353,19.7172345651,16.2533960702
276.0,32.7005733048,17.9247586956,14.7758146092
277.0,29.4041445443,16.1178273755,13.2863171688
278.0,30.3535160273,16.6382235957,13.7152924316
279.0,31.2237732201,17.1152534642,14.1085197559
280.0,30.8282017688,16.8984217057,13.9297800631
281.0,33.676316218,18.4596103664,15.2167058516
282.0,38.9769736649,21.3651559291,17.6118177358
283.0,50.211202881,27.5231778681,22.6880250129
284.0,46.78291697,25.6439692951,21.1389476749
285.0,47.6004313026,26.0920882625,21.5083430401
286.0,46.5192026691,25.4994147895,21.0197878796
287.0,46.3873455187,25.4271375367,20.960207982
288.0,47.1521169912,25.846345603,21.3057713882
289.0,46.2554883683,25.3548602839,20.9006280844
290.0,48.0223741839,26.3233754715,21.6989987124
291.0,46.0708883577,25.25367213,20.8172162277
292.0,42.4580024361,23.2732754031,19.184727033
293.0,67.6163467368,37.0637752383,30.5525714985
294.0,80.6174617684,44.1903123648,36.4271494036
295.0,85.3115763235,46.7633825647,38.5481937588
296.0,111.814863558,61.2911103782,50.5237531798
297.0,144.093493982,78.9845818651,65.1089121169
298.0,149.183179988,81.7744838232,67.4086961648
299.0,149.473265719,81.9334937794,67.5397719396
300.0,144.779151164,79.3604235796,65.4187275844
