hour_ending,total,pumping,other
1.0,957.523596538,766.01887723,191.504719308
2.0,951.352170129,761.081736103,190.270434026
3.0,967.911833597,774.329466878,193.582366719
4.0,968.97347769,775.178782152,193.794695538
5.0,673.538762641,538.831010113,134.707752528
6.0,342.791979118,274.233583294,68.5583958236
7.0,361.861885161,289.489508129,72.3723770322
8.0,377.23091974,301.784735792,75.446183948
9.0,362.973138791,290.378511033,72.5946277582
10.0,321.06300189,256.850401512,64.212600378
11.0,459.622438875,367.6979511,91.924487775
12.0,541.220205417,432.976164334,108.244041083
13.0,547.986946271,438.389557017,109.597389254
14.0,566.769116999,453.415293599,113.3538234
15.0,566.759195091,453.407356073,113.351839018
16.0,538.90840099,431.126720792,107.781680198
17.0,529.681027099,423.744821679,105.93620542
18.0,561.222770756,448.978216605,112.244554151
19.0,571.511788741,457.209430993,114.302357748
20.0,570.043346444,456.034677155,114.008669289
21.0,547.034443159,437.627554527,109.406888632
22.0,507.783377444,406.226701955,101.556675489
23.0,543.720526084,434.976420867,108.744105217
24.0,560.29011146,448.232089168,112.058022292
25.0,779.663484301,623.730787441,155.93269686
26.0,775.436751745,620.349401396,155.087350349
27.0,852.599425675,682.07954054,170.519885135
28.0,993.808011938,795.04640955,198.761602388
29.0,824.232692388,659.38615391,164.846538478
30.0,783.11630808,626.493046464,156.623261616
31.0,693.114685961,554.491748769,138.622937192
32.0,644.675933984,515.740747187,128.935186797
33.0,691.219601646,552.975681317,138.243920329
34.0,664.678499323,531.742799458,132.935699865
35.0,651.422831023,521.138264818,130.284566205
36.0,656.334175191,525.067340153,131.266835038
37.0,652.256271246,521.805016997,130.451254249
38.0,669.391405343,535.513124274,133.878281069
39.0,641.193344483,512.954675586,128.238668897
40.0,624.107819923,499.286255938,124.821563985
41.0,569.06107761,455.248862088,113.812215522
42.0,591.980683728,473.584546982,118.396136746
43.0,622.728674793,498.182939834,124.545734959
44.0,577.028369261,461.622695409,115.405673852
45.0,556.241973236,444.993578589,111.248394647
46.0,770.694080002,616.555264002,154.138816
47.0,981.048439008,784.838751206,196.209687802
48.0,963.893461096,771.114768877,192.778692219
49.0,951.699436889,761.359549511,190.339887378
50.0,950.022634536,760.018107629,190.004526907
51.0,947.36356335,757.89085068,189.47271267
52.0,944.932696035,755.946156828,188.986539207
53.0,638.335835149,510.668668119,127.66716703
54.0,489.904100291,391.923280233,97.9808200582
55.0,559.278076904,447.422461523,111.855615381
56.0,598.509298804,478.807439043,119.701859761
57.0,621.557889718,497.246311774,124.311577944
58.0,618.462254606,494.769803685,123.692450921
59.0,691.080694942,552.864555954,138.216138988
60.0,745.869467662,596.69557413,149.173893532
61.0,739.846869864,591.877495891,147.969373973
62.0,762.151317722,609.721054178,152.430263544
63.0,766.189534038,612.95162723,153.237906808
64.0,759.214433129,607.371546503,151.842886626
65.0,595.6914771,476.55318168,119.13829542
66.0,588.775907635,471.020726108,117.755181527
67.0,583.7752663,467.02021304,116.75505326
68.0,560.82589446,448.660715568,112.165178892
69.0,534.483230285,427.586584228,106.896646057
70.0,749.074243755,599.259395004,149.814848751
71.0,727.861205712,582.28896457,145.572241142
72.0,825.94918237,660.759345896,165.189836474
73.0,972.346926209,777.877540967,194.469385242
74.0,970.878483913,776.70278713,194.175696783
75.0,951.878031222,761.502424978,190.375606244
76.0,877.1363027,701.70904216,175.42726054
77.0,713.543893319,570.835114655,142.708778664
78.0,715.081788968,572.065431174,143.016357794
79.0,644.328667225,515.46293378,128.865733445
80.0,607.280264955,485.824211964,121.456052991
81.0,668.934997602,535.147998082,133.78699952
82.0,486.530651771,389.224521417,97.3061303542
83.0,449.730297187,359.78423775,89.9460594374
84.0,400.319198283,320.255358626,80.0638396566
85.0,411.917908046,329.534326437,82.3835816092
86.0,421.333798178,337.067038542,84.2667596356
87.0,591.593729339,473.274983471,118.318745868
88.0,575.99649089,460.797192712,115.199298178
89.0,565.330440424,452.264352339,113.066088085
90.0,603.638924935,482.911139948,120.727784987
91.0,571.124834352,456.899867482,114.22496687
92.0,553.443995347,442.755196278,110.688799069
93.0,523.787414097,419.029931278,104.757482819
94.0,505.977590296,404.782072237,101.195518059
95.0,512.516127279,410.012901823,102.503225456
96.0,705.715508372,564.572406698,141.143101674
97.0,767.727429687,614.18194375,153.545485937
98.0,740.809294883,592.647435906,148.161858977
99.0,583.378390003,466.702712002,116.675678001
100.0,510.78971539,408.631772312,102.157943078
101.0,300.534575458,240.427660366,60.1069150916
102.0,285.453276194,228.362620955,57.0906552388
103.0,292.755800048,234.204640038,58.5511600096
104.0,287.784924436,230.227939549,57.5569848872
105.0,405.716715915,324.573372732,81.143343183
106.0,516.772625558,413.418100446,103.354525112
107.0,518.250989762,414.60079181,103.650197952
108.0,537.896366435,430.317093148,107.579273287
109.0,529.938996692,423.951197354,105.987799338
110.0,514.728712632,411.782970106,102.945742526
111.0,537.400271064,429.920216851,107.480054213
112.0,519.957557837,415.96604627,103.991511567
113.0,515.50262141,412.402097128,103.100524282
114.0,556.559474273,445.247579418,111.311894855
115.0,553.404307717,442.723446174,110.680861543
116.0,537.777303546,430.221842837,107.555460709
117.0,537.985663601,430.388530881,107.59713272
118.0,679.898705291,543.918964233,135.979741058
119.0,799.963706863,639.97096549,159.992741373
120.0,787.174368211,629.739494569,157.434873642
121.0,772.718149114,618.174519291,154.543629823
122.0,763.847963889,611.078371111,152.769592778
123.0,928.492095456,742.793676365,185.698419091
124.0,993.887387197,795.109909758,198.777477439
125.0,970.213716116,776.170972893,194.042743223
126.0,739.827026049,591.861620839,147.96540521
127.0,747.724864348,598.179891478,149.54497287
128.0,735.53084014,588.424672112,147.106168028
129.0,740.51163766,592.409310128,148.102327532
130.0,646.868675522,517.494940418,129.373735104
131.0,707.14426304,565.715410432,141.428852608
132.0,721.392122081,577.113697665,144.278424416
133.0,701.290337667,561.032270134,140.258067533
134.0,705.477382595,564.381906076,141.095476519
135.0,711.787715708,569.430172566,142.357543142
136.0,712.472327319,569.977861855,142.494465464
137.0,631.886595332,505.509276266,126.377319066
138.0,665.03568799,532.028550392,133.007137598
139.0,623.780396978,499.024317582,124.756079396
140.0,598.18187586,478.545500688,119.636375172
141.0,563.683403794,450.946723035,112.736680759
142.0,750.999093793,600.799275034,150.199818759
143.0,976.067641488,780.85411319,195.213528298
144.0,900.611535633,720.489228506,180.122307127
145.0,788.345153285,630.676122628,157.669030657
146.0,773.789715114,619.031772091,154.757943023
147.0,771.210019188,616.96801535,154.242003838
148.0,567.820839184,454.256671347,113.564167837
149.0,584.469799819,467.575839855,116.893959964
150.0,530.236653914,424.189323131,106.047330783
151.0,663.884746731,531.107797385,132.776949346
152.0,698.383218796,558.706575037,139.676643759
153.0,744.033914791,595.227131833,148.806782958
154.0,667.625305824,534.100244659,133.525061165
155.0,684.700908477,547.760726782,136.940181695
156.0,732.832081325,586.26566506,146.566416265
157.0,678.628701142,542.902960914,135.725740228
158.0,644.725543521,515.780434817,128.945108704
159.0,532.8957251,426.31658008,106.57914502
160.0,447.587165186,358.069732149,89.5174330372
161.0,397.888330968,318.310664774,79.5776661936
162.0,430.630625422,344.504500338,86.1261250844
163.0,550.973440401,440.778752321,110.19468808
164.0,582.118307762,465.69464621,116.423661552
