hour_ending,total,pumping,other
1.0,55.941599804,44.7532798432,11.1883199608
2.0,54.0791199067,43.2632959254,10.8158239813
3.0,51.3718037672,41.0974430138,10.2743607534
4.0,50.7381765856,40.5905412685,10.1476353171
5.0,47.5220386185,38.0176308948,9.5044077237
6.0,47.9060550922,38.3248440738,9.58121101844
7.0,51.8806255948,41.5045004758,10.376125119
8.0,57.7848788777,46.2279031022,11.5569757755
9.0,54.2711281435,43.4169025148,10.8542256287
10.0,53.0326750159,42.4261400127,10.6065350032
11.0,51.4486070619,41.1588856495,10.2897214124
12.0,48.0500612698,38.4400490158,9.61001225396
13.0,48.1652662119,38.5322129695,9.63305324238
14.0,44.0946915909,35.2757532727,8.81893831818
15.0,40.3217297369,32.2573837895,8.06434594738
16.0,39.3328873172,31.4663098538,7.86657746344
17.0,47.8484526211,38.2787620969,9.56969052422
18.0,50.4213629948,40.3370903958,10.084272599
19.0,57.2568562264,45.8054849811,11.4513712453
20.0,58.2168974106,46.5735179285,11.6433794821
21.0,57.2664566382,45.8131653106,11.4532913276
22.0,57.708075583,46.1664604664,11.5416151166
23.0,54.0983207303,43.2786565842,10.8196641461
24.0,43.2882569961,34.6306055969,8.65765139922
25.0,35.2815135198,28.2252108158,7.05630270396
26.0,36.971186004,29.5769488032,7.3942372008
27.0,33.9566566856,27.1653253485,6.79133133712
28.0,35.0799048711,28.0639238969,7.01598097422
29.0,41.3777750395,33.1022200316,8.2755550079
30.0,38.1616370724,30.5293096579,7.63232741448
31.0,48.2324690948,38.5859752758,9.64649381896
32.0,55.211968504,44.1695748032,11.0423937008
33.0,55.2695709751,44.2156567801,11.053914195
34.0,53.7815071396,43.0252057117,10.7563014279
35.0,46.6964032001,37.3571225601,9.33928064002
36.0,42.8946401106,34.3157120885,8.57892802212
37.0,40.4753363264,32.3802690611,8.09506726528
38.0,39.6112992606,31.6890394085,7.92225985212
39.0,40.0049161461,32.0039329169,8.00098322922
40.0,43.1826524659,34.5461219727,8.63653049318
41.0,45.8419665461,36.6735732369,9.16839330922
42.0,50.5077667014,40.4062133611,10.1015533403
43.0,58.9177274751,47.1341819801,11.783545495
44.0,58.6009138843,46.8807311074,11.7201827769
45.0,68.3837335514,54.7069868411,13.6767467103
46.0,67.1452804238,53.716224339,13.4290560848
47.0,62.0474617356,49.6379693885,12.4094923471
48.0,62.9499004488,50.359920359,12.5899800898
49.0,53.8199087869,43.0559270295,10.7639817574
50.0,60.1081785435,48.0865428348,12.0216357087
51.0,52.783064308,42.2264514464,10.5566128616
52.0,50.8629819396,40.6903855517,10.1725963879
53.0,54.059919083,43.2479352664,10.8119838166
54.0,53.0806770751,42.4645416601,10.616135415
55.0,64.1403515172,51.3122812138,12.8280703034
56.0,69.2765718527,55.4212574822,13.8553143705
57.0,67.4908952501,53.9927162001,13.49817905
58.0,65.1771959962,52.141756797,13.0354391992
59.0,52.6486585422,42.1189268338,10.5297317084
60.0,44.7475195961,35.7980156769,8.94950391922
61.0,44.3539027106,35.4831221685,8.87078054212
62.0,42.9522425816,34.3617940653,8.59044851632
63.0,43.1442508185,34.5154006548,8.6288501637
64.0,42.9138409343,34.3310727474,8.58276818686
65.0,46.9652147317,37.5721717854,9.39304294634
66.0,57.4680652869,45.9744522295,11.4936130574
67.0,61.6922464975,49.353797198,12.3384492995
68.0,61.5002382606,49.2001906085,12.3000476521
69.0,67.1068787764,53.6855030211,13.4213757553
70.0,62.815494683,50.2523957464,12.5630989366
71.0,60.1753814264,48.1403051411,12.0350762853
72.0,57.5736698172,46.0589358538,11.5147339634
73.0,49.2021106909,39.3616885527,9.84042213818
74.0,57.5736698172,46.0589358538,11.5147339634
75.0,52.111035479,41.6888283832,10.4222070958
76.0,59.1097357119,47.2877885695,11.8219471424
77.0,57.7848788777,46.2279031022,11.5569757755
78.0,61.2122259054,48.9697807243,12.2424451811
79.0,66.9244709514,53.5395767611,13.3848941903
80.0,61.5290394961,49.2232315969,12.3058078992
81.0,52.2838428922,41.8270743138,10.4567685784
82.0,51.4582074738,41.166565979,10.2916414948
83.0,54.5783413225,43.662673058,10.9156682645
84.0,49.8837399317,39.9069919454,9.97674798634
85.0,37.7968214224,30.2374571379,7.55936428448
86.0,41.9730005738,33.578400459,8.39460011476
87.0,43.5282672922,34.8226138338,8.70565345844
88.0,41.9441993382,33.5553594706,8.38883986764
89.0,45.8611673698,36.6889338958,9.17223347396
90.0,52.2646420685,41.8117136548,10.4529284137
91.0,66.6172577725,53.293806218,13.3234515545
92.0,74.3839909527,59.5071927622,14.8767981905
93.0,70.9086418659,56.7269134927,14.1817283732
94.0,75.8144523172,60.6515618538,15.1628904634
95.0,64.0443473988,51.235477919,12.8088694798
96.0,57.2664566382,45.8131653106,11.4532913276
97.0,50.0181456974,40.0145165579,10.0036291395
98.0,48.8372950409,39.0698360327,9.76745900818
99.0,46.8788110251,37.5030488201,9.37576220502
100.0,41.8481952198,33.4785561758,8.36963904396
101.0,45.6115566619,36.4892453295,9.12231133238
102.0,53.1094783106,42.4875826485,10.6218956621
103.0,56.8440385172,45.4752308138,11.3688077034
104.0,61.538639908,49.2309119264,12.3077279816
105.0,59.407348479,47.5258787832,11.8814696958
106.0,59.3305451843,47.4644361474,11.8661090369
107.0,58.6681167672,46.9344934138,11.7336233534
108.0,50.3157584646,40.2526067717,10.0631516929
109.0,46.7828069067,37.4262455254,9.35656138134
110.0,40.196924383,32.1575395064,8.0393848766
111.0,47.0132167909,37.6105734327,9.40264335818
112.0,46.7348048474,37.3878438779,9.34696096948
113.0,48.952499983,39.1619999864,9.7904999966
114.0,65.0907922896,52.0726338317,13.0181584579
115.0,75.9968601422,60.7974881138,15.1993720284
116.0,79.5490125238,63.639210019,15.9098025048
117.0,77.0625058567,61.6500046854,15.4125011713
118.0,72.0126892277,57.6101513822,14.4025378455
119.0,65.004388583,52.0035108664,13.0008777166
120.0,61.5770415554,49.2616332443,12.3154083111
121.0,55.7879932146,44.6303945717,11.1575986429
122.0,49.4133197514,39.5306558011,9.88266395028
123.0,46.5427966106,37.2342372885,9.30855932212
124.0,45.0355319514,36.0284255611,9.00710639028
125.0,43.3170582316,34.6536465853,8.66341164632
126.0,43.7682775882,35.0146220706,8.75365551764
127.0,55.7687923909,44.6150339127,11.1537584782
128.0,68.9117562027,55.1294049622,13.7823512405
129.0,66.5212536541,53.2170029233,13.3042507308
130.0,57.4104628159,45.9283702527,11.4820925632
131.0,66.2716429462,53.017314357,13.2543285892
132.0,53.8391096106,43.0712876885,10.7678219221
133.0,46.2547842553,37.0038274042,9.25095685106
134.0,42.2130108698,33.7704086958,8.44260217396
135.0,36.2511551158,29.0009240926,7.25023102316
136.0,41.9922013974,33.5937611179,8.39844027948
137.0,41.3105721566,33.0484577253,8.26211443132
138.0,59.532153833,47.6257230664,11.9064307666
