hour_ending,total,pumping,other
1.0,1028.37155191,822.697241528,205.674310382
2.0,1038.98059085,831.18447268,207.79611817
3.0,996.299139397,797.039311518,199.259827879
4.0,1003.29006679,802.632053432,200.658013358
5.0,1020.98201901,816.785615208,204.196403802
6.0,1102.08290916,881.666327328,220.416581832
7.0,1090.15540585,872.12432468,218.03108117
8.0,1068.78401816,855.027214528,213.756803632
9.0,1138.8466019,911.07728152,227.76932038
10.0,1130.04661873,904.037294984,226.009323746
11.0,1177.94060377,942.352483016,235.588120754
12.0,1183.82770052,947.062160416,236.765540104
13.0,1223.87222322,979.097778576,244.774444644
14.0,1279.40103685,1023.52082948,255.88020737
15.0,1296.51041179,1037.20832943,259.302082358
16.0,1335.84970936,1068.67976749,267.169941872
17.0,1278.32786818,1022.66229454,255.665573636
18.0,1271.12230705,1016.89784564,254.22446141
19.0,1338.97722951,1071.18178361,267.795445902
20.0,1271.09164508,1016.87331606,254.218329016
21.0,1237.97672585,990.38138068,247.59534517
22.0,1209.21580526,967.372644208,241.843161052
23.0,1174.0158726,939.21269808,234.80317452
24.0,1142.00478401,913.603827208,228.400956802
25.0,1059.46278163,847.570225304,211.892556326
26.0,1053.63700881,842.909607048,210.727401762
27.0,1042.26142081,833.809136648,208.452284162
28.0,1038.27536572,830.620292576,207.655073144
29.0,1057.92968352,846.343746816,211.585936704
30.0,1123.05569134,898.444553072,224.611138268
31.0,1109.38045618,887.504364944,221.876091236
32.0,1325.45530415,1060.36424332,265.09106083
33.0,1991.15716657,1592.92573326,398.231433314
34.0,2309.1217151,1847.29737208,461.82434302
35.0,2359.03938965,1887.23151172,471.80787793
36.0,2455.44059896,1964.35247917,491.088119792
37.0,2551.74982239,2041.39985791,510.349964478
38.0,2416.4999069,1933.19992552,483.29998138
39.0,2411.19538744,1928.95630995,482.239077488
40.0,2308.87641941,1847.10113553,461.775283882
41.0,2112.48655119,1689.98924095,422.497310238
42.0,2022.1564104,1617.72512832,404.43128208
43.0,1789.03351142,1431.22680914,357.806702284
44.0,1815.09617933,1452.07694346,363.019235866
45.0,1664.69925449,1331.75940359,332.939850898
46.0,1613.09517202,1290.47613762,322.619034404
47.0,1606.22689248,1284.98151398,321.245378496
48.0,1578.07921113,1262.4633689,315.615842226
49.0,1344.25108701,1075.40086961,268.850217402
50.0,1318.1884191,1054.55073528,263.63768382
51.0,1286.45328817,1029.16263054,257.290657634
52.0,1300.86441043,1040.69152834,260.172882086
53.0,1299.51528409,1039.61222727,259.903056818
54.0,1358.57022338,1086.8561787,271.714044676
55.0,1359.24478655,1087.39582924,271.84895731
56.0,1452.02788432,1161.62230746,290.405576864
57.0,1918.58030192,1534.86424154,383.716060384
58.0,1938.26528169,1550.61222535,387.653056338
59.0,2055.54728729,1644.43782983,411.109457458
60.0,2085.77998207,1668.62398566,417.155996414
61.0,2239.5190608,1791.61524864,447.90381216
62.0,2220.9992356,1776.79938848,444.19984712
63.0,2307.46596914,1845.97277531,461.493193828
64.0,2235.19572412,1788.1565793,447.039144824
65.0,2044.23302322,1635.38641858,408.846604644
66.0,1866.97621946,1493.58097557,373.395243892
67.0,1690.85390829,1352.68312663,338.170781658
68.0,1611.59273587,1289.2741887,322.318547174
69.0,1562.71756805,1250.17405444,312.54351361
70.0,1557.78099212,1246.2247937,311.556198424
71.0,1500.38179879,1200.30543903,300.076359758
72.0,1365.89843236,1092.71874589,273.179686472
73.0,1108.15397769,886.523182152,221.630795538
74.0,1117.87381972,894.299055776,223.574763944
75.0,1099.66061414,879.728491312,219.932122828
76.0,1090.46202547,872.369620376,218.092405094
77.0,1060.90389386,848.723115088,212.180778772
78.0,1063.78611831,851.028894648,212.757223662
79.0,1142.83265699,914.266125592,228.566531398
80.0,1217.37188722,973.897509776,243.474377444
81.0,1594.69799467,1275.75839574,318.939598934
82.0,1774.46907935,1419.57526348,354.89381587
83.0,1774.46907935,1419.57526348,354.89381587
84.0,1878.65842707,1502.92674166,375.731685414
85.0,1983.06240854,1586.44992683,396.612481708
86.0,1984.16623918,1587.33299134,396.833247836
87.0,2108.34718629,1686.67774903,421.669437258
88.0,2005.78292256,1604.62633805,401.156584512
89.0,1611.83803157,1289.47042526,322.367606314
90.0,1546.77334768,1237.41867814,309.354669536
91.0,1497.40758845,1197.92607076,299.48151769
92.0,1450.46412425,1160.3712994,290.09282485
93.0,1354.86012595,1083.88810076,270.97202519
94.0,1355.35071735,1084.28057388,271.07014347
95.0,1358.29426572,1086.63541258,271.658853144
96.0,1340.69429939,1072.55543951,268.138859878
97.0,1318.70967246,1054.96773797,263.741934492
98.0,1340.35701781,1072.28561425,268.071403562
99.0,1230.9551365,984.7641092,246.1910273
100.0,1200.72244172,960.577953376,240.144488344
101.0,1188.02838935,950.42271148,237.60567787
102.0,1147.40128937,917.921031496,229.480257874
103.0,1116.43270749,893.146165992,223.286541498
104.0,1194.06879591,955.255036728,238.813759182
105.0,1315.15288484,1052.12230787,263.030576968
106.0,1486.21597223,1188.97277778,297.243194446
107.0,1589.14817951,1271.31854361,317.829635902
108.0,1556.86113326,1245.48890661,311.372226652
109.0,1779.2216835,1423.3773468,355.8443367
110.0,1769.34853165,1415.47882532,353.86970633
111.0,1740.37297732,1392.29838186,348.074595464
112.0,1760.24192886,1408.19354309,352.048385772
113.0,1682.97378399,1346.37902719,336.594756798
