hour_ending,total,process,other
1.0,35.1029971214,26.3272478411,8.77574928035
2.0,35.4477508076,26.5858131057,8.8619377019
3.0,35.5361491886,26.6521118914,8.88403729715
4.0,35.562668703,26.6720015272,8.89066717575
5.0,35.1295166357,26.3471374768,8.78237915892
6.0,36.4466525136,27.3349893852,9.1116631284
7.0,49.5649722638,37.1737291979,12.391243066
8.0,71.9297626736,53.9473220052,17.9824406684
9.0,52.2964822388,39.2223616791,13.0741205597
10.0,44.6235027622,33.4676270716,11.1558756906
11.0,48.7782266724,36.5836700043,12.1945566681
12.0,48.3804339576,36.2853254682,12.0951084894
13.0,49.8566869214,37.3925151911,12.4641717304
14.0,48.2124770335,36.1593577751,12.0531192584
15.0,48.2743559003,36.2057669252,12.0685889751
16.0,46.9925793748,35.2444345311,11.7481448437
17.0,45.7550020399,34.3162515299,11.43875051
18.0,42.5107814548,31.8830860911,10.6276953637
19.0,34.2985718537,25.7239288903,8.57464296342
20.0,35.1913955025,26.3935466269,8.79784887563
21.0,35.0941572833,26.3206179625,8.77353932082
22.0,35.0322784166,26.2742088124,8.75806960415
23.0,33.5825449671,25.1869087253,8.39563624177
24.0,34.8378019782,26.1283514837,8.70945049455
25.0,33.5648652909,25.1736489682,8.39121632273
26.0,34.4488491015,25.8366368261,8.61221227538
27.0,35.067637769,26.3007283268,8.76690944225
28.0,35.0941572833,26.3206179625,8.77353932082
29.0,35.6068678935,26.7051509201,8.90171697338
30.0,36.5527305709,27.4145479282,9.13818264273
31.0,50.0246438454,37.5184828841,12.5061609613
32.0,75.3419401828,56.5064551371,18.8354850457
33.0,66.6612191621,49.9959143716,16.6653047905
34.0,77.348583433,58.0114375748,19.3371458583
35.0,93.1453741295,69.8590305971,23.2863435324
36.0,83.8105050889,62.8578788167,20.9526262722
37.0,81.7596626482,61.3197469861,20.439915662
38.0,80.000534865,60.0004011488,20.0001337163
39.0,77.101067966,57.8258009745,19.2752669915
40.0,76.2436036696,57.1827027522,19.0609009174
41.0,72.1861179787,54.139588484,18.0465294947
42.0,65.4590011796,49.0942508847,16.3647502949
43.0,52.7473139822,39.5604854867,13.1868284956
44.0,43.8809563613,32.910717271,10.9702390903
45.0,40.787013024,30.590259768,10.196753256
46.0,39.1251234599,29.3438425949,9.78128086497
47.0,35.7659849794,26.8244887346,8.94149624485
48.0,35.5273093505,26.6454820129,8.88182733763
49.0,35.9251020653,26.943826549,8.98127551633
50.0,35.2532743692,26.4399557769,8.8133185923
51.0,35.6864264364,26.7648198273,8.9216066091
52.0,34.8112824639,26.1084618479,8.70282061597
53.0,35.48311016,26.61233262,8.87077754
54.0,35.235594693,26.4266960198,8.80889867325
55.0,47.1605362988,35.3704022241,11.7901340747
56.0,65.7153564846,49.2865173634,16.4288391211
57.0,63.8501506441,47.8876129831,15.962537661
58.0,74.7408311915,56.0556233936,18.6852077979
59.0,86.1177028347,64.588277126,21.5294257087
60.0,86.0293044537,64.5219783403,21.5073261134
61.0,80.8491593232,60.6368694924,20.2122898308
62.0,77.101067966,57.8258009745,19.2752669915
63.0,77.1364273184,57.8523204888,19.2841068296
64.0,75.0413856871,56.2810392653,18.7603464218
65.0,73.3794961231,55.0346220923,18.3448740308
66.0,63.9031896728,47.9273922546,15.9757974182
67.0,48.9285039202,36.6963779402,12.2321259801
68.0,41.5295594249,31.1471695687,10.3823898562
69.0,38.8599283167,29.1449462375,9.71498207917
70.0,38.5151746306,28.886380973,9.62879365765
71.0,35.7925044937,26.8443783703,8.94812612343
72.0,35.7394654651,26.8045990988,8.93486636628
73.0,33.5913848052,25.1935386039,8.3978462013
74.0,34.4311694253,25.823377069,8.60779235633
75.0,34.4665287777,25.8498965833,8.61663219442
76.0,34.740563759,26.0554228193,8.68514093975
77.0,34.236692987,25.6775197402,8.55917324675
78.0,35.0322784166,26.2742088124,8.75806960415
79.0,36.0576996369,27.0432747277,9.01442490922
80.0,42.2544261497,31.6908196123,10.5636065374
81.0,35.7925044937,26.8443783703,8.94812612343
82.0,36.0842191512,27.0631643634,9.0210547878
