hour_ending,total,process,other
1.0,917.59500329,737.795982325,179.799020965
2.0,907.812414346,729.930252026,177.88216232
3.0,843.862994026,678.511461367,165.351532659
4.0,821.293480954,660.364352885,160.929128069
5.0,799.404753193,642.764632592,156.640120601
6.0,796.548414817,640.467982141,156.080432676
7.0,818.096749922,657.794008339,160.302741583
8.0,805.561420366,647.714925791,157.846494575
9.0,795.986026951,640.015791897,155.970235054
10.0,861.267418533,692.50555945,168.761859083
11.0,879.633822286,707.273140845,172.360681441
12.0,901.744545257,725.051357286,176.693187971
13.0,908.12320764,730.180146634,177.943061006
14.0,885.968085627,712.366230963,173.601854664
15.0,886.767268385,713.008817099,173.758451286
16.0,881.039791953,708.403616455,172.636175498
17.0,904.290090338,727.098113128,177.19197721
18.0,952.196656775,765.617582085,186.57907469
19.0,989.477052467,795.593035376,193.884017091
20.0,986.250722073,792.998891343,193.25183073
21.0,985.717933568,792.570500586,193.147432982
22.0,1013.23054,814.692123324,198.538416676
23.0,992.525786692,798.044382489,194.481404203
24.0,940.815702314,756.466679512,184.349022802
25.0,913.865483753,734.797247022,179.068236731
26.0,887.166859764,713.330110168,173.836749596
27.0,816.705579936,656.675432472,160.030147464
28.0,803.844657404,646.334555572,157.510101832
29.0,811.999281472,652.891314113,159.107967359
30.0,924.787648112,743.579257554,181.208390558
31.0,1007.51786324,810.098822416,197.419040824
32.0,942.103274535,757.501957177,184.601317358
33.0,929.553145299,747.410974886,182.142170413
34.0,1020.68957907,820.689593927,199.999985143
35.0,1101.80662901,885.91208678,215.89454223
36.0,1163.00330871,935.117525184,227.885783526
37.0,1200.00251047,964.866883354,235.135627116
38.0,1248.87105615,1004.15983562,244.711220529
39.0,1227.36712009,986.869508655,240.497611435
40.0,1254.71693003,1008.86023421,245.856695817
41.0,1208.1867339,971.447441381,236.739292519
42.0,1246.44390852,1002.20827773,244.235630791
43.0,1240.40563879,997.353182474,243.052456316
44.0,1201.95606833,966.437649471,235.518418859
45.0,1202.07446577,966.532847412,235.541618358
46.0,1197.91575549,963.189019552,234.726735938
47.0,1095.53156439,880.866595633,214.664968757
48.0,996.403303036,801.162115225,195.241187811
49.0,956.9325546,769.425499931,187.507054669
50.0,915.789442245,736.344213647,179.445228598
51.0,895.351083193,719.910668195,175.440414998
52.0,885.968085627,712.366230963,173.601854664
53.0,896.564657011,720.886447143,175.678209868
54.0,993.295370088,798.663169139,194.632200949
55.0,996.136908783,800.947919846,195.188988937
56.0,1026.66865007,825.497090203,201.171559867
57.0,1049.81535069,844.108288674,205.707062016
58.0,1077.96434339,866.74160037,211.22274302
59.0,1093.23761388,879.022135426,214.215478454
60.0,1108.64408149,891.409768165,217.234313325
61.0,1134.43992496,912.151020684,222.288904276
62.0,1217.86572508,979.229873478,238.635851602
63.0,1277.76003289,1027.38813448,250.371898406
64.0,1283.75390357,1032.2075305,251.546373066
65.0,1281.82994508,1030.66056388,251.1693812
66.0,1319.87992417,1061.25480382,258.625120348
67.0,1322.24787308,1063.15876274,259.089110337
68.0,1286.22545025,1034.19478763,252.030662619
69.0,1252.71897314,1007.25376888,245.465204264
70.0,1239.87285029,996.92479172,242.94805857
71.0,1176.5154172,945.981990793,230.533426407
72.0,1119.66984361,900.275076896,219.394766714
73.0,1037.81280964,834.457596884,203.355212756
74.0,971.525039774,781.158646793,190.366392981
75.0,911.778728774,733.119383222,178.659345552
76.0,896.431459885,720.779349454,175.652110431
77.0,884.443718515,711.140557407,173.303161108
78.0,947.934348732,762.190456024,185.743892708
79.0,955.171392596,768.009430482,187.161962114
80.0,964.850383776,775.791862579,189.058521197
81.0,978.850881722,787.04901971,191.801862012
82.0,999.555635026,803.696760541,195.858874485
83.0,991.889400421,797.532693528,194.356706893
84.0,1000.44361587,804.410745139,196.032870731
85.0,1038.6119924,835.100183022,203.511809378
86.0,1064.71862916,856.091330145,208.627299015
87.0,1071.86687494,861.838906144,210.027968796
88.0,1066.7609851,857.733494719,209.027490381
89.0,1071.61528037,861.63661051,209.97866986
90.0,1062.06948632,853.961276105,208.108210215
91.0,1086.29656363,873.441155833,212.855407797
92.0,1038.537994,835.040684309,203.497309691
93.0,1048.55737783,843.096810496,205.460567334
94.0,1082.28585016,870.216325408,212.069524752
95.0,1062.42467865,854.246869938,208.177808712
96.0,1028.90340186,827.29395144,201.60945042
97.0,924.018064716,742.960470904,181.057593812
98.0,922.804490898,741.984691956,180.819798942
99.0,835.293978899,671.621510016,163.672468883
100.0,806.464200889,648.440810131,158.023390758
101.0,792.123310287,636.909958904,155.213351383
102.0,791.708919227,636.576766092,155.132153135
103.0,857.375102508,689.37592697,167.999175538
104.0,898.133423166,722.14781993,175.985603236
105.0,932.838674415,750.052717891,182.785956524
106.0,981.633221694,789.286171444,192.34705025
107.0,1025.83986796,824.830704588,201.009163372
108.0,1041.63112727,837.527730654,204.103396616
109.0,1046.70741775,841.609342594,205.098075156
110.0,1064.85182629,856.198427838,208.653398452
111.0,1080.1842955,868.526561864,211.657733636
112.0,1108.27408947,891.112274582,217.161814888
113.0,1085.68977672,872.953266358,212.736510362
114.0,1072.25166664,862.14829947,210.10336717
115.0,1137.8586512,914.899861376,222.958789824
116.0,1079.20751657,867.741178805,211.466337765
117.0,1012.04656554,813.740143859,198.306421681
118.0,1001.16880022,804.993832555,196.174967665
119.0,965.871561745,776.612944864,189.258616881
120.0,907.309225202,729.525660755,177.783564447
121.0,849.886464072,683.354656877,166.531807195
122.0,834.953586243,671.347815921,163.605770322
123.0,810.460114679,651.653740813,158.806373866
124.0,825.984979737,664.136571501,161.848408236
125.0,847.1041241,681.117505143,165.986618957
126.0,902.247734401,725.455948557,176.791785844
127.0,993.665362106,798.960662721,194.704699385
128.0,1011.3065815,813.145156692,198.161424808
129.0,1026.06186317,825.009200737,201.052662433
130.0,1064.31903778,855.770037076,208.549000704
131.0,1068.35935062,859.018666995,209.340683625
132.0,1110.4792419,892.885336333,217.593905567
133.0,1125.26412292,904.773179855,220.490943065
134.0,1155.02628081,928.703563562,226.322717248
135.0,1190.60471323,957.310546384,233.294166846
136.0,1239.75445284,996.829593771,242.924859069
137.0,1194.21583532,960.21408374,234.00175158
138.0,1260.37040806,1013.40593614,246.964471918
139.0,1306.54541186,1050.53313514,256.012276719
140.0,1249.3002469,1004.50492818,244.795318717
141.0,1223.2232095,983.537580545,239.685628955
142.0,1232.91700036,991.331912385,241.585087975
143.0,1147.2120494,922.420499118,224.791550282
144.0,1071.00849346,861.148721035,209.859772425
145.0,1009.10142908,811.372094949,197.729334131
146.0,931.832296127,749.243535349,182.588760778
147.0,898.281419973,722.266817362,176.014602611
148.0,870.384021847,699.835801303,170.548220544
149.0,850.123258964,683.54505277,166.578206194
150.0,947.904749371,762.166656538,185.738092833
151.0,952.921841129,766.200669505,186.721171624
152.0,952.818243365,766.117371303,186.700872062
153.0,967.839919278,778.195610719,189.644308559
154.0,1107.32690991,890.350691016,216.976218894
155.0,1157.95661759,931.059712729,226.896904861
156.0,1209.99229495,972.899210063,237.093084887
157.0,1199.09972995,964.140999017,234.958730933
158.0,1149.38760247,924.169761383,225.217841087
159.0,1184.75883935,952.610147792,232.148691558
160.0,1251.8309923,1006.53978428,245.291208018
161.0,1256.01930193,1009.90741162,246.111890311
162.0,1276.69445588,1026.53135297,250.16310291
163.0,1315.63241581,1057.83957751,257.792838304
164.0,1253.05936579,1007.52746297,245.531902824
165.0,1204.22041947,968.258310184,235.962109286
166.0,1208.82312017,971.959130342,236.863989828
167.0,1177.01860634,946.386582061,230.632024279
168.0,1118.38227139,899.239799233,219.142472157
169.0,1064.62983108,856.019931689,208.609899391
170.0,960.440078927,772.245739085,188.194339842
171.0,921.724114207,741.116010698,180.608103509
172.0,905.015274693,727.681200549,177.334074144
173.0,886.66367062,712.925518897,173.738151723
174.0,933.652656854,750.707203771,182.945453083
175.0,948.703932129,762.809242674,185.894689455
176.0,917.994594669,738.117275394,179.877319275
177.0,959.44850032,771.448456287,188.000044033
178.0,1113.88316846,895.622277283,218.260891177
179.0,1170.83233981,941.412489379,229.419850431
180.0,1164.43887774,936.271800282,228.167077458
181.0,1127.97246449,906.950832874,221.021631616
182.0,1177.47739644,946.755474101,230.721922339
183.0,1148.79561524,923.693771651,225.101843589
184.0,1156.00305974,929.48894662,226.51411312
185.0,1156.99463835,930.286229422,226.708408928
186.0,1240.65723336,997.555478108,243.101755252
187.0,1342.83422894,1079.71130563,263.122923311
188.0,1247.30229,1002.89846284,244.403827162
189.0,1171.79431905,942.185972686,229.608346364
190.0,1163.06250744,935.165124163,227.897383277
191.0,1120.95741584,901.310354568,219.647061272
192.0,1066.28739532,857.352702936,208.934692384
193.0,1010.71459428,812.669166968,198.045427312
194.0,938.995341588,755.003011091,183.992330497
195.0,894.344704905,719.101485652,175.243219253
196.0,893.530722467,718.446999773,175.083722694
