hour_ending,total,process,other
1.0,40.3871515684,32.4734529481,7.91369862032
2.0,38.296008481,30.7920608712,7.50394760983
3.0,38.951441389,31.319064358,7.63237703103
4.0,35.3933770314,28.4581882868,6.93518874455
5.0,33.8640335794,27.2285134843,6.63552009509
6.0,39.7629297513,31.9715448654,7.79138488585
7.0,32.0850014006,25.7980754487,6.28692595185
8.0,43.3209941089,34.8324209366,8.48857317233
9.0,41.4483286575,33.3266966886,8.12163196891
10.0,44.7254931975,35.9617141226,8.7637790749
11.0,43.7891604718,35.2088519986,8.58030847319
12.0,58.5832175378,47.1040735576,11.4791439802
13.0,56.6793409955,45.5732539055,11.10608709
14.0,65.3248131628,52.5246808503,12.8001323125
15.0,76.9353389614,61.8601711878,15.0751677736
16.0,68.5083444302,55.0844120719,13.4239323583
17.0,63.9515251651,51.4204830685,12.5310420966
18.0,66.6668900696,53.603783228,13.0631068416
19.0,55.274841907,44.4439607195,10.8308811875
20.0,58.6456397195,47.1542643659,11.4913753536
21.0,58.8641173555,47.3299321948,11.5341851607
22.0,56.5544966321,45.472872289,11.0816243431
23.0,53.9951871819,43.4150491501,10.5801380318
24.0,46.5045253763,37.3921521582,9.11237321814
25.0,41.7604395661,33.5776507299,8.18278883616
26.0,37.2972535736,29.9890079389,7.30824563468
27.0,35.0188439411,28.1570434372,6.86180050387
28.0,38.1711641176,30.6916792547,7.47948486294
29.0,35.6742768491,28.684046924,6.99022992506
30.0,36.8290872108,29.612576877,7.21651033384
31.0,38.9202302981,31.2939689538,7.6262613443
32.0,51.7791997311,41.6332754567,10.1459242744
33.0,64.4821137097,51.8471049388,12.6350087709
34.0,127.060350877,102.163390225,24.8969606517
35.0,198.93949312,159.958105944,38.9813871762
36.0,188.827099682,151.827195004,36.9999046776
37.0,184.613602417,148.439315447,36.1742869701
38.0,185.518724051,149.167082166,36.3516418849
39.0,150.375035747,120.909657113,29.4653786342
40.0,152.559812107,122.666335402,29.8934767049
41.0,126.592184514,101.786959163,24.8052253508
42.0,90.1064193029,72.4504317319,17.655987571
43.0,67.9153337039,54.6075993934,13.3077343105
44.0,59.5819724452,47.9071264899,11.6748459553
