hour_ending,total,process,other
1.0,8867.25187342,7036.59342128,1830.65845214
2.0,8856.72355459,7028.23869085,1828.48486374
3.0,8823.6298538,7001.97723797,1821.65261583
4.0,8769.42328227,6958.96170057,1810.4615817
5.0,8830.84360366,7007.70169753,1823.14190613
6.0,9290.89707868,7372.77639057,1918.12068811
7.0,9187.96082584,7291.09149316,1896.86933268
8.0,9005.57146849,7146.35671283,1859.21475566
9.0,9061.17537913,7190.48110643,1870.6942727
10.0,9072.62995236,7199.57086454,1873.05908782
11.0,9141.20779052,7253.9906974,1887.21709312
12.0,9280.75390343,7364.72729021,1916.02661322
13.0,9458.98437271,7506.16179162,1952.82258109
14.0,9456.66816292,7504.32376708,1952.34439584
15.0,9436.48468625,7488.30720172,1948.17748453
16.0,9549.98210567,7578.37289583,1971.60920984
17.0,9661.68112739,7667.01147435,1994.66965304
18.0,9877.16202022,7838.00598928,2039.15603094
19.0,9788.81874002,7767.90132178,2020.91741824
20.0,10184.1404644,8081.60823851,2102.53222589
21.0,10082.5781653,8001.01363988,2081.56452542
22.0,10159.8720883,8062.3501078,2097.5219805
23.0,10429.0704309,8275.97201835,2153.09841255
24.0,10790.2735269,8562.60415256,2227.66937434
25.0,10896.578698,8646.96244962,2249.61624838
26.0,10989.0471091,8720.34060809,2268.70650101
27.0,10946.7057184,8686.7406658,2259.9650526
28.0,11169.5988117,8863.61712046,2305.98169124
29.0,12109.7502039,9609.67274128,2500.07746262
30.0,14190.4210177,11260.7857094,2929.63530825
31.0,17503.5014184,13889.8753174,3613.62610098
32.0,19786.7004608,15701.7042347,4084.99622608
33.0,21064.4498289,16715.6601848,4348.78964413
34.0,21981.0045456,17442.9907018,4538.0138438
35.0,22652.1559591,17975.5818234,4676.57413568
36.0,22715.4086303,18025.7758786,4689.63275168
37.0,22918.6010459,18187.0188923,4731.58215363
38.0,22832.6588557,18118.8196059,4713.83924984
39.0,22401.0964565,17776.3539601,4624.74249641
40.0,21940.8339641,17411.1134016,4529.72056245
41.0,20177.8652242,16012.1124018,4165.75282243
42.0,19771.3615608,15689.5320754,4081.82948543
43.0,19326.783855,15336.738154,3990.04570097
44.0,18788.5727584,14909.6416065,3878.93115194
45.0,18525.8549702,14701.1623294,3824.6926408
46.0,18260.8475406,14490.8661111,3769.9814295
47.0,17949.6727485,14243.9338568,3705.73889175
48.0,17575.8840082,13947.3144048,3628.56960339
49.0,16638.8031547,13203.695405,3435.10774968
50.0,15788.1366371,12528.6503621,3259.48627499
51.0,15341.2268498,12174.0058213,3167.22102854
52.0,14912.1217303,11833.4901458,3078.63158447
53.0,15058.5038765,11949.6514618,3108.85241467
54.0,16158.408157,12822.4787295,3335.92942753
55.0,18775.0800011,14898.9344507,3876.14555043
56.0,20737.0990065,16455.8914677,4281.20753883
57.0,22234.0290232,17643.7778679,4590.25115533
58.0,22399.6386403,17775.1971124,4624.44152791
59.0,22769.3584394,18068.5876626,4700.77077679
60.0,22734.500293,18040.9260368,4693.57425624
61.0,22830.9347281,18117.4514272,4713.48330091
62.0,22895.9974679,18169.0818594,4726.91560849
63.0,21765.9363391,17272.3236734,4493.61266566
64.0,20651.735062,16388.1510472,4263.5840148
65.0,20048.1429251,15909.1714806,4138.97144454
66.0,18765.8630803,14891.620378,3874.24270227
67.0,18378.126413,14583.9325711,3794.19384188
68.0,18041.6435499,14316.9171379,3724.72641205
69.0,17564.0029124,13937.8861804,3626.116732
70.0,17458.3844475,13854.0728179,3604.31162956
71.0,16731.9750098,13277.6317804,3454.34322945
72.0,16067.2596319,12750.1479644,3317.1116675
73.0,15027.6722311,11925.1850594,3102.48717175
74.0,15038.4106283,11933.7064971,3104.70413117
75.0,14608.0312459,11592.1796324,3015.85161347
76.0,14168.4699557,11243.3664796,2925.1034761
77.0,14438.3388946,11457.5205408,2980.81835383
78.0,15190.5985752,12054.4749969,3136.12357829
