hour_ending,total
1.0,1298.6068102
2.0,1291.68088849
3.0,1307.32210376
4.0,1289.58977941
5.0,1319.74946681
6.0,1241.38199615
7.0,1272.2574323
8.0,1262.93164715
9.0,1158.5305701
10.0,1065.66567873
11.0,1094.5131601
12.0,1017.55613549
13.0,1063.66579252
14.0,1070.66890281
15.0,1011.26877395
16.0,1025.23990881
17.0,1022.02605659
18.0,1100.31633866
19.0,1254.5812451
20.0,1177.60316906
21.0,1225.57236941
22.0,1226.2951353
23.0,1214.96244681
24.0,1201.53864923
25.0,1133.675844
26.0,1117.78902867
27.0,1111.9226958
28.0,1121.28356667
29.0,1185.75709107
30.0,1332.89257861
31.0,1919.12588823
32.0,2818.79399478
33.0,2767.91267943
34.0,2695.33435305
35.0,2422.07270883
36.0,2715.90862095
37.0,2541.09751519
38.0,2380.20842427
39.0,2363.64094591
40.0,2668.16396923
41.0,2411.51892338
42.0,1737.8519923
43.0,1733.22067688
44.0,1527.63237498
45.0,1771.63954345
46.0,1619.68327758
47.0,1542.9508016
48.0,1530.5304557
49.0,1397.65380594
50.0,1296.0104667
51.0,1225.96532951
52.0,1233.27719416
53.0,1247.12903756
54.0,1411.93369516
55.0,2278.29141639
56.0,2743.45793057
57.0,2937.10305239
58.0,3121.89253775
59.0,3166.97067453
60.0,3192.21134359
61.0,2911.54661183
62.0,2905.11189025
63.0,2839.00337117
64.0,2637.21134449
65.0,1827.97318014
66.0,1688.18464297
67.0,1670.69090153
68.0,1811.88286762
69.0,1691.37042661
70.0,1546.81023112
71.0,1572.05090017
72.0,1491.40987466
73.0,1506.27920403
74.0,1567.91078487
75.0,1456.9276262
76.0,1408.90930584
77.0,1289.34417935
78.0,1283.29540072
79.0,1499.85851674
80.0,1611.63461275
81.0,1693.91063294
82.0,2233.5571197
83.0,1757.33158565
84.0,1584.2537146
85.0,1349.16533689
86.0,1202.15615795
87.0,1069.14618244
88.0,989.747191523
89.0,962.001401855
90.0,985.950916305
91.0,1161.30935935
92.0,1138.67205094
93.0,1135.59854161
94.0,1082.6612029
95.0,1010.82669384
96.0,1064.42364414
97.0,1054.77507034
98.0,1056.76092226
99.0,1088.57665578
100.0,1156.4534953
101.0,1255.57066249
102.0,1236.77173216
103.0,1243.04505941
104.0,1200.48607754
105.0,1103.14424793
106.0,1065.46919868
107.0,956.682406264
108.0,895.492905529
109.0,838.303177205
110.0,820.177892756
111.0,837.818994229
112.0,816.18513749
113.0,823.70751648
114.0,928.796273704
115.0,990.764677487
116.0,1081.60863121
117.0,1047.04217702
118.0,1016.61583812
119.0,1040.02503244
120.0,1016.51058095
121.0,1080.69640242
122.0,1026.0889833
123.0,1033.85696235
124.0,1105.33359704
125.0,1086.35222095
126.0,1271.49958068
127.0,1708.96240807
128.0,2915.09728699
129.0,2913.29388083
130.0,3245.49953952
131.0,2914.97799553
132.0,3030.20652668
133.0,2634.22905805
134.0,2483.74639254
135.0,2544.96396185
136.0,2378.81201249
137.0,2072.07157148
138.0,2074.14864628
139.0,2003.23338316
140.0,1935.21620075
141.0,1843.35476106
142.0,1716.46373562
143.0,1598.78622102
144.0,1491.13620603
145.0,1521.10643053
146.0,1525.50618018
147.0,1443.41962288
148.0,1408.76896295
149.0,1466.02886272
150.0,1546.0664138
151.0,1956.74480032
152.0,2788.12907297
153.0,2945.59379733
154.0,2650.84565641
155.0,2631.08537728
156.0,2467.79642291
157.0,2410.31899166
158.0,2415.94674161
159.0,2523.9897167
160.0,2275.59683287
161.0,2054.00242419
162.0,1993.3392093
163.0,2056.07248184
164.0,1940.24749341
165.0,1837.00424521
166.0,1733.68380842
167.0,1661.81421364
168.0,1487.77499377
169.0,1559.91124005
170.0,1494.11147533
171.0,1462.21855321
172.0,1466.3095485
173.0,1500.32164828
174.0,1607.73308036
175.0,2217.1720871
176.0,3052.91400654
177.0,3102.67959589
178.0,3209.4173821
179.0,3188.30279405
180.0,3131.93407165
181.0,2858.35665592
182.0,2778.69803065
183.0,2764.86022154
184.0,2355.34668102
185.0,2177.00595153
186.0,2089.50215862
187.0,2005.3806294
188.0,1888.08204061
189.0,1750.03375529
190.0,1768.9870628
191.0,1652.96559432
192.0,1490.49062872
193.0,1406.96555679
194.0,1311.56747623
195.0,1283.49889792
196.0,1283.35153788
197.0,1304.36788589
198.0,1503.22674614
199.0,2417.7080449
200.0,3032.65551013
201.0,2914.36048681
202.0,3156.38180336
203.0,3170.94237836
204.0,3031.62398988
205.0,2971.57126657
206.0,2924.18448922
207.0,2422.31129174
208.0,2155.43524909
209.0,2103.48031062
210.0,1962.41465314
211.0,1910.20709747
212.0,1745.32525128
213.0,1848.34395085
214.0,1620.73584927
215.0,1540.09482376
216.0,1631.78785198
217.0,1520.22227031
218.0,1496.26573871
219.0,1388.02628357
220.0,1317.58116914
221.0,1383.57741391
222.0,1481.71218086
223.0,1882.86128504
224.0,2384.10995665
225.0,2549.06899143
226.0,3045.53898758
227.0,2878.02571218
228.0,2658.58556688
229.0,2983.78109814
230.0,2536.14341111
231.0,2588.29482963
232.0,2073.89602908
233.0,1793.23831447
234.0,1774.06747548
235.0,1802.64830535
236.0,1626.31447921
237.0,1567.21608756
238.0,1597.89504366
239.0,1579.30662767
240.0,1286.20049858
241.0,1322.44405033
242.0,1320.71783277
243.0,1334.2609218
244.0,1320.42311269
245.0,1387.76664922
246.0,1381.25473905
247.0,1516.91719521
248.0,1505.07927231
249.0,1578.35931315
250.0,1706.49939032
251.0,1521.26080771
252.0,1314.87956848
253.0,1147.25401876
254.0,1198.44408847
255.0,1090.94845065
256.0,924.68422698
257.0,941.560459694
258.0,1085.62243791
259.0,1201.62285496
260.0,1235.67004046
261.0,1229.68441613
262.0,1224.71627777
263.0,1303.52582855
264.0,1235.2981318
265.0,1156.38332386
266.0,1040.49518112
267.0,1032.90964783
268.0,1022.88916537
269.0,1062.65532371
270.0,1057.94681969
271.0,1052.70501269
272.0,1055.729402
273.0,970.639506832
274.0,911.513046604
275.0,960.352372879
276.0,908.614965893
277.0,916.004019135
278.0,870.399596512
279.0,797.645841511
280.0,813.743171176
281.0,828.570397673
282.0,819.665641202
283.0,1046.34046256
284.0,1034.97268834
285.0,999.606279657
286.0,1036.95152311
287.0,1021.99798801
288.0,953.124713962
289.0,1009.59167639
290.0,980.077566292
291.0,977.214571303
292.0,985.719350534
293.0,1053.58917291
294.0,1174.5086083
295.0,1686.3321168
296.0,2628.99426819
297.0,3306.71710884
298.0,3492.03989718
299.0,3125.49233292
300.0,2766.16541043
301.0,2541.1466352
302.0,2689.22943726
303.0,2744.96661666
304.0,2550.78117471
305.0,2076.87129838
306.0,1973.02457574
307.0,2049.17462872
308.0,2129.03675118
309.0,2029.42136673
310.0,1948.96980412
311.0,1963.97245924
312.0,1681.13942981
313.0,1621.26564368
314.0,1486.0628105
315.0,1452.76645946
316.0,1475.29851071
317.0,1622.79888977
318.0,1830.69583223
319.0,2916.47264733
320.0,3449.51600103
321.0,3434.71684311
322.0,2965.40319648
323.0,3522.85919618
324.0,3540.68976055
325.0,3436.56936928
326.0,3126.76945324
327.0,3177.01922557
328.0,2727.78162958
329.0,2896.45975099
330.0,2533.85582198
331.0,2408.26296829
332.0,2208.34451922
333.0,1997.07934736
334.0,2070.52779968
335.0,1824.36636782
336.0,1686.0531853
337.0,1636.6595046
338.0,1626.77761075
339.0,1529.28140396
340.0,1477.53697983
341.0,1595.91620889
342.0,1868.51824152
343.0,2440.25413043
344.0,3489.07866217
345.0,3490.08211385
346.0,3474.06197277
347.0,3636.34045832
348.0,3882.52995875
349.0,3681.79050376
350.0,3545.75613894
