hour_ending,total,process,other
1.0,470.616729126,355.741779586,114.87494954
2.0,467.002453518,353.009728732,113.992724786
3.0,468.714478806,354.303858084,114.410620722
4.0,471.567854285,356.460740336,115.107113949
5.0,498.072542075,376.49577993,121.576762145
6.0,527.303788656,398.591840344,128.711948312
7.0,587.731940483,444.26981339,143.462127093
8.0,588.619657299,444.940843424,143.678813875
9.0,527.937872096,399.071147511,128.866724585
10.0,506.56926017,382.918495972,123.650764198
11.0,483.108172892,365.184130781,117.924042111
12.0,468.587662118,354.20799665,114.379665468
13.0,482.220456076,364.513100747,117.707355329
14.0,481.713189325,364.129655014,117.583534311
15.0,490.20990742,370.552371056,119.657536364
16.0,499.467525643,377.550255699,121.917269944
17.0,486.912673532,368.059973785,118.852699747
18.0,477.655055309,361.062089143,116.592966166
19.0,518.870478905,392.217055018,126.653423887
20.0,550.70146759,416.278274818,134.423192772
21.0,507.266751954,383.445733856,123.821018098
22.0,508.408102146,384.308486758,124.099615388
23.0,513.290544634,387.999151946,125.291392688
24.0,494.204633091,373.572006209,120.632626882
25.0,466.178145046,352.386629414,113.791515632
26.0,465.480653262,351.85939153,113.621261732
27.0,469.919237342,355.214541702,114.70469564
28.0,472.011712693,356.796255353,115.21545734
29.0,490.780582516,370.983747506,119.79683501
30.0,563.573361421,426.008210315,137.565151106
31.0,938.633716147,709.518399785,229.115316362
32.0,1849.05071922,1397.70763063,451.343088594
33.0,2495.81582796,1886.60094129,609.214886668
34.0,2511.47768893,1898.43982833,613.037860603
35.0,2450.09841194,1852.04289453,598.055517412
36.0,2454.28336264,1855.20632183,599.077040811
37.0,2385.6121261,1803.29735561,582.314770487
38.0,2456.69287971,1857.02768906,599.665190646
39.0,2499.17647019,1889.14126928,610.035200913
40.0,2331.77844205,1762.60417711,569.174264942
41.0,2189.04625971,1654.71213374,534.334125972
42.0,2063.81478033,1560.0489682,503.765812131
43.0,1830.34525774,1383.56806919,446.777188551
44.0,1619.89296402,1224.48602035,395.406943667
45.0,1644.11495143,1242.79555415,401.319397282
46.0,1614.12280472,1220.12432513,393.998479587
47.0,1609.0501372,1216.28986779,392.760269406
48.0,1411.0258789,1066.60223944,344.423639465
49.0,1041.67227514,787.405814476,254.266460664
50.0,746.696658877,564.432120237,182.26453864
51.0,675.552496915,510.653856063,164.898640852
52.0,626.284213631,473.411689162,152.872524469
53.0,626.284213631,473.411689162,152.872524469
54.0,684.36625673,517.316225689,167.050031041
55.0,1082.57065701,818.321126763,264.249530247
56.0,1885.89096708,1425.55537705,460.335590033
57.0,2394.48929426,1810.00765596,584.481638304
58.0,2426.82754969,1834.45232148,592.375228206
59.0,2411.73636382,1823.0448109,588.691552918
60.0,2438.9385434,1843.60708839,595.331455015
61.0,2451.42998716,1853.04943958,598.380547584
62.0,2456.94651309,1857.21941193,599.727101156
63.0,2362.08763047,1785.5150597,576.572570771
64.0,2180.99340003,1648.62493272,532.368467312
65.0,1914.04427181,1446.83661527,467.207656537
66.0,1671.57076438,1263.54955449,408.021209887
67.0,1502.65093598,1135.86212512,366.788810861
68.0,1363.46962091,1030.65420189,332.81541902
69.0,1324.60030604,1001.27267253,323.327633507
70.0,1321.62011387,999.019928844,322.600185026
71.0,1319.52763852,997.438215194,322.089423326
72.0,1161.3872286,877.899007665,283.488220935
73.0,764.641220227,577.996513072,186.644707155
74.0,540.809765927,408.801083008,132.008682919
75.0,539.858640767,408.082122257,131.77651851
76.0,530.474205856,400.98837618,129.485829676
77.0,609.544410817,460.757979945,148.786430872
78.0,659.256552508,498.335661863,160.920890645
79.0,795.013817,600.955326386,194.058490614
80.0,826.464355621,624.728961885,201.735393736
81.0,868.757721066,656.698749946,212.05897112
82.0,870.913604761,658.328394315,212.585210446
83.0,852.715410035,644.572278613,208.143131422
84.0,753.10090162,569.273122627,183.827778993
85.0,763.182828315,576.894106587,186.288721728
86.0,695.145675209,525.464447533,169.681227676
87.0,538.970923951,407.411092222,131.559831729
88.0,488.94174054,369.593756721,119.347983819
89.0,464.65634479,351.236292213,113.420052577
90.0,468.270620398,353.968343067,114.302277331
91.0,504.286559786,381.19299017,123.093569616
92.0,511.451702658,386.609161161,124.842541497
93.0,522.484754513,394.949105872,127.535648641
94.0,504.920643226,381.672297337,123.248345889
95.0,514.622119858,389.005696998,125.61642286
96.0,523.626104705,395.811858774,127.814245931
97.0,511.32488597,386.513299727,124.811586243
98.0,517.855945401,391.450163551,126.40578185
99.0,509.73967737,385.315031809,124.424645561
100.0,502.384309467,379.755068668,122.629240799
101.0,511.64192769,386.752953311,124.888974379
102.0,520.899545913,393.750837954,127.148707959
103.0,529.142630632,399.981831129,129.160799503
104.0,526.923338592,398.304256043,128.619082549
105.0,522.040896105,394.613590855,127.42730525
106.0,541.317032679,409.184528742,132.132503937
107.0,473.660329637,358.042453988,115.617875649
108.0,465.100203198,351.57180723,113.528395968
109.0,456.983935167,345.436675488,111.547259679
110.0,457.681426951,345.963913372,111.717513579
111.0,448.29699204,338.870167296,109.426824744
112.0,471.884896005,356.70039392,115.184502085
113.0,445.253391528,336.569492893,108.683898635
114.0,451.340592551,341.170841699,110.169750852
115.0,483.044764548,365.136200065,117.908564483
116.0,503.525659659,380.61782157,122.907838089
117.0,495.916658379,374.866135561,121.050522818
118.0,510.500577498,385.89020041,124.610377088
119.0,509.866494058,385.410893243,124.455600815
120.0,552.28667619,417.476542736,134.810133454
121.0,566.870595309,428.500607585,138.369987724
122.0,579.42544742,437.990889498,141.434557922
123.0,573.148021364,433.245748541,139.902272823
124.0,572.323712892,432.622649223,139.701063669
125.0,590.458499275,446.330834209,144.127665066
126.0,664.899895124,502.601495652,162.298399472
127.0,1085.17039912,820.286286154,264.884112966
128.0,1978.34033262,1495.43836204,482.901970581
129.0,2444.20143595,1847.58533787,596.616098077
130.0,2638.9918687,1994.82849967,644.163369026
131.0,2579.64165872,1949.96534881,629.676309909
132.0,2581.22686732,1951.16361673,630.06325059
133.0,2507.67318829,1895.56398532,612.109202967
134.0,2581.79754241,1951.59499318,630.202549234
135.0,2614.89669798,1976.61482731,638.281870666
136.0,2606.39997988,1970.19211127,636.207868612
137.0,2300.51812846,1738.97433376,561.543794701
138.0,2110.48332151,1595.32597571,515.157345797
139.0,1759.96199591,1330.36497362,429.597022291
140.0,1584.51110807,1197.74068042,386.770427655
141.0,1588.12538368,1200.47273127,387.652652409
142.0,1580.13593234,1194.43346097,385.702471375
143.0,1581.97477431,1195.82345175,386.151322564
144.0,1410.07475374,1065.88327868,344.191475056
145.0,1123.97630564,849.619884791,274.356420849
146.0,748.789134228,566.013833889,182.775300339
147.0,689.248699218,521.006890878,168.24180834
148.0,608.466468969,459.943157761,148.523311208
149.0,634.717523383,479.786474488,154.931048895
150.0,700.535384449,529.538558456,170.996825993
151.0,1192.90117556,901.720573877,291.180601683
152.0,2045.87021898,1546.48457536,499.385643616
153.0,2621.61798244,1981.69548328,639.922499155
154.0,2658.96549706,2009.92667545,649.038821615
155.0,2612.93103932,1975.1289751,637.802064222
156.0,2719.7106906,2055.84430207,663.86638853
157.0,2600.43959555,1965.6866239,634.752971651
158.0,2555.10262959,1931.41616143,623.686468157
159.0,2666.44768165,2015.58250002,650.865181631
160.0,2531.70495066,1913.72972696,617.975223698
161.0,2237.30000949,1691.18740917,546.112600319
162.0,2049.8015363,1549.4562798,500.345256505
163.0,1759.01087075,1329.64601287,429.364857882
164.0,1590.09104234,1201.95858349,388.132458853
165.0,1585.39882489,1198.41171045,386.987114437
166.0,1615.83483001,1221.41845449,394.416375524
167.0,1565.04474647,1183.02595038,382.018796087
168.0,1388.64273347,1049.68269643,338.960037041
169.0,1082.57065701,818.321126763,264.249530247
170.0,775.040188642,585.857150616,189.183038026
171.0,708.841877512,535.817482348,173.024395164
172.0,646.448067022,488.653657084,157.794409938
173.0,654.627743397,494.836719542,159.791023855
174.0,724.503738479,547.656369381,176.847369098
175.0,1157.83636134,875.214887531,282.621473809
176.0,2179.72523315,1647.66631838,532.058914766
177.0,2654.52691298,2006.57152527,647.955387706
