hour_ending,total,process,other
1.0,216.335239985,171.672480741,44.6627592436
2.0,221.348817539,175.650997122,45.6978204166
3.0,216.739357068,171.993167201,44.7461898673
4.0,230.024706151,182.535734536,47.4889716147
5.0,228.572410386,181.383267575,47.1891428115
6.0,239.988717963,190.442660038,49.5460579253
7.0,264.804032552,210.134812903,54.6692196493
8.0,259.24742267,205.725374094,53.5220485763
9.0,237.911303586,188.79413121,49.1171723763
10.0,227.997806409,180.927291515,47.0705148936
11.0,205.588251326,163.144225226,42.4440261001
12.0,206.143912314,163.585169107,42.5587432074
13.0,194.342430643,154.220122362,40.1223082806
14.0,196.325130079,155.793490302,40.5316397772
15.0,193.477367514,153.533652912,39.9437146023
16.0,191.399953137,151.885124084,39.5148290533
17.0,202.784689067,160.919462917,41.8652261496
18.0,207.166833679,164.396906706,42.7699269731
19.0,216.600441821,171.882931231,44.7175105905
20.0,220.963643444,175.345342841,45.6183006034
21.0,216.903529633,172.123446075,44.7800835581
22.0,239.603543869,190.137005757,49.4665381123
23.0,324.487074155,257.496194298,66.990879857
24.0,332.039012131,263.489022498,68.5499896334
25.0,293.294286859,232.743208253,60.5510786057
26.0,279.731107282,221.980168977,57.7509383046
27.0,376.845493639,299.045133625,77.8003600136
28.0,423.173728535,335.8088297,87.3648988353
29.0,461.072333666,365.883206671,95.189126995
30.0,723.874723795,574.429619458,149.445104337
31.0,906.188356908,719.104308943,187.084047965
32.0,1255.40234504,996.222505943,259.179839097
33.0,1414.03092853,1122.1019625,291.928966027
34.0,1453.5902023,1153.49416039,300.096041906
35.0,1458.91318199,1157.71820234,301.194979649
36.0,1396.17400495,1107.9316296,288.242375351
37.0,1407.33142502,1116.7855823,290.545842721
38.0,1388.07903465,1101.50787898,286.571155675
39.0,1387.7254322,1101.22727832,286.498153879
40.0,1291.65291019,1024.98908345,266.663826745
41.0,1101.65473819,874.216340522,227.438397668
42.0,961.078822487,762.662549364,198.416273123
43.0,923.224417662,732.623247475,190.601170187
44.0,871.958377166,691.941163731,180.017213435
45.0,906.396729779,719.269662898,187.127066881
46.0,890.27624679,706.477279625,183.798967165
47.0,878.424250484,697.072147073,181.352103411
48.0,836.099300435,663.485251232,172.614049203
49.0,815.047326175,646.779491015,168.26783516
50.0,816.114447846,647.626303696,168.48814415
51.0,816.543822246,647.967033058,168.576789188
52.0,828.162188364,657.186768751,170.975419613
53.0,797.720806268,633.03005909,164.690747178
54.0,833.996628741,661.816679501,172.17994924
55.0,1042.34424202,827.150591954,215.193650066
56.0,1184.2461669,939.756635554,244.489531346
57.0,1366.63557196,1084.49145375,282.144118214
58.0,1405.25401065,1115.13705348,290.116957173
59.0,1359.79083888,1079.05982685,280.731012029
60.0,1293.59140932,1026.5273763,267.064033017
61.0,1290.02381321,1023.69631616,266.327497046
62.0,1248.57655495,990.805911227,257.770643723
63.0,1161.09783527,921.387314328,239.710520942
64.0,1131.81828979,898.15257824,233.66571155
65.0,954.878151004,757.742016511,197.136134493
66.0,795.700220857,631.426626797,164.27359406
67.0,744.459437678,590.764585956,153.694851722
68.0,701.471483041,556.651563894,144.819919147
69.0,660.876659251,524.437606955,136.439052296
70.0,660.699858027,524.297306628,136.402551399
71.0,637.551526403,505.927985406,131.623540997
72.0,596.66624346,473.483535075,123.182708385
73.0,596.217926072,473.127773535,123.090152537
74.0,598.648942895,475.056903014,123.592039881
75.0,589.019590542,467.415545986,121.604044556
76.0,596.792530048,473.583749593,123.208780455
77.0,594.860345248,472.050467462,122.809877786
78.0,655.326363698,520.033178871,135.293184827
79.0,740.727668995,587.803246937,152.924422058
80.0,737.77887716,585.463237933,152.315639227
81.0,744.036377607,590.428867319,153.607510288
82.0,734.059737136,582.511920366,151.54781677
83.0,729.090359889,578.568479067,150.521880822
84.0,687.144269605,545.282226781,141.862042824
85.0,613.020356637,486.461315207,126.55904143
86.0,600.10123866,476.209369975,123.891868685
87.0,570.221831883,452.498614923,117.72321696
88.0,543.562733105,431.343330089,112.219403016
89.0,552.282822023,438.263142584,114.019679439
90.0,527.846367198,418.871633274,108.974733924
91.0,514.346330915,408.158701257,106.187629658
92.0,496.502035997,393.998389808,102.503646189
93.0,538.176610116,427.069180879,111.107429237
94.0,520.452287457,413.004073222,107.448214235
95.0,540.456083034,428.878052936,111.578030098
96.0,556.639709317,441.720543469,114.919165848
