hour_ending,total,process,other
1.0,10.9856761267,8.71766557045,2.26801055625
2.0,11.886141383,9.43222832213,2.45391306087
3.0,11.6951336013,9.28065440506,2.41447919624
4.0,11.3731490551,9.02514408779,2.34800496731
5.0,11.7879088096,9.35427602196,2.43363278764
6.0,11.1439397172,8.84325538741,2.30068432979
7.0,8.35522610529,6.63027619887,1.72494990642
8.0,7.32924144964,5.8161077303,1.51313371934
9.0,7.83677641228,6.21886128124,1.61791513104
10.0,6.90902433004,5.48264511285,1.42637921719
11.0,7.41110192749,5.88106798045,1.53003394704
12.0,6.94722588637,5.51295989625,1.43426599012
13.0,7.46021821419,5.92004413054,1.54017408365
14.0,6.25959787248,4.96729379498,1.2923040775
15.0,6.78350493068,5.38303939595,1.40046553473
16.0,6.91993906042,5.49130647953,1.42863258089
17.0,10.3362496691,8.20231425254,2.13393541656
18.0,13.6597850696,10.8397004087,2.82008466085
19.0,10.821955171,8.58774507013,2.23421010087
20.0,10.9747613963,8.70900420374,2.26575719256
21.0,10.2161876349,8.10703921896,2.10914841594
22.0,11.3895211507,9.03813613784,2.35138501286
23.0,10.478141164,8.31491201945,2.16322914455
24.0,11.0729939697,8.78695650392,2.28603746578
25.0,12.7429477177,10.112145607,2.63080211069
26.0,11.684218871,9.27199303844,2.41222583256
27.0,12.2244980247,9.70073068939,2.52376733531
28.0,11.4713816286,9.10309638804,2.36828524056
29.0,11.6296452191,9.228686205,2.4009590141
30.0,11.0675366045,8.78262582056,2.28491078394
31.0,9.95423410584,7.89916641851,2.05506768733
32.0,10.3744512254,8.23262903593,2.14182218947
33.0,12.1262654513,9.62277838921,2.50348706209
34.0,23.1337710387,18.357766693,4.77600434571
35.0,23.4721276805,18.6262690603,4.84585862018
36.0,24.5253991621,19.4620909456,5.06330821648
37.0,23.2538330729,18.4530417266,4.80079134633
38.0,22.6862670932,18.0026506589,4.68361643434
39.0,23.2483757077,18.4487110432,4.79966466448
40.0,20.3887163484,16.1794329713,4.20928337713
41.0,17.7800957877,14.109366333,3.67072945467
42.0,18.5441269143,14.7156620012,3.82846491313
43.0,18.0966229687,14.360545967,3.73607700174
44.0,18.7405920611,14.8715666015,3.86902545959
45.0,17.7364368662,14.0747208663,3.6617159999
46.0,15.0623279233,11.952686028,3.1096418953
47.0,13.9763122506,11.0908800427,2.88543220793
48.0,12.9776144209,10.2983649908,2.67924943009
49.0,14.0800021892,11.1731630262,2.906839163
50.0,12.6829167006,10.0645080902,2.61840861038
51.0,12.5955988576,9.99521715675,2.60038170085
52.0,12.6883740658,10.0688387736,2.61953529223
53.0,12.2517848507,9.72238410614,2.52940074456
54.0,13.354172619,10.5971821415,2.75699047747
55.0,12.0280328779,9.54482608904,2.48320678886
56.0,14.2873820664,11.3377289932,2.94965307316
57.0,61.5317925128,48.8284546978,12.703337815
58.0,82.548105858,65.5059162535,17.0421896045
59.0,79.3500898569,62.9681358142,16.3819540427
60.0,61.220722697,48.5816057472,12.6391169498
61.0,38.0869516583,30.2238390542,7.86311260411
62.0,36.0458970774,28.6041634837,7.44173359366
63.0,21.5129335774,17.07155374,4.44137983742
64.0,22.3533678166,17.7384789749,4.61488884172
65.0,18.4568090713,14.6463710677,3.8104380036
66.0,15.8809327018,12.6022885296,3.27864417223
67.0,15.1714752271,12.0392996949,3.13217553222
68.0,13.354172619,10.5971821415,2.75699047747
69.0,13.7089013563,10.8786765588,2.83022479747
70.0,14.1727773974,11.246784643,2.92599275438
71.0,13.0321880728,10.3416718243,2.69051624855
72.0,11.7551646184,9.32829192185,2.42687269655
73.0,11.5532421064,9.16805663815,2.38518546825
74.0,12.2790716766,9.74403752282,2.53503415378
75.0,11.8315677311,9.3889214887,2.4426462424
76.0,12.0062034171,9.52750335563,2.47870006147
77.0,13.1849942981,10.4629309579,2.72206334024
78.0,11.9025134785,9.44522037211,2.45729310639
79.0,10.8328699014,8.59640643684,2.23646346456
80.0,9.74139686345,7.73026976812,2.01112709533
81.0,9.49581542992,7.53538901766,1.96042641226
82.0,9.64316429004,7.65231746794,1.9908468221
83.0,12.1808391032,9.66608522265,2.51475388055
84.0,11.1439397172,8.84325538741,2.30068432979
85.0,10.8328699014,8.59640643684,2.23646346456
86.0,12.8466376563,10.1944285905,2.65220906577
87.0,26.3317870399,20.8955471323,5.43623990756
88.0,34.5178348243,27.3915721476,7.12626267674
89.0,17.1470414257,13.6070070652,3.54003436051
90.0,16.8523437055,13.3731501647,3.47919354083
91.0,32.0511057586,25.4341032763,6.6170024823
92.0,16.175630422,12.8361454301,3.33948499191
93.0,12.2954437722,9.75702957288,2.53841419932
94.0,11.9298003045,9.46687378887,2.46292651563
95.0,12.1535522773,9.64443180597,2.50912047133
96.0,12.3718468848,9.81765913964,2.55418774516
97.0,12.6447151443,10.0341933068,2.61052183747
98.0,12.6501725095,10.0385239902,2.61164851931
99.0,12.5137383798,9.93025690663,2.58348147317
100.0,12.6610872399,10.0471853569,2.61390188301
101.0,12.693831431,10.0731694569,2.62066197408
102.0,13.0321880728,10.3416718243,2.69051624855
103.0,11.111195526,8.8172712873,2.2939242387
104.0,9.43032704764,7.48342081754,1.9469062301
105.0,10.6364047545,8.44050183641,2.19590291809
106.0,8.43708658313,6.69523644902,1.74185013411
107.0,9.17928824892,7.28420938374,1.89507886518
108.0,7.68397018697,6.09760214763,1.58636803934
109.0,7.22555151104,5.73382474677,1.49172676427
110.0,7.98958263759,6.34012041486,1.64946222273
111.0,7.53662132685,5.98067369735,1.5559476295
112.0,8.69904011223,6.90310924951,1.79593086272
113.0,7.77128803,6.16689308112,1.60439494888
114.0,10.8492419969,8.60939848681,2.23984351009
115.0,11.4768389937,9.10742707131,2.36941192239
116.0,11.8315677311,9.3889214887,2.4426462424
117.0,12.175381738,9.6617545393,2.5136271987
118.0,12.5628546665,9.96923305672,2.59362160978
119.0,12.8466376563,10.1944285905,2.65220906577
120.0,12.6501725095,10.0385239902,2.61164851931
121.0,13.0813043595,10.3806479743,2.70065638516
122.0,13.0540175335,10.3589945576,2.69502297592
123.0,13.212281124,10.4845843745,2.72769674946
124.0,13.2723121411,10.5322218913,2.74009024977
125.0,13.1031338202,10.3979707077,2.70516311254
126.0,14.1727773974,11.246784643,2.92599275438
127.0,24.7655232304,19.6526410127,5.11288221771
128.0,40.4718202461,32.1163476752,8.35547257085
129.0,55.4522876916,44.0040734531,11.4482142385
130.0,67.2620259619,53.3756722084,13.8863537535
131.0,76.2393916988,60.4996463084,15.7397453904
132.0,70.0616543042,55.5973127636,14.4643415406
133.0,59.4852805667,47.2044484439,12.2808321228
134.0,62.4922887862,49.5906549662,12.90163382
135.0,41.0339288607,32.5624080597,8.47152080102
136.0,18.5768711054,14.7416461012,3.8352250042
137.0,14.5547929607,11.5499324771,3.00486048362
138.0,14.1946068582,11.2641073764,2.93049948178
139.0,14.2328084145,11.2944221598,2.93838625469
140.0,41.3668281372,32.8265797436,8.54024839362
141.0,19.1062355288,15.1617223855,3.94451314328
142.0,14.7348860119,11.6928450274,3.04204098453
143.0,13.2341105848,10.5019071079,2.73220347685
144.0,12.1044359905,9.60545565581,2.49898033469
145.0,13.1467927418,10.4326161745,2.71417656732
146.0,12.6720019703,10.0558467236,2.61615524671
147.0,14.0472579981,11.1471789262,2.90007907193
148.0,12.7374903525,10.1078149237,2.62967542885
149.0,13.6052114177,10.7963935753,2.80881784239
150.0,15.2860798961,12.1302440451,3.155835851
151.0,36.6844088045,29.1108534349,7.57355536964
152.0,43.3260222403,34.3812950639,8.94472717638
153.0,62.2958236394,49.4347503659,12.8610732735
154.0,82.3298112504,65.3326889198,16.9971223306
155.0,81.8441057485,64.9472581022,16.8968476463
156.0,79.0499347715,62.7299482304,16.3199865411
157.0,77.4181825798,61.4350739107,15.9831086691
158.0,76.3048800811,60.5516145086,15.7532655725
159.0,74.5039495685,59.1224890052,15.3814605633
160.0,31.0524079289,24.6415882244,6.41081970446
161.0,18.4895532624,14.6723551677,3.81719809467
162.0,16.4484986815,13.0526795973,3.39581908422
163.0,27.7343298936,22.0085327516,5.72579714201
164.0,35.1181449951,27.8679473153,7.25019767981
165.0,31.7400359428,25.1872543257,6.55278161707
166.0,41.5141769973,32.9435081938,8.57066880346
167.0,38.5944866209,30.6265926051,7.96789401579
168.0,13.7361881822,10.9003299755,2.83585820669
169.0,11.6623894102,9.25467030503,2.40771910517
170.0,11.2039707343,8.8908929042,2.3130778301
171.0,11.8806840178,9.42789763878,2.45278637902
172.0,11.5314126456,9.15073390475,2.38067874085
173.0,11.5368700108,9.1550645881,2.3818054227
174.0,14.3310409879,11.37237446,2.95866652792
175.0,52.5107678544,41.669835131,10.8409327234
176.0,67.6058399689,53.6485052591,13.9573347098
177.0,95.7713017124,75.9991619948,19.7721397176
178.0,126.381663061,100.289964868,26.0916981926
179.0,65.2810023981,51.8036341548,13.4773682433
180.0,68.2825532524,54.1855099937,14.0970432587
181.0,60.2383969629,47.8020827454,12.4363142175
182.0,48.6251238394,38.5863885904,10.038735249
183.0,49.0999146109,38.9631580413,10.1367565696
184.0,31.1670125978,24.7325325746,6.43448002321
185.0,15.7936148587,12.532997596,3.26061726268
186.0,13.3814594449,10.6188355582,2.76262388669
187.0,14.189149493,11.2597766931,2.92937279993
188.0,13.7361881822,10.9003299755,2.83585820669
189.0,12.9339554994,10.2637195241,2.67023597532
190.0,11.744249888,9.31963055515,2.42461933285
191.0,11.3786064203,9.02947477114,2.34913164916
192.0,11.2148854646,8.89955427082,2.31533119378
193.0,11.5532421064,9.16805663815,2.38518546825
194.0,12.0444049735,9.5578181391,2.4865868344
195.0,11.2967459425,8.96451452102,2.33223142148
196.0,12.0171181475,9.53616472234,2.48095342516
197.0,11.7060483317,9.28931577176,2.41673255994
198.0,12.5737693969,9.97789442342,2.59587497348
199.0,73.5925695819,58.3992648869,15.193304695
200.0,78.5642292696,62.3445174128,16.2197118568
201.0,47.9429531907,38.0450531725,9.8979000182
202.0,47.6755422964,37.8328496887,9.84269260774
203.0,49.9730930412,39.6560673762,10.317025665
204.0,49.3236665837,39.1407160584,10.1829505253
205.0,92.3495337385,73.2838235384,19.0657102001
206.0,92.9280144486,73.7428759728,19.1851384758
207.0,83.5304315921,66.2854392553,17.2449923368
208.0,30.7085939219,24.3687551738,6.33983874814
209.0,17.6982353099,14.0444060829,3.65382922698
210.0,16.1319715005,12.8014999634,3.33047153715
211.0,18.7787936174,14.9018813849,3.87691223251
212.0,41.7706731613,33.1470503111,8.62362285025
213.0,31.2543304409,24.8018235081,6.45250693276
214.0,12.8520950215,10.1987592739,2.65333574762
215.0,12.6447151443,10.0341933068,2.61052183747
216.0,12.4100484412,9.84797392311,2.56207451809
217.0,12.7484050829,10.1164762904,2.63192879254
218.0,13.1413353766,10.4282854911,2.71304988547
219.0,12.6665446051,10.0515160402,2.61502856486
220.0,12.3609321545,9.80899777302,2.55193438148
221.0,13.4633199228,10.6837958084,2.7795241144
222.0,12.5301104753,9.94324895661,2.58686151869
223.0,11.6132731235,9.21569415494,2.39757896856
224.0,18.0256772213,14.3042470835,3.72143013775
225.0,18.3531191327,14.5640880842,3.78903104853
226.0,21.4474451952,17.0195855399,4.42785965528
227.0,20.6179256863,16.3613216716,4.25660401465
228.0,23.4175540286,18.5829622269,4.83459180172
229.0,18.9152277472,15.0101484685,3.90507927867
230.0,18.8879409212,14.9884950518,3.89944586943
231.0,18.6860184092,14.8282597681,3.85775864113
232.0,17.6000027365,13.9664537827,3.63354895375
233.0,15.6353512682,12.4074077791,3.22794348914
234.0,16.0064521011,12.7018942464,3.30455785468
235.0,15.3570256436,12.1865429286,3.170482715
236.0,14.7567154727,11.7101677608,3.04654771192
237.0,14.2819247012,11.3333983099,2.94852639131
238.0,14.4347309265,11.4546574435,2.980073483
239.0,15.54257606,12.3337861622,3.20878989776
240.0,14.7294286468,11.6885143441,3.0409143027
241.0,14.2710099708,11.3247369432,2.94627302761
242.0,15.7117543809,12.4680373459,3.243717035
243.0,14.2819247012,11.3333983099,2.94852639131
244.0,16.1920025176,12.8491374801,3.34286503746
245.0,15.3843124695,12.2081963453,3.17611612422
246.0,15.226048879,12.0826065283,3.14344235069
247.0,14.3201262575,11.3637130933,2.95641316422
248.0,15.0022969062,11.9050485112,3.09724839499
249.0,12.4591647279,9.88695007319,2.57221465471
250.0,11.7169630621,9.29797713847,2.41898592363
251.0,11.9952886868,9.51884198901,2.47644669779
252.0,11.4713816286,9.10309638804,2.36828524056
253.0,11.6951336013,9.28065440506,2.41447919624
254.0,10.7782962495,8.5530996034,2.2251966461
255.0,10.2871333824,8.16333810246,2.12379527994
256.0,10.478141164,8.31491201945,2.16322914455
257.0,13.6488703392,10.831039042,2.81783129716
258.0,13.6870718955,10.8613538254,2.82571807007
259.0,13.5615524962,10.7617481086,2.79980438762
260.0,13.8180486601,10.9652902257,2.85275843439
261.0,14.0145138069,11.1211948261,2.89331898085
262.0,14.3583278139,11.3940278767,2.96429993716
263.0,14.3255836227,11.3680437766,2.95753984607
264.0,14.2546378753,11.3117448932,2.94289298209
265.0,13.9435680594,11.0648959426,2.87867211684
266.0,14.6966844556,11.662530244,3.03415421161
267.0,15.0896147493,11.9743394448,3.11527530454
268.0,14.4838472132,11.4936335936,2.99021361961
269.0,14.794917029,11.7404825442,3.05443448484
270.0,15.2369636094,12.091267895,3.14569571438
271.0,12.5573973013,9.96490237336,2.59249492794
272.0,11.3349474988,8.9948293044,2.3401181944
273.0,12.4155058064,9.85230460646,2.56320119994
274.0,11.4822963589,9.11175775466,2.37053860424
275.0,12.1590096424,9.64876248924,2.51024715316
276.0,12.1862964684,9.670415906,2.5158805624
277.0,11.5532421064,9.16805663815,2.38518546825
278.0,10.6746063109,8.47081661987,2.20378969103
279.0,9.07014094513,7.19759571687,1.87254522826
280.0,9.2938929179,7.37515373395,1.91873918395
281.0,10.0906682356,8.00743350211,2.08323473349
282.0,12.519195745,9.93458758998,2.58460815502
283.0,13.3869168101,10.6231662416,2.76375056854
284.0,13.9217385987,11.0475732092,2.87416538947
285.0,13.6270408785,10.8137163087,2.81332456978
286.0,15.5916923467,12.3727623123,3.21893003438
287.0,14.68031236,11.6495381939,3.03077416607
288.0,14.7130565512,11.675522294,3.03753425716
289.0,14.6421108037,11.6192234106,3.02288739315
290.0,15.8318164151,12.5633123795,3.26850403562
291.0,15.2915372613,12.1345747285,3.15696253284
292.0,16.2847777258,12.922759097,3.36201862884
293.0,14.8713201417,11.801112111,3.07020803069
294.0,16.5903901764,13.1652773642,3.42511281222
295.0,44.8267976674,35.5722329833,9.25456468406
296.0,59.7199472699,47.3906678278,12.3292794421
297.0,95.4056582447,75.7090062108,19.6966520339
298.0,109.638466659,87.0034283704,22.6350382886
299.0,118.790468082,94.2659843374,24.5244837446
300.0,126.07605061,100.047446601,26.0286040091
301.0,102.713070234,81.507791208,21.205279026
302.0,98.0797671876,77.8310410491,20.2487261385
303.0,84.2780906231,66.8787428734,17.3993477497
304.0,47.4299608629,37.6379689382,9.79199192467
305.0,24.5472286229,19.479413679,5.06781494388
306.0,18.6860184092,14.8282597681,3.85775864113
307.0,15.340653548,12.1735508785,3.16710266946
308.0,15.226048879,12.0826065283,3.14344235069
309.0,15.629893903,12.4030770957,3.22681680729
310.0,15.0732426537,11.9613473947,3.111895259
311.0,15.9900800056,12.6889021964,3.30117780916
312.0,16.2956924562,12.9314204637,3.36427199253
313.0,16.3502661081,12.9747272971,3.375538811
314.0,16.3120645517,12.9444125136,3.36765203806
315.0,16.290235091,12.9270897803,3.36314531069
316.0,16.262948265,12.9054363636,3.35751190144
317.0,16.5740180808,13.1522853141,3.42173276667
318.0,21.0381428059,16.6947842891,4.3433585168
319.0,38.6708897336,30.687222172,7.98366756165
320.0,86.9904011223,69.0310924951,17.9593086272
321.0,80.7471753454,64.0767907501,16.6703845953
322.0,78.5041982525,62.296879896,16.2073183565
323.0,79.5902139252,63.1586858813,16.4315280439
324.0,78.4878261569,62.2838878459,16.203938311
325.0,77.4127252146,61.4307432273,15.9819819873
326.0,48.4450307881,38.4434760401,10.001554748
327.0,48.7124416824,38.6556795239,10.0567621585
328.0,24.0560657558,19.0896521781,4.96641357772
329.0,13.0267307076,10.3373411409,2.6893895667
330.0,13.0703896291,10.3719866076,2.69840302147
331.0,12.0062034171,9.52750335563,2.47870006147
332.0,12.6556298747,10.0428546735,2.61277520116
333.0,11.6296452191,9.228686205,2.4009590141
334.0,9.68682321155,7.68696293468,1.99986027687
335.0,10.5108853552,8.34089611956,2.16998923564
336.0,9.53947435143,7.57003448441,1.96943986702
337.0,10.0415519489,7.96845735203,2.07309459687
338.0,10.3144202084,8.18499151922,2.12942868918
339.0,9.87783099319,7.8385368517,2.03929414149
340.0,10.4672264337,8.30625065283,2.16097578087
341.0,10.2980481128,8.17199946916,2.12604864364
342.0,11.656932045,9.25033962168,2.40659242332
343.0,22.4024841033,17.777455125,4.62502897833
344.0,39.7678201367,31.557689524,8.21013061272
345.0,45.045092275,35.7454603171,9.29963195791
346.0,47.8447206173,37.9671008723,9.87761974498
347.0,51.3920079905,40.7820450456,10.6099629449
348.0,51.5448142158,40.9033041792,10.6415100366
349.0,51.3101475127,40.7170847954,10.5930627173
