hour_ending,total,pumping,process,other
1.0,4014.76761054,2007.38380527,1003.69190264,1003.69190264
2.0,3947.20734882,1973.60367441,986.801837205,986.801837205
3.0,3920.60526027,1960.30263014,980.151315068,980.151315068
4.0,5044.63770159,2522.31885079,1261.1594254,1261.1594254
5.0,4957.59687361,2478.79843681,1239.3992184,1239.3992184
6.0,5238.46368389,2619.23184194,1309.61592097,1309.61592097
7.0,4317.86562797,2158.93281398,1079.46640699,1079.46640699
8.0,4603.10331966,2301.55165983,1150.77582992,1150.77582992
9.0,5134.65525052,2567.32762526,1283.66381263,1283.66381263
10.0,5898.80589616,2949.40294808,1474.70147404,1474.70147404
11.0,5830.75579428,2915.37789714,1457.68894857,1457.68894857
12.0,4925.15438318,2462.57719159,1231.28859579,1231.28859579
13.0,3755.86824732,1877.93412366,938.96706183,938.96706183
14.0,4012.13000969,2006.06500484,1003.03250242,1003.03250242
15.0,3667.43325889,1833.71662945,916.858314723,916.858314723
16.0,3908.17085627,1954.08542814,977.042714068,977.042714068
17.0,3649.53525314,1824.76762657,912.383813285,912.383813285
18.0,3570.82170783,1785.41085391,892.705426957,892.705426957
19.0,3182.19006291,1591.09503146,795.547515728,795.547515728
20.0,3380.12316653,1690.06158327,845.030791633,845.030791633
21.0,3140.1768494,1570.0884247,785.04421235,785.04421235
22.0,3335.05787205,1667.52893602,833.764468012,833.764468012
23.0,3926.25726209,1963.12863105,981.564315523,981.564315523
24.0,4088.50739424,2044.25369712,1022.12684856,1022.12684856
25.0,3763.10280964,1881.55140482,940.77570241,940.77570241
26.0,4187.94494621,2093.97247311,1046.98623655,1046.98623655
27.0,3700.36558947,1850.18279474,925.091397368,925.091397368
28.0,3885.52516899,1942.7625845,971.381292248,971.381292248
29.0,3703.34231043,1851.67115521,925.835577607,925.835577607
30.0,4097.21147704,2048.60573852,1024.30286926,1024.30286926
31.0,3412.56565696,1706.28282848,853.14141424,853.14141424
32.0,4635.09364994,2317.54682497,1158.77341249,1158.77341249
33.0,4962.04311504,2481.02155752,1240.51077876,1240.51077876
34.0,5028.24689632,2514.12344816,1257.06172408,1257.06172408
35.0,4951.68111171,2475.84055585,1237.92027793,1237.92027793
36.0,4781.70657707,2390.85328854,1195.42664427,1195.42664427
37.0,3846.07419631,1923.03709815,961.518549077,961.518549077
38.0,3853.64787875,1926.82393938,963.411969688,963.411969688
39.0,3738.76152182,1869.38076091,934.690380455,934.690380455
40.0,3768.00121122,1884.00060561,942.000302805,942.000302805
41.0,3706.16831134,1853.08415567,926.542077835,926.542077835
42.0,3674.36638112,1837.18319056,918.59159528,918.59159528
43.0,3500.77456532,1750.38728266,875.19364133,875.19364133
44.0,3030.26425407,1515.13212703,757.566063517,757.566063517
45.0,3355.36739858,1677.68369929,838.841849645,838.841849645
46.0,2992.35816189,1496.17908094,748.089540472,748.089540472
47.0,4175.43518218,2087.71759109,1043.85879555,1043.85879555
48.0,3710.31311267,1855.15655634,927.578278168,927.578278168
49.0,4135.68276941,2067.84138471,1033.92069235,1033.92069235
50.0,3990.76544282,1995.38272141,997.691360705,997.691360705
51.0,5302.44434446,2651.22217223,1325.61108612,1325.61108612
52.0,4925.60654333,2462.80327167,1231.40163583,1231.40163583
53.0,4904.01589639,2452.0079482,1226.0039741,1226.0039741
54.0,5308.51082641,2654.2554132,1327.1277066,1327.1277066
55.0,3644.63685156,1822.31842578,911.15921289,911.15921289
56.0,5530.25769769,2765.12884884,1382.56442442,1382.56442442
57.0,5919.83134292,2959.91567146,1479.95783573,1479.95783573
58.0,6220.06567943,3110.03283972,1555.01641986,1555.01641986
59.0,5520.61161459,2760.30580729,1380.15290365,1380.15290365
60.0,4704.38719221,2352.1935961,1176.09679805,1176.09679805
61.0,3877.80076651,1938.90038325,969.450191627,969.450191627
62.0,3694.41214756,1847.20607378,923.60303689,923.60303689
63.0,3657.67413575,1828.83706788,914.418533938,914.418533938
64.0,3456.68895114,1728.34447557,864.172237785,864.172237785
65.0,3547.23402025,1773.61701012,886.808505062,886.808505062
66.0,4643.30789258,2321.65394629,1160.82697315,1160.82697315
67.0,4469.48999671,2234.74499836,1117.37249918,1117.37249918
68.0,4078.82363113,2039.41181557,1019.70590778,1019.70590778
69.0,3354.16163819,1677.08081909,838.540409547,838.540409547
70.0,2969.52407455,1484.76203728,742.381018638,742.381018638
71.0,3827.42259032,1913.71129516,956.85564758,956.85564758
72.0,4752.65528773,2376.32764387,1188.16382193,1188.16382193
73.0,4990.52920419,2495.2646021,1247.63230105,1247.63230105
74.0,4519.11457266,2259.55728633,1129.77864316,1129.77864316
75.0,3836.72955331,1918.36477666,959.182388328,959.182388328
76.0,3717.2462349,1858.62311745,929.311558725,929.311558725
77.0,3639.51236991,1819.75618495,909.878092477,909.878092477
78.0,3682.50526373,1841.25263187,920.626315933,920.626315933
79.0,4393.2633322,2196.6316661,1098.31583305,1098.31583305
80.0,4832.91371353,2416.45685676,1208.22842838,1208.22842838
81.0,3984.96272096,1992.48136048,996.24068024,996.24068024
82.0,4905.33469681,2452.66734841,1226.3336742,1226.3336742
83.0,4981.93816143,2490.96908072,1245.48454036,1245.48454036
84.0,4734.15440178,2367.07720089,1183.53860044,1183.53860044
85.0,4058.32570454,2029.16285227,1014.58142614,1014.58142614
86.0,3646.06869202,1823.03434601,911.517173005,911.517173005
87.0,4017.25449134,2008.62724567,1004.31362284,1004.31362284
88.0,3532.53881553,1766.26940777,883.134703883,883.134703883
89.0,3528.24329415,1764.12164708,882.060823538,882.060823538
90.0,4366.02068345,2183.01034173,1091.50517086,1091.50517086
91.0,4608.94372153,2304.47186077,1152.23593038,1152.23593038
92.0,4083.42059261,2041.7102963,1020.85514815,1020.85514815
93.0,3432.76214345,1716.38107173,858.190535863,858.190535863
94.0,3501.30208549,1750.65104275,875.325521373,875.325521373
95.0,4496.58192542,2248.29096271,1124.14548135,1124.14548135
96.0,4717.53751644,2358.76875822,1179.38437911,1179.38437911
97.0,4202.15031077,2101.07515539,1050.53757769,1050.53757769
98.0,3735.33264071,1867.66632035,933.833160177,933.833160177
99.0,3838.34979383,1919.17489692,959.587448458,959.587448458
100.0,2855.69275796,1427.84637898,713.92318949,713.92318949
101.0,2943.71326625,1471.85663312,735.928316562,735.928316562
102.0,3356.34707889,1678.17353944,839.086769722,839.086769722
103.0,3958.92583259,1979.4629163,989.731458148,989.731458148
104.0,3757.97832799,1878.98916399,939.494581997,939.494581997
105.0,2941.22638545,1470.61319273,735.306596363,735.306596363
106.0,3228.49879779,1614.2493989,807.124699448,807.124699448
107.0,3617.50724284,1808.75362142,904.37681071,904.37681071
108.0,4301.1733826,2150.5866913,1075.29334565,1075.29334565
109.0,4555.36274431,2277.68137216,1138.84068608,1138.84068608
110.0,5408.43821853,2704.21910927,1352.10955463,1352.10955463
111.0,5197.05335058,2598.52667529,1299.26333765,1299.26333765
112.0,5186.08846706,2593.04423353,1296.52211676,1296.52211676
113.0,5021.50217415,2510.75108708,1255.37554354,1255.37554354
114.0,5176.06558383,2588.03279191,1294.01639596,1294.01639596
115.0,4870.70676568,2435.35338284,1217.67669142,1217.67669142
116.0,4759.88985006,2379.94492503,1189.97246251,1189.97246251
117.0,4350.87331858,2175.43665929,1087.71832965,1087.71832965
118.0,4564.21754716,2282.10877358,1141.05438679,1141.05438679
119.0,5109.40964241,2554.7048212,1277.3524106,1277.3524106
120.0,5782.14857866,2891.07428933,1445.53714466,1445.53714466
121.0,5043.62034126,2521.81017063,1260.90508531,1260.90508531
122.0,4152.11125469,2076.05562735,1038.02781367,1038.02781367
123.0,5054.09538463,2527.04769231,1263.52384616,1263.52384616
124.0,5087.66827542,2543.83413771,1271.91706886,1271.91706886
125.0,5084.69155446,2542.34577723,1271.17288861,1271.17288861
126.0,5185.14646675,2592.57323338,1296.28661669,1296.28661669
127.0,4956.61719329,2478.30859664,1239.15429832,1239.15429832
128.0,4350.49651846,2175.24825923,1087.62412961,1087.62412961
129.0,4140.16669085,2070.08334543,1035.04167271,1035.04167271
130.0,3872.18644471,1936.09322236,968.046611178,968.046611178
131.0,4237.079682,2118.539841,1059.2699205,1059.2699205
132.0,4044.15801999,2022.07900999,1011.039505,1011.039505
133.0,2968.65743427,1484.32871714,742.164358568,742.164358568
134.0,3396.96613195,1698.48306598,849.241532988,849.241532988
135.0,3481.55775914,1740.77887957,870.389439785,870.389439785
136.0,3366.74676223,1683.37338112,841.686690558,841.686690558
137.0,3037.38577636,1518.69288818,759.34644409,759.34644409
138.0,3043.64065837,1521.82032918,760.910164592,760.910164592
139.0,3175.40766073,1587.70383036,793.851915182,793.851915182
140.0,3032.75113487,1516.37556743,758.187783717,758.187783717
141.0,3194.925907,1597.4629535,798.73147675,798.73147675
142.0,3327.1450695,1663.57253475,831.786267375,831.786267375
143.0,4432.41286479,2216.20643239,1108.1032162,1108.1032162
144.0,5254.62840909,2627.31420454,1313.65710227,1313.65710227
145.0,5522.04345505,2761.02172753,1380.51086376,1380.51086376
146.0,4722.66199809,2361.33099905,1180.66549952,1180.66549952
147.0,4376.19428672,2188.09714336,1094.04857168,1094.04857168
148.0,4764.18537144,2382.09268572,1191.04634286,1191.04634286
149.0,4662.93917889,2331.46958945,1165.73479472,1165.73479472
150.0,4513.42489083,2256.71244541,1128.35622271,1128.35622271
151.0,3638.00516943,1819.00258472,909.501292358,909.501292358
152.0,2761.60576771,1380.80288385,690.401441927,690.401441927
153.0,3065.79650549,1532.89825275,766.449126373,766.449126373
154.0,2627.72868468,1313.86434234,656.93217117,656.93217117
155.0,3049.6317803,1524.81589015,762.407945075,762.407945075
156.0,2649.54541169,1324.77270585,662.386352923,662.386352923
157.0,3294.476499,1647.2382495,823.61912475,823.61912475
158.0,3766.94617088,1883.47308544,941.73654272,941.73654272
159.0,3040.77697745,1520.38848872,760.194244362,760.194244362
160.0,3347.75603613,1673.87801807,836.939009033,836.939009033
161.0,3272.28297187,1636.14148593,818.070742967,818.070742967
162.0,3102.23307721,1551.1165386,775.558269302,775.558269302
