hour_ending,total,pumping,process,other
1.0,2370.57425087,1185.28712544,592.643562718,592.643562718
2.0,2021.62932316,1010.81466158,505.40733079,505.40733079
3.0,1001.51914633,500.759573165,250.379786583,250.379786583
4.0,889.537236129,444.768618064,222.384309032,222.384309032
5.0,1244.83651997,622.418259985,311.209129992,311.209129992
6.0,1018.8393056,509.4196528,254.7098264,254.7098264
7.0,308.385980343,154.192990171,77.0964950857,77.0964950857
8.0,472.473610765,236.236805382,118.118402691,118.118402691
9.0,512.996247532,256.498123766,128.249061883,128.249061883
10.0,408.530632855,204.265316428,102.132658214,102.132658214
11.0,230.245555323,115.122777661,57.5613888307,57.5613888307
12.0,237.834472065,118.917236032,59.4586180162,59.4586180162
13.0,234.384964455,117.192482227,58.5962411137,58.5962411137
14.0,239.61369178,119.80684589,59.903422945,59.903422945
15.0,224.472168902,112.236084451,56.1180422255,56.1180422255
16.0,630.243195669,315.121597834,157.560798917,157.560798917
17.0,452.756951477,226.378475738,113.189237869,113.189237869
18.0,238.960100864,119.480050432,59.740025216,59.740025216
19.0,474.724868363,237.362434182,118.681217091,118.681217091
20.0,667.752052103,333.876026051,166.938013026,166.938013026
21.0,509.038391432,254.519195716,127.259597858,127.259597858
22.0,852.863523643,426.431761822,213.215880911,213.215880911
23.0,1980.34416366,990.17208183,495.086040915,495.086040915
24.0,2466.54318365,1233.27159183,616.635795913,616.635795913
25.0,2613.56482905,1306.78241452,653.391207262,653.391207262
26.0,2059.02924777,1029.51462388,514.757311942,514.757311942
27.0,2244.24965113,1122.12482557,561.062412783,561.062412783
28.0,2220.79299938,1110.39649969,555.198249845,555.198249845
29.0,2073.40824792,1036.70412396,518.35206198,518.35206198
30.0,1103.76981402,551.88490701,275.942453505,275.942453505
31.0,770.910484948,385.455242474,192.727621237,192.727621237
32.0,976.791623361,488.395811681,244.19790584,244.19790584
33.0,1145.56332201,572.781661005,286.390830503,286.390830503
34.0,1074.61239706,537.30619853,268.653099265,268.653099265
35.0,713.975454078,356.987727039,178.493863519,178.493863519
36.0,409.511019229,204.755509614,102.377754807,102.377754807
37.0,412.089072285,206.044536142,103.022268071,103.022268071
38.0,341.210768549,170.605384275,85.3026921373,85.3026921373
39.0,313.941503126,156.970751563,78.4853757815,78.4853757815
40.0,385.291844745,192.645922372,96.3229611862,96.3229611862
41.0,281.443510378,140.721755189,70.3608775945,70.3608775945
42.0,313.687328881,156.84366444,78.4218322202,78.4218322202
43.0,336.417768501,168.208884251,84.1044421253,84.1044421253
44.0,608.420521209,304.210260605,152.105130302,152.105130302
45.0,722.363204162,361.181602081,180.59080104,180.59080104
46.0,372.038473401,186.0192367,93.0096183502,93.0096183502
47.0,877.699978435,438.849989218,219.424994609,219.424994609
48.0,1534.23205315,767.116026575,383.558013287,383.558013287
49.0,1993.63384561,996.816922805,498.408461402,498.408461402
50.0,2197.6994537,1098.84972685,549.424863425,549.424863425
51.0,2204.52584771,1102.26292386,551.131461928,551.131461928
52.0,1774.208851,887.1044255,443.55221275,443.55221275
53.0,1395.05349874,697.52674937,348.763374685,348.763374685
54.0,560.381588913,280.190794457,140.095397228,140.095397228
55.0,357.586852045,178.793426023,89.3967130113,89.3967130113
56.0,970.328335418,485.164167709,242.582083855,242.582083855
57.0,1190.84264822,595.42132411,297.710662055,297.710662055
58.0,960.488161078,480.244080539,240.12204027,240.12204027
59.0,1144.47400382,572.23700191,286.118500955,286.118500955
60.0,639.575021519,319.787510759,159.89375538,159.89375538
