hour_ending,total,pumping,process,other
1.0,92.4955567358,46.2477783679,23.1238891839,23.1238891839
2.0,54.5844876608,27.2922438304,13.6461219152,13.6461219152
3.0,23.8457830054,11.9228915027,5.96144575135,5.96144575135
4.0,14.437876429,7.2189382145,3.60946910725,3.60946910725
5.0,59.6144575135,29.8072287568,14.9036143784,14.9036143784
6.0,13.8789908899,6.93949544495,3.46974772248,3.46974772248
7.0,19.7472890513,9.87364452565,4.93682226283,4.93682226283
8.0,44.5245479554,22.2622739777,11.1311369889,11.1311369889
9.0,107.958056653,53.9790283265,26.9895141632,26.9895141632
10.0,29.1551956277,14.5775978138,7.28879890692,7.28879890692
11.0,19.0021083324,9.5010541662,4.7505270831,4.7505270831
12.0,13.2269577608,6.6134788804,3.3067394402,3.3067394402
13.0,22.1691263878,11.0845631939,5.54228159695,5.54228159695
14.0,53.0941262229,26.5470631115,13.2735315557,13.2735315557
15.0,13.9721384797,6.98606923985,3.49303461992,3.49303461992
16.0,47.5984184209,23.7992092105,11.8996046052,11.8996046052
17.0,72.0030869655,36.0015434828,18.0007717414,18.0007717414
18.0,33.4399847615,16.7199923807,8.35999619037,8.35999619037
19.0,15.183057148,7.591528574,3.795764287,3.795764287
20.0,25.522439623,12.7612198115,6.38060990575,6.38060990575
21.0,35.6755269182,17.8377634591,8.91888172955,8.91888172955
22.0,34.1851654804,17.0925827402,8.5462913701,8.5462913701
23.0,118.949472257,59.4747361285,29.7373680643,29.7373680643
24.0,45.5491714439,22.774585722,11.387292861,11.387292861
25.0,42.2890057986,21.1445028993,10.5722514497,10.5722514497
26.0,27.1059486507,13.5529743254,6.77648716268,6.77648716268
27.0,20.3993221804,10.1996610902,5.0998305451,5.0998305451
28.0,15.835090277,7.9175451385,3.95877256925,3.95877256925
29.0,26.8265058811,13.4132529406,6.70662647028,6.70662647028
30.0,45.9217618034,22.9608809017,11.4804404509,11.4804404509
31.0,23.2868974662,11.6434487331,5.82172436655,5.82172436655
32.0,42.5684485682,21.2842242841,10.6421121421,10.6421121421
33.0,130.87236376,65.43618188,32.71809094,32.71809094
34.0,75.3564002006,37.6782001003,18.8391000502,18.8391000502
35.0,54.0256021216,27.0128010608,13.5064005304,13.5064005304
36.0,38.9356925635,19.4678462817,9.73392314087,9.73392314087
37.0,78.6165658459,39.3082829229,19.6541414615,19.6541414615
38.0,85.3231923162,42.6615961581,21.330798079,21.330798079
39.0,88.9559483209,44.4779741605,22.2389870802,22.2389870802
40.0,175.117468946,87.558734473,43.7793672365,43.7793672365
41.0,82.9945025695,41.4972512847,20.7486256424,20.7486256424
42.0,76.3810236891,38.1905118446,19.0952559223,19.0952559223
43.0,22.8211595169,11.4105797584,5.70528987922,5.70528987922
44.0,31.018147425,15.5090737125,7.75453685625,7.75453685625
45.0,38.4699546142,19.2349773071,9.61748865355,9.61748865355
46.0,31.3907377844,15.6953688922,7.8476844461,7.8476844461
47.0,73.7728911729,36.8864455865,18.4432227932,18.4432227932
48.0,45.5491714439,22.774585722,11.387292861,11.387292861
49.0,29.0620480378,14.5310240189,7.26551200945,7.26551200945
50.0,15.6487950973,7.82439754865,3.91219877433,3.91219877433
51.0,22.8211595169,11.4105797584,5.70528987922,5.70528987922
52.0,17.232304125,8.6161520625,4.30807603125,4.30807603125
53.0,12.4817770419,6.24088852095,3.12044426048,3.12044426048
54.0,30.3661142959,15.183057148,7.59152857398,7.59152857398
55.0,13.5064005304,6.7532002652,3.3766001326,3.3766001326
56.0,21.330798079,10.6653990395,5.33269951975,5.33269951975
57.0,85.3231923162,42.6615961581,21.330798079,21.330798079
58.0,65.3896080851,32.6948040426,16.3474020213,16.3474020213
59.0,51.3243220155,25.6621610078,12.8310805039,12.8310805039
60.0,100.878839824,50.439419912,25.219709956,25.219709956
61.0,133.573643866,66.786821933,33.3934109665,33.3934109665
62.0,115.503011432,57.751505716,28.875752858,28.875752858
63.0,93.3338850445,46.6669425223,23.3334712611,23.3334712611
64.0,51.6037647851,25.8018823926,12.9009411963,12.9009411963
65.0,81.8767314912,40.9383657456,20.4691828728,20.4691828728
66.0,13.3201053507,6.66005267535,3.33002633767,3.33002633767
67.0,23.5663402358,11.7831701179,5.89158505895,5.89158505895
68.0,19.0021083324,9.5010541662,4.7505270831,4.7505270831
69.0,24.9635540838,12.4817770419,6.24088852095,6.24088852095
70.0,34.3714606601,17.1857303301,8.59286516503,8.59286516503
71.0,26.4539155216,13.2269577608,6.6134788804,6.6134788804
72.0,33.8125751209,16.9062875605,8.45314378023,8.45314378023
73.0,16.5802709959,8.29013549795,4.14506774897,4.14506774897
74.0,18.4432227932,9.2216113966,4.6108056983,4.6108056983
75.0,19.0952559223,9.54762796115,4.77381398058,4.77381398058
76.0,19.5609938716,9.7804969358,4.8902484679,4.8902484679
77.0,14.8104667885,7.40523339425,3.70261669712,3.70261669712
78.0,20.8650601297,10.4325300649,5.21626503243,5.21626503243
79.0,24.6841113142,12.3420556571,6.17102782855,6.17102782855
80.0,27.4785390101,13.7392695051,6.86963475253,6.86963475253
81.0,18.0706324338,9.0353162169,4.51765810845,4.51765810845
82.0,83.0876501594,41.5438250797,20.7719125398,20.7719125398
83.0,101.344577773,50.6722888865,25.3361444432,25.3361444432
84.0,111.590812658,55.795406329,27.8977031645,27.8977031645
85.0,179.30911049,89.654555245,44.8272776225,44.8272776225
86.0,112.801731326,56.400865663,28.2004328315,28.2004328315
87.0,104.232153059,52.1160765295,26.0580382647,26.0580382647
88.0,116.341339741,58.1706698705,29.0853349352,29.0853349352
89.0,176.794125563,88.3970627815,44.1985313907,44.1985313907
90.0,106.281400036,53.140700018,26.570350009,26.570350009
91.0,28.8757528581,14.4378764291,7.21893821453,7.21893821453
92.0,32.0427709135,16.0213854568,8.01069272838,8.01069272838
93.0,63.7129514675,31.8564757337,15.9282378669,15.9282378669
94.0,91.657228427,45.8286142135,22.9143071068,22.9143071068
95.0,44.1519575959,22.075978798,11.037989399,11.037989399
96.0,78.4302706662,39.2151353331,19.6075676666,19.6075676666
97.0,23.4731926459,11.736596323,5.86829816148,5.86829816148
98.0,33.1605419919,16.5802709959,8.29013549797,8.29013549797
99.0,21.6102408486,10.8051204243,5.40256021215,5.40256021215
100.0,17.6048944844,8.8024472422,4.4012236211,4.4012236211
101.0,13.0406625811,6.52033129055,3.26016564527,3.26016564527
102.0,17.232304125,8.6161520625,4.30807603125,4.30807603125
103.0,12.0160390926,6.0080195463,3.00400977315,3.00400977315
104.0,22.6348643371,11.3174321686,5.65871608428,5.65871608428
105.0,26.3607679317,13.1803839658,6.59019198292,6.59019198292
106.0,68.4634785506,34.2317392753,17.1158696377,17.1158696377
107.0,27.6648341898,13.8324170949,6.91620854745,6.91620854745
108.0,92.7749995054,46.3874997527,23.1937498764,23.1937498764
109.0,224.206248805,112.103124403,56.0515622013,56.0515622013
110.0,120.812424055,60.4062120275,30.2031060137,30.2031060137
111.0,172.60248402,86.30124201,43.150621005,43.150621005
112.0,103.30067716,51.65033858,25.82516929,25.82516929
113.0,198.218071232,99.109035616,49.554517808,49.554517808
114.0,142.329517313,71.1647586565,35.5823793282,35.5823793282
115.0,275.81001359,137.905006795,68.9525033975,68.9525033975
116.0,119.228915027,59.6144575135,29.8072287568,29.8072287568
117.0,92.9612946851,46.4806473426,23.2403236713,23.2403236713
118.0,72.9345628641,36.4672814321,18.233640716,18.233640716
119.0,68.0908881912,34.0454440956,17.0227220478,17.0227220478
120.0,29.2483432176,14.6241716088,7.3120858044,7.3120858044
121.0,16.4871234061,8.24356170305,4.12178085153,4.12178085153
122.0,17.6048944844,8.8024472422,4.4012236211,4.4012236211
123.0,15.6487950973,7.82439754865,3.91219877433,3.91219877433
124.0,18.8158131527,9.40790657635,4.70395328817,4.70395328817
125.0,22.1691263878,11.0845631939,5.54228159695,5.54228159695
