hour_ending,total,pumping,process,other
1.0,1053.7161144,368.80064004,526.8580572,158.05741716
2.0,987.165061185,345.507771415,493.582530593,148.074759178
3.0,980.867527682,343.303634689,490.433763841,147.130129152
4.0,922.321813667,322.812634783,461.160906834,138.34827205
5.0,887.632010468,310.671203664,443.816005234,133.14480157
6.0,880.000253765,308.000088818,440.000126883,132.000038065
7.0,868.312458533,303.909360487,434.156229267,130.24686878
8.0,859.986905765,300.995417018,429.993452882,128.998035865
9.0,971.527965282,340.034787849,485.763982641,145.729194792
10.0,1093.90291718,382.866021013,546.95145859,164.085437577
11.0,1206.61809311,422.316332588,603.309046555,180.992713966
12.0,1301.29457138,455.453099983,650.64728569,195.194185707
13.0,1400.18719496,490.065518236,700.09359748,210.028079244
14.0,1420.25391189,497.088869161,710.126955945,213.038086783
15.0,1392.18185576,487.263649516,696.09092788,208.827278364
16.0,1314.04974518,459.917410813,657.02487259,197.107461777
17.0,1271.94166098,445.179581343,635.97083049,190.791249147
18.0,1179.02635734,412.659225069,589.51317867,176.853953601
19.0,1239.33324598,433.766636093,619.66662299,185.899986897
20.0,1246.16446876,436.157564066,623.08223438,186.924670314
21.0,1265.4840207,442.919407245,632.74201035,189.822603105
22.0,1216.43797587,425.753291554,608.218987935,182.46569638
23.0,1156.77151436,404.870030026,578.38575718,173.515727154
24.0,1127.41860397,394.596511389,563.709301985,169.112790596
25.0,1073.88956918,375.861349213,536.94478459,161.083435377
26.0,947.565316611,331.647860814,473.782658306,142.134797492
27.0,930.433890723,325.651861753,465.216945361,139.565083608
28.0,881.014263397,308.354992189,440.507131698,132.15213951
29.0,879.573302341,307.850655819,439.786651171,131.935995351
30.0,880.106991621,308.037447067,440.053495811,132.016048743
31.0,874.289778469,306.001422464,437.144889234,131.14346677
32.0,1009.20642845,353.222249957,504.603214225,151.380964267
33.0,1094.81018896,383.183566136,547.40509448,164.221528344
34.0,1254.27654582,438.996791037,627.13827291,188.141481873
35.0,1440.00041525,504.000145337,720.000207625,216.000062288
36.0,1515.35734159,530.375069556,757.678670795,227.303601238
37.0,1436.63817279,502.823360476,718.319086395,215.495725918
38.0,1381.98839052,483.695936682,690.99419526,207.298258578
39.0,1336.30458815,467.706605852,668.152294075,200.445688222
40.0,1331.76822927,466.118880244,665.884114635,199.76523439
41.0,1232.28854748,431.300991618,616.14427374,184.843282122
42.0,1167.7121446,408.69925061,583.8560723,175.15682169
43.0,1218.19915049,426.369702671,609.099575245,182.729872573
44.0,1271.67481634,445.086185719,635.83740817,190.751222451
45.0,1287.52538796,450.633885786,643.76269398,193.128808194
46.0,1265.00370034,442.751295119,632.50185017,189.750555051
47.0,1227.37860611,429.582512138,613.689303055,184.106790916
48.0,1155.38392224,404.384372784,577.69196112,173.307588336
49.0,1111.40792557,388.99277395,555.703962785,166.711188835
50.0,967.205082114,338.52177874,483.602541057,145.080762317
51.0,976.758120226,341.865342079,488.379060113,146.513718034
52.0,866.924866405,303.423703242,433.462433202,130.038729961
53.0,902.415203524,315.845321233,451.207601762,135.362280529
54.0,885.870835845,310.054792546,442.935417922,132.880625377
55.0,912.982251268,319.543787944,456.491125634,136.94733769
56.0,1009.36653523,353.27828733,504.683267615,151.404980284
57.0,1128.75282716,395.063489506,564.37641358,169.312924074
58.0,1393.56944789,487.749306761,696.784723945,209.035417183
59.0,1611.15456734,563.904098569,805.57728367,241.673185101
60.0,1656.51815614,579.781354649,828.25907807,248.477723421
61.0,1558.95975576,545.635914516,779.47987788,233.843963364
62.0,1442.34864808,504.822026828,721.17432404,216.352297212
63.0,1320.29390975,462.102868412,660.146954875,198.044086462
64.0,1267.72551567,443.703930485,633.862757835,190.15882735
65.0,1168.56604745,408.998116607,584.283023725,175.284907118
66.0,1252.51537119,438.380379916,626.257685595,187.877305678
67.0,1249.90029372,437.465102802,624.95014686,187.485044058
68.0,1268.63278745,444.021475608,634.316393725,190.294918118
69.0,1233.78287747,431.824007114,616.891438735,185.06743162
70.0,1248.1391191,436.848691685,624.06955955,187.220867865
71.0,1213.71616054,424.800656189,606.85808027,182.057424081
72.0,1133.92961318,396.875364613,566.96480659,170.089441977
73.0,1084.99030621,379.746607173,542.495153105,162.748545931
74.0,1014.00963197,354.903371189,507.004815985,152.101444795
75.0,934.062977827,326.922042239,467.031488913,140.109446674
76.0,913.9962609,319.898691315,456.99813045,137.099439135
77.0,894.569971108,313.099489888,447.284985554,134.185495666
78.0,896.010932164,313.603826257,448.005466082,134.401639825
79.0,891.100990788,311.885346776,445.550495394,133.665148618
80.0,885.390515493,309.886680423,442.695257747,132.808577324
81.0,1003.28247744,351.148867104,501.64123872,150.492371616
82.0,1179.88026019,412.958091066,589.940130095,176.982039028
83.0,1352.47537333,473.366380665,676.237686665,202.871305999
84.0,1635.49079851,572.421779478,817.745399255,245.323619777
85.0,1733.10256782,606.585898737,866.55128391,259.965385173
86.0,1662.60221393,581.910774876,831.301106965,249.390332089
87.0,1401.04109781,490.364384234,700.520548905,210.156164672
88.0,1312.50204626,459.375716191,656.25102313,196.875306939
89.0,1325.1504822,463.80266877,662.5752411,198.77257233
90.0,1312.98236662,459.543828317,656.49118331,196.947354993
91.0,1276.10443737,446.636553079,638.052218685,191.415665605
92.0,1257.21183686,440.024142901,628.60591843,188.581775529
93.0,1275.35727238,446.375045333,637.67863619,191.303590857
94.0,1238.4259742,433.44909097,619.2129871,185.76389613
95.0,1211.95498591,424.184245068,605.977492955,181.793247886
96.0,1132.11506963,396.240274371,566.057534815,169.817260445
97.0,1073.19577312,375.618520592,536.59788656,160.979365968
98.0,1041.44126096,364.504441336,520.72063048,156.216189144
99.0,965.764121058,338.01744237,482.882060529,144.864618159
100.0,907.805465252,317.731912838,453.902732626,136.170819788
101.0,899.693388196,314.892685869,449.846694098,134.954008229
102.0,858.919527205,300.621834522,429.459763603,128.837929081
103.0,870.180371013,304.563129855,435.090185507,130.527055652
104.0,924.243095075,323.485083276,462.121547538,138.636464261
105.0,1035.67741674,362.487095859,517.83870837,155.351612511
106.0,1157.785524,405.2249334,578.892762,173.6678286
107.0,1376.59812879,481.809345076,688.299064395,206.489719318
108.0,1590.92774363,556.82471027,795.463871815,238.639161544
109.0,1715.38408372,600.384429302,857.69204186,257.307612558
110.0,1664.68360212,582.639260742,832.34180106,249.702540318
111.0,1530.72759285,535.754657498,765.363796425,229.609138927
112.0,1347.77890767,471.722617684,673.889453835,202.166836151
113.0,1326.32459861,464.213609513,663.162299305,198.948689792
114.0,1271.4079717,444.992790095,635.70398585,190.711195755
115.0,1242.8022263,434.980779205,621.40111315,186.420333945
116.0,1358.98638255,475.645233892,679.493191275,203.847957382
117.0,1358.87964469,475.607875642,679.439822345,203.831946703
118.0,1376.49139093,481.771986825,688.245695465,206.47370864
119.0,1285.92432012,450.073512042,642.96216006,192.888648018
120.0,1194.61008431,418.113529508,597.305042155,179.191512647
121.0,1114.7167991,390.150879685,557.35839955,167.207519865
122.0,1025.91090291,359.068816019,512.955451455,153.886635437
123.0,931.074317859,325.876011251,465.537158929,139.661147679
124.0,921.147697251,322.401694038,460.573848626,138.172154588
125.0,880.960894469,308.336313064,440.480447234,132.14413417
126.0,907.431882756,317.601158965,453.715941378,136.114782413
127.0,916.984920868,320.944722304,458.492460434,137.54773813
128.0,1026.6580679,359.330323765,513.32903395,153.998710185
129.0,1288.53939759,450.988789156,644.269698795,193.280909638
130.0,1598.34602462,559.421108617,799.17301231,239.751903693
