hour_ending,total,pumping,process,other
1.0,5424.62179842,1898.61762945,2712.31089921,813.693269763
2.0,5541.73650072,1939.60777525,2770.86825036,831.260475108
3.0,5249.00478353,1837.15167424,2624.50239177,787.35071753
4.0,5357.66556409,1875.18294743,2678.83278204,803.649834613
5.0,4885.78702615,1710.02545915,2442.89351308,732.868053923
6.0,4763.10976076,1667.08841627,2381.55488038,714.466464114
7.0,4812.43898119,1684.35364342,2406.2194906,721.865847178
8.0,4466.28317523,1563.19911133,2233.14158761,669.942476285
9.0,4321.39968833,1512.48989092,2160.69984416,648.209953249
10.0,5005.3160863,1751.86063021,2502.65804315,750.797412945
11.0,5750.81695583,2012.78593454,2875.40847791,862.622543374
12.0,6070.31208672,2124.60923035,3035.15604336,910.546813008
13.0,6167.58355604,2158.65424461,3083.79177802,925.137533406
14.0,6108.8977816,2138.11422356,3054.4488908,916.33466724
15.0,5998.3510133,2099.42285465,2999.17550665,899.752651995
16.0,5840.29496605,2044.10323812,2920.14748302,876.044244908
17.0,5733.02115703,2006.55740496,2866.51057851,859.953173554
18.0,5873.7217139,2055.80259986,2936.86085695,881.058257085
19.0,5907.83827828,2067.7433974,2953.91913914,886.175741742
20.0,6006.16648782,2102.15827074,3003.08324391,900.924973173
21.0,6098.30102553,2134.40535894,3049.15051276,914.745153829
22.0,6332.6771996,2216.43701986,3166.3385998,949.90157994
23.0,6222.66613987,2177.93314895,3111.33306993,933.39992098
24.0,5686.50991051,1990.27846868,2843.25495525,852.976486576
25.0,5692.96042892,1992.53615012,2846.48021446,853.944064338
26.0,5668.94894287,1984.13213,2834.47447143,850.34234143
27.0,5391.76011305,1887.11603957,2695.88005652,808.764016957
28.0,5317.30395856,1861.0563855,2658.65197928,797.595593784
29.0,5036.45323035,1762.75863062,2518.22661518,755.467984552
30.0,4552.04057927,1593.21420274,2276.02028964,682.806086891
31.0,4938.40388281,1728.44135898,2469.20194141,740.760582421
32.0,5666.64466212,1983.32563174,2833.32233106,849.996699318
33.0,6115.31160764,2140.35906267,3057.65580382,917.296741146
34.0,6211.79786028,2174.1292511,3105.89893014,931.769679042
35.0,6611.69330938,2314.09265828,3305.84665469,991.753996407
36.0,6486.70442477,2270.34654867,3243.35221238,973.005663715
37.0,6998.25475171,2449.3891631,3499.12737586,1049.73821276
38.0,6157.14824639,2155.00188624,3078.5741232,923.572236958
39.0,5400.49289679,1890.17251388,2700.24644839,810.073934518
40.0,5405.3509664,1891.87283824,2702.6754832,810.80264496
41.0,5098.47067186,1784.46473515,2549.23533593,764.770600779
42.0,5197.69417519,1819.19296132,2598.8470876,779.654126279
43.0,5035.9909065,1762.59681727,2517.99545325,755.398635975
44.0,5115.48125397,1790.41843889,2557.74062698,767.322188095
45.0,5762.31634417,2016.81072046,2881.15817208,864.347451625
46.0,5820.89937997,2037.31478299,2910.44968999,873.134906996
47.0,5912.6376401,2069.42317403,2956.31882005,886.895646015
48.0,5773.22131613,2020.62746065,2886.61065806,865.983197419
49.0,5786.1370299,2025.14796046,2893.06851495,867.920554485
50.0,5763.93080839,2017.37578294,2881.96540419,864.589621258
51.0,5667.66470997,1983.68264849,2833.83235499,850.149706496
52.0,5478.89715015,1917.61400255,2739.44857508,821.834572523
53.0,5587.88816202,1955.76085671,2793.94408101,838.183224303
54.0,5592.86364721,1957.50227652,2796.4318236,838.929547081
55.0,5346.46705317,1871.26346861,2673.23352659,801.970057976
56.0,5961.50453669,2086.52658784,2980.75226835,894.225680504
57.0,5885.4559334,2059.90957669,2942.7279667,882.81839001
58.0,5973.23141771,2090.6309962,2986.61570885,895.984712656
59.0,6181.79817966,2163.62936288,3090.89908983,927.269726949
60.0,6088.68028647,2131.03810026,3044.34014324,913.30204297
61.0,6089.89847311,2131.46446559,3044.94923655,913.484770966
62.0,6126.70825735,2144.34789007,3063.35412868,919.006238603
63.0,6102.81418688,2135.98496541,3051.40709344,915.422128032
64.0,5760.84131095,2016.29445883,2880.42065547,864.126196642
65.0,4981.92103204,1743.67236121,2490.96051602,747.288154806
66.0,4945.57357164,1730.95075007,2472.78678582,741.836035746
67.0,4888.34815348,1710.92185372,2444.17407674,733.252223022
68.0,4888.77378495,1711.07082473,2444.38689247,733.316067742
69.0,5431.63737931,1901.07308276,2715.81868966,814.745606897
70.0,5700.4823645,1995.16882758,2850.24118225,855.072354675
71.0,5692.41738186,1992.34608365,2846.20869093,853.862607279
72.0,5749.59143071,2012.35700075,2874.79571536,862.438714606
73.0,5513.83562359,1929.84246826,2756.9178118,827.075343538
74.0,5644.57053313,1975.5996866,2822.28526656,846.685579969
75.0,5431.54197915,1901.0396927,2715.77098957,814.731296872
76.0,5236.58808598,1832.80583009,2618.29404299,785.488212897
77.0,5458.43014691,1910.45055142,2729.21507346,818.764522037
78.0,5184.08864489,1814.43102571,2592.04432245,777.613296733
79.0,4812.13076529,1684.24576785,2406.06538265,721.819614794
80.0,4713.54570917,1649.74099821,2356.77285459,707.031856375
81.0,4721.17772185,1652.41220265,2360.58886093,708.176658277
82.0,5232.49321763,1831.37262617,2616.24660881,784.873982644
83.0,5726.62934641,2004.32027124,2863.3146732,858.994401961
84.0,5722.43173943,2002.8511088,2861.21586971,858.364760914
85.0,5513.41733058,1929.6960657,2756.70866529,827.012599587
86.0,5507.76670581,1927.71834703,2753.8833529,826.165005871
87.0,5569.02828453,1949.15989959,2784.51414226,835.354242679
88.0,5367.81467326,1878.73513564,2683.90733663,805.172200989
89.0,5490.45524628,1921.6593362,2745.22762314,823.568286942
90.0,5880.19424773,2058.06798671,2940.09712386,882.02913716
91.0,5928.3933432,2074.93767012,2964.1966716,889.25900148
92.0,5859.33096691,2050.76583842,2929.66548345,878.899645036
93.0,5831.12187388,2040.89265586,2915.56093694,874.668281082
94.0,5459.72905676,1910.90516987,2729.86452838,818.959358514
95.0,5395.4880577,1888.4208202,2697.74402885,809.323208655
96.0,5258.4567377,1840.45985819,2629.22836885,788.768510655
97.0,5499.33479949,1924.76717982,2749.66739974,824.900219923
98.0,5098.22850223,1784.37997578,2549.11425112,764.734275335
99.0,4983.190588,1744.1167058,2491.595294,747.4785882
100.0,4586.35528244,1605.22434885,2293.17764122,687.953292366
101.0,4775.61452,1671.465082,2387.80726,716.342178
102.0,4671.58431637,1635.05451073,2335.79215819,700.737647455
103.0,4643.17708455,1625.11197959,2321.58854227,696.476562682
104.0,4131.74417319,1446.11046062,2065.87208659,619.761625978
