hour_ending,total,pumping,process,other
1.0,22.5571550056,7.89500425196,11.2785775028,3.38357325084
2.0,24.62742891,8.6196001185,12.313714455,3.6941143365
3.0,21.5759825391,7.55159388868,10.7879912695,3.23639738086
4.0,24.0779723288,8.42729031508,12.0389861644,3.61169584932
5.0,21.6937232351,7.59280313228,10.8468616176,3.25405848527
6.0,22.7239543249,7.95338401371,11.3619771624,3.40859314873
7.0,23.0771764129,8.07701174451,11.5385882064,3.46157646193
8.0,20.4083873039,7.14293555636,10.2041936519,3.06125809558
9.0,22.7337660496,7.95681811736,11.3668830248,3.41006490744
10.0,26.6093972924,9.31328905234,13.3046986462,3.99140959386
11.0,25.4712372312,8.91493303092,12.7356186156,3.82068558468
12.0,27.5218876863,9.63266069021,13.7609438432,4.12828315295
13.0,33.2813700648,11.6484795227,16.6406850324,4.99220550972
14.0,24.8236634033,8.68828219115,12.4118317016,3.72354951049
15.0,23.1262350362,8.09418226267,11.5631175181,3.46893525543
16.0,21.4778652924,7.51725285234,10.7389326462,3.22167979386
17.0,21.0069025085,7.35241587797,10.5034512542,3.15103537627
18.0,25.1866972159,8.81534402557,12.593348608,3.77800458238
19.0,24.0975957781,8.43415852234,12.0487978891,3.61463936672
20.0,26.0795641605,9.12784745618,13.0397820803,3.91193462408
21.0,25.4614255066,8.91149892731,12.7307127533,3.81921382599
22.0,26.5112800458,9.27894801603,13.2556400229,3.97669200687
23.0,24.5194999387,8.58182497854,12.2597499693,3.6779249908
24.0,30.2887940419,10.6010779147,15.144397021,4.54331910628
25.0,23.7149385161,8.30022848064,11.8574692581,3.55724077742
26.0,20.9970907838,7.34898177433,10.4985453919,3.14956361757
27.0,20.5948100726,7.20818352541,10.2974050363,3.08922151089
28.0,19.6528845047,6.87850957665,9.82644225235,2.94793267571
29.0,21.1737018278,7.41079563973,10.5868509139,3.17605527417
30.0,22.0861922217,7.73016727759,11.0430961108,3.31292883325
31.0,21.3306894225,7.46574129787,10.6653447113,3.19960341338
32.0,21.9488280764,7.68208982674,10.9744140382,3.29232421146
33.0,26.2757986538,9.19652952883,13.1378993269,3.94136979807
34.0,27.561134585,9.64639710475,13.7805672925,4.13417018775
35.0,27.7475573536,9.71164507376,13.8737786768,4.16213360304
36.0,37.5004116709,13.1251440848,18.7502058355,5.62506175064
37.0,28.1596497895,9.85587742632,14.0798248947,4.22394746842
38.0,25.06895652,8.774134782,12.53447826,3.760343478
39.0,22.9005653689,8.01519787911,11.4502826844,3.43508480533
40.0,20.3495169559,7.12233093456,10.174758478,3.05242754338
41.0,22.1254391204,7.74390369214,11.0627195602,3.31881586806
42.0,24.833475128,8.6917162948,12.416737564,3.7250212692
43.0,24.7059227073,8.64707294755,12.3529613537,3.7058884061
44.0,22.8122598469,7.98429094642,11.4061299235,3.42183897704
45.0,25.8538944932,9.04886307262,12.9269472466,3.87808417398
46.0,24.862910302,8.7020186057,12.431455151,3.7294365453
47.0,24.686299258,8.6402047403,12.343149629,3.7029448887
48.0,22.5865901796,7.90530656286,11.2932950898,3.38798852694
