hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,326.80284,5403.56583546,12608.3202827,18338.6889582
2.0,0.0,251.3868,4920.74577861,11481.7401501,16653.8727287
3.0,0.0,316.747368,4465.6369833,10419.8196277,15202.203979
4.0,0.0,361.996992,3967.1018613,9256.5710097,13585.669863
5.0,0.0,356.969256,3873.80136588,9038.86985372,13269.6404756
6.0,0.0,477.63492,3888.61110084,9073.42590196,13439.6719228
7.0,0.0,879.8538,3941.18883879,9196.10729051,14017.1499293
8.0,0.0,1151.351544,4244.50024098,9903.83389562,15299.6856806
9.0,0.0,1407.76608,4254.43342395,9927.01132255,15589.2108265
10.0,0.0,1935.67836,4277.25441432,9980.26030008,16193.1930744
11.0,0.0,2332.869504,4449.54188262,10382.2643928,17164.6757794
12.0,0.0,2523.923472,4616.7888681,10772.5073589,17913.219699
13.0,0.0521603471649,2347.952712,4464.13790028,10416.3217673,17228.4645399
14.0,0.0521603471649,2257.453464,4576.18371234,10677.7619955,17511.4513321
15.0,4.03005526444,2041.260816,4469.58203289,10429.0247434,16943.8976476
16.0,3.3196607333,1704.402504,4445.52717198,10372.8967346,16526.1460713
17.0,0.0,1417.821552,4771.98238548,11134.6255661,17324.4295036
18.0,0.0,990.463992,6354.77141154,14827.7999603,22173.0353638
19.0,0.0,754.1604,7165.86320049,16720.3474678,24640.3710683
20.0,0.0,688.799832,7078.00725258,16515.350256,24282.1573406
21.0,0.0,553.05096,6955.73686956,16230.0526956,23738.8405252
22.0,0.0,397.191144,6703.82292207,15642.2534848,22743.2675509
23.0,0.0,276.52548,6045.51927609,14106.2116442,20428.2564003
24.0,0.0,306.691896,5109.33750879,11921.7875205,17337.8169253
25.0,0.0,326.80284,4439.37297738,10358.5369472,15124.7127646
26.0,0.0,251.3868,3914.57289741,9134.00342729,13299.9631247
27.0,0.0,316.747368,3519.16602903,8211.38740107,12047.3007981
28.0,0.0,361.996992,3437.80317516,8021.54074204,11821.3409092
29.0,0.0,356.969256,3597.66310797,8394.54725193,12349.1796159
30.0,0.0,477.63492,3738.74983059,8723.74960471,12940.1343553
31.0,0.0,879.8538,4197.24676461,9793.57578409,14870.6763487
32.0,0.0,1151.351544,4495.03270629,10488.409648,16134.7938983
33.0,0.0,1407.76608,4252.20976302,9921.82278038,15581.7986234
34.0,0.0,1935.67836,3862.19851293,9011.79653017,14809.6734031
35.0,0.0,2332.869504,3829.56524901,8935.65224769,15098.0870007
36.0,0.0,2523.923472,3972.38653014,9268.90190366,15765.2119058
37.0,0.0521603471649,2347.952712,3930.35620776,9170.83115144,15449.1922315
38.0,0.0,2257.453464,3713.86775952,8665.69143888,14637.0126624
39.0,0.0521603471649,2041.260816,3663.79832682,8548.86276258,14253.9740657
40.0,0.0,1704.402504,3882.03145092,9058.07338548,14644.5073404
41.0,0.0,1417.821552,4578.03574017,10682.0833937,16677.9406859
42.0,0.0,990.463992,6607.59247302,15417.7157704,23015.7722354
43.0,0.0,754.1604,7165.26713427,16718.9566466,24638.3841809
44.0,0.0,688.799832,7285.42698942,16999.329642,24973.5564634
45.0,0.0,553.05096,7133.16551187,16644.052861,24330.2693329
46.0,0.0,397.191144,6660.78484713,15541.83131,22599.8073011
