hour_ending,cooling,poolpump,plugload,other,total
1.0,0.0,1048.44012,8548.01600184,19945.370671,29541.8267928
2.0,0.0,806.4924,8173.72821246,19072.0324957,28052.2531082
3.0,0.0,1016.180424,7646.37887808,17841.5507155,26504.1100176
4.0,0.0,1161.349056,7403.1938454,17274.1189726,25838.661874
5.0,0.0,1145.219208,7299.36785952,17031.8583389,25476.4454064
6.0,0.0,1532.33556,7285.23095121,16998.8722195,25816.4387307
7.0,0.0,2822.7234,6930.01623306,16170.0378771,25922.7775102
8.0,0.0,3693.735192,6267.13841781,14623.3229749,24584.1965847
9.0,0.0,4516.35744,6469.77847182,15096.1497676,26082.2856794
10.0,0.0,6209.99148,6069.48088983,14162.1220763,26441.5944461
11.0,0.0,7484.249472,5585.44226487,13032.698618,26102.3903549
12.0,12.1294398368,8097.183696,5436.27220251,12684.6351392,26230.2204775
13.0,10.7614579003,7532.639016,5582.34105492,13025.4624615,26151.2039903
14.0,9.11987957651,7242.301752,5224.68151443,12190.9235337,24667.0266797
15.0,1.33334540214,6548.718288,5430.48985356,12671.1429916,24651.6844786
16.0,1.27197463403,5468.018472,5581.68487314,13023.9313707,24074.9066904
17.0,10.7614579003,4548.617136,7008.62027211,16353.4473016,27921.4461676
18.0,12.1294398368,3177.580056,11346.4692354,26475.0948827,41011.2736139
19.0,12.1294398368,2419.4772,12562.8855995,29313.3997323,44307.8919716
20.0,15.139000097,2209.789176,12559.3433978,29305.1345948,44089.4061686
21.0,0.0,1774.28328,12148.6020093,28346.7380217,42269.623311
22.0,0.0,1274.257992,11385.1760953,26565.4108889,39224.8449762
23.0,0.0,887.14164,10067.3574825,23490.5007925,34444.999915
24.0,0.0,983.920728,8534.39849007,19913.5964768,29431.9156949
25.0,0.0,1048.44012,7589.40928941,17708.6216753,26346.4710847
26.0,0.0,806.4924,7259.11086231,16937.9253454,25003.5286077
27.0,0.0,1016.180424,6759.80007333,15772.8668378,23548.8473351
28.0,0.0,1161.349056,6590.01372165,15376.6986839,23128.0614615
29.0,0.0,1145.219208,6905.02129578,16111.7163568,24161.9568606
30.0,0.0,1532.33556,7305.54331962,17046.2677458,25884.1466254
31.0,0.0,2822.7234,7669.79767581,17896.1945769,28388.7156527
32.0,0.0,3693.735192,6961.55972493,16243.6393582,26898.9342751
33.0,0.0,4516.35744,6181.10607021,14422.5808305,25120.0443407
34.0,0.0,6209.99148,5341.21394304,12462.8325338,24014.0379568
35.0,13.7710181605,7484.249472,4588.03489419,10705.4147531,22791.4701375
36.0,12.1294398368,8097.183696,4258.18657785,9935.76868165,22303.2683953
37.0,9.11987957651,7532.639016,4703.05229889,10973.7886974,23218.5998919
38.0,10.7614579003,7242.301752,4411.22513922,10292.8586582,21957.1470073
39.0,9.11987957651,6548.718288,4553.9984997,10625.9964993,21737.8331666
40.0,10.7614579003,5468.018472,5297.43051858,12360.67121,23136.8816585
41.0,10.7614579003,4548.617136,6619.04452569,15444.4372266,26622.8603462
42.0,12.1294398368,3177.580056,10728.9566638,25034.2322156,38952.8983752
43.0,13.7710181605,2419.4772,12052.9399883,28123.5266393,42609.7148458
44.0,15.139000097,2209.789176,12188.8331833,28440.610761,42854.3721204
45.0,15.139000097,1774.28328,11783.6071729,27495.0834033,41068.1128563
46.0,0.0,1274.257992,11435.084706,26681.8643141,39391.2070121
47.0,13.7710181605,887.14164,10102.3122024,23572.0618056,34575.2866662
48.0,13.7710181605,983.920728,8639.63649705,20159.1518264,29796.4800697
49.0,13.7710181605,1048.44012,7420.8540162,17315.3260378,25798.3911922
